#: table_doi: 10.17182/hepdata.74824.v1/t52
#: name: Table 52
#: description: Moments YLM(LM=32) of the di-pion angular distribution for -T.

#: data_file: Table52.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=32,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.003,-0.0204,0.0204
0.415,0.41,0.42,0.0019,0.0224,-0.0224
0.425,0.42,0.43,0.0309,0.0415,-0.0415
0.435,0.43,0.44,0.0132,0.0285,-0.0285
0.445,0.44,0.45,0.0447,0.0372,-0.0372
0.455,0.45,0.46,0.0711,0.0694,-0.0694
0.46499999999999997,0.46,0.47,0.0208,0.0558,-0.0558
0.475,0.47,0.48,0.0055,0.0333,-0.0333
0.485,0.48,0.49,-0.0454,-0.0405,0.0405
0.495,0.49,0.5,-0.0008,-0.0552,0.0552
0.505,0.5,0.51,-0.0124,-0.0577,0.0577
0.515,0.51,0.52,0.0001,0.0888,-0.0888
0.525,0.52,0.53,-0.0589,-0.0469,0.0469
0.535,0.53,0.54,-0.0213,-0.0762,0.0762
0.545,0.54,0.55,-0.0192,-0.0868,0.0868
0.555,0.55,0.56,-0.0209,-0.0719,0.0719
0.565,0.56,0.57,-0.018,-0.0869,0.0869
0.575,0.57,0.58,-0.0812,-0.0531,0.0531
0.585,0.58,0.59,-0.0316,-0.0539,0.0539
0.595,0.59,0.6,-0.0685,-0.0574,0.0574
0.605,0.6,0.61,-0.1181,-0.0639,0.0639
0.615,0.61,0.62,-0.0135,-0.0766,0.0766
0.625,0.62,0.63,-0.0743,-0.087,0.087
0.635,0.63,0.64,-0.0271,-0.0673,0.0673
0.645,0.64,0.65,-0.0391,-0.0853,0.0853
