#: table_doi: 10.17182/hepdata.74824.v1/t98
#: name: Table 98
#: description: P wave cross section for -T.

#: data_file: Table98.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.5209,0.0779,-0.0779
0.415,0.41,0.42,0.5655,0.0843,-0.0843
0.425,0.42,0.43,0.6114,0.0909,-0.0909
0.435,0.43,0.44,0.659,0.0977,-0.0977
0.445,0.44,0.45,0.7086,0.1048,-0.1048
0.455,0.45,0.46,0.7607,0.1125,-0.1125
0.46499999999999997,0.46,0.47,0.8158,0.1209,-0.1209
0.475,0.47,0.48,0.8744,0.1302,-0.1302
0.485,0.48,0.49,0.9374,0.1406,-0.1406
0.495,0.49,0.5,1.0055,0.1524,-0.1524
0.505,0.5,0.51,1.0797,0.1658,-0.1658
0.515,0.51,0.52,1.1613,0.181,-0.181
0.525,0.52,0.53,1.2515,0.1984,-0.1984
0.535,0.53,0.54,1.3521,0.2181,-0.2181
0.545,0.54,0.55,1.4649,0.2406,-0.2406
0.555,0.55,0.56,1.5924,0.266,-0.266
0.565,0.56,0.57,1.7373,0.2947,-0.2947
0.575,0.57,0.58,1.903,0.3272,-0.3272
0.585,0.58,0.59,2.0937,0.364,-0.364
0.595,0.59,0.6,2.3142,0.4057,-0.4057
0.605,0.6,0.61,2.5706,0.453,-0.453
0.615,0.61,0.62,2.8701,0.5069,-0.5069
0.625,0.62,0.63,3.2218,0.5683,-0.5683
0.635,0.63,0.64,3.636,0.6385,-0.6385
0.645,0.64,0.65,4.1255,0.7191,-0.7191
0.655,0.65,0.66,4.7047,0.8118,-0.8118
0.665,0.66,0.67,5.3899,0.9184,-0.9184
0.675,0.67,0.68,6.1976,1.0407,-1.0407
0.685,0.68,0.69,7.1423,1.18,-1.18
0.695,0.69,0.7,8.2314,1.3366,-1.3366
0.705,0.7,0.71,9.4576,1.5083,-1.5083
0.715,0.71,0.72,10.7871,1.6896,-1.6896
0.725,0.72,0.73,12.1476,1.8696,-1.8696
0.735,0.73,0.74,13.4218,2.0317,-2.0317
0.745,0.74,0.75,14.4577,2.1554,-2.1554
0.755,0.75,0.76,15.104,2.2218,-2.2218
0.765,0.76,0.77,15.2613,2.2197,-2.2197
