#: table_doi: 10.17182/hepdata.74824.v1/t165
#: name: Table 165
#: description: Fp wave cross section for -T.

#: data_file: Table165.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0341,0.0109,-0.0109
0.415,0.41,0.42,0.0393,0.0126,-0.0126
0.425,0.42,0.43,0.0447,0.0144,-0.0144
0.435,0.43,0.44,0.0503,0.0162,-0.0162
0.445,0.44,0.45,0.056,0.0181,-0.0181
0.455,0.45,0.46,0.0617,0.02,-0.02
0.46499999999999997,0.46,0.47,0.0675,0.022,-0.022
0.475,0.47,0.48,0.0733,0.0239,-0.0239
0.485,0.48,0.49,0.079,0.0259,-0.0259
0.495,0.49,0.5,0.0848,0.0279,-0.0279
0.505,0.5,0.51,0.0905,0.0299,-0.0299
0.515,0.51,0.52,0.0961,0.0319,-0.0319
0.525,0.52,0.53,0.1016,0.0338,-0.0338
0.535,0.53,0.54,0.107,0.0358,-0.0358
0.545,0.54,0.55,0.1123,0.0377,-0.0377
0.555,0.55,0.56,0.1174,0.0396,-0.0396
0.565,0.56,0.57,0.1224,0.0415,-0.0415
0.575,0.57,0.58,0.1273,0.0434,-0.0434
0.585,0.58,0.59,0.1319,0.0452,-0.0452
0.595,0.59,0.6,0.1364,0.047,-0.047
0.605,0.6,0.61,0.1407,0.0488,-0.0488
0.615,0.61,0.62,0.1449,0.0505,-0.0505
0.625,0.62,0.63,0.1488,0.0523,-0.0523
0.635,0.63,0.64,0.1526,0.0539,-0.0539
0.645,0.64,0.65,0.1561,0.0556,-0.0556
0.655,0.65,0.66,0.1594,0.0572,-0.0572
0.665,0.66,0.67,0.1626,0.0587,-0.0587
0.675,0.67,0.68,0.1655,0.0602,-0.0602
0.685,0.68,0.69,0.1682,0.0617,-0.0617
0.695,0.69,0.7,0.1708,0.0632,-0.0632
0.705,0.7,0.71,0.1731,0.0646,-0.0646
0.715,0.71,0.72,0.1752,0.066,-0.066
0.725,0.72,0.73,0.1771,0.0673,-0.0673
0.735,0.73,0.74,0.1788,0.0686,-0.0686
0.745,0.74,0.75,0.1802,0.0699,-0.0699
0.755,0.75,0.76,0.1815,0.0711,-0.0711
0.765,0.76,0.77,0.1826,0.0723,-0.0723
0.775,0.77,0.78,0.1835,0.0735,-0.0735
0.785,0.78,0.79,0.1841,0.0746,-0.0746
0.795,0.79,0.8,0.1846,0.0757,-0.0757
0.805,0.8,0.81,0.1849,0.0767,-0.0767
0.815,0.81,0.82,0.185,0.0778,-0.0778
0.825,0.82,0.83,0.185,0.0787,-0.0787
0.835,0.83,0.84,0.1847,0.0797,-0.0797
0.845,0.84,0.85,0.1843,0.0806,-0.0806
0.855,0.85,0.86,0.1837,0.0815,-0.0815
0.865,0.86,0.87,0.183,0.0823,-0.0823
0.875,0.87,0.88,0.182,0.0832,-0.0832
0.885,0.88,0.89,0.181,0.0839,-0.0839
0.895,0.89,0.9,0.1798,0.0847,-0.0847
0.905,0.9,0.91,0.1784,0.0854,-0.0854
0.915,0.91,0.92,0.1769,0.0861,-0.0861
0.925,0.92,0.93,0.1753,0.0867,-0.0867
0.935,0.93,0.94,0.1736,0.0873,-0.0873
0.945,0.94,0.95,0.1718,0.0879,-0.0879
0.955,0.95,0.96,0.1698,0.0884,-0.0884
0.965,0.96,0.97,0.1678,0.0889,-0.0889
0.975,0.97,0.98,0.1657,0.0893,-0.0893
0.985,0.98,0.99,0.1635,0.0897,-0.0897
0.995,0.99,1.0,0.1612,0.0901,-0.0901
1.005,1.0,1.01,0.1588,0.0904,-0.0904
1.0150000000000001,1.01,1.02,0.1565,0.0907,-0.0907
1.025,1.02,1.03,0.154,0.0909,-0.0909
1.0350000000000001,1.03,1.04,0.1516,0.0911,-0.0911
1.045,1.04,1.05,0.1491,0.0913,-0.0913
1.0550000000000002,1.05,1.06,0.1466,0.0914,-0.0914
1.065,1.06,1.07,0.1441,0.0914,-0.0914
1.0750000000000002,1.07,1.08,0.1416,0.0914,-0.0914
1.085,1.08,1.09,0.1391,0.0914,-0.0914
1.0950000000000002,1.09,1.1,0.1367,0.0913,-0.0913
1.105,1.1,1.11,0.1343,0.0912,-0.0912
1.1150000000000002,1.11,1.12,0.1319,0.091,-0.091
1.125,1.12,1.13,0.1297,0.0908,-0.0908
1.1349999999999998,1.13,1.14,0.1275,0.0906,-0.0906
1.145,1.14,1.15,0.1254,0.0903,-0.0903
1.1549999999999998,1.15,1.16,0.1234,0.09,-0.09
1.165,1.16,1.17,0.1216,0.0897,-0.0897
1.1749999999999998,1.17,1.18,0.1198,0.0893,-0.0893
1.185,1.18,1.19,0.1183,0.089,-0.089
1.1949999999999998,1.19,1.2,0.1169,0.0886,-0.0886
1.205,1.2,1.21,0.1157,0.0883,-0.0883
1.2149999999999999,1.21,1.22,0.1146,0.0879,-0.0879
1.225,1.22,1.23,0.1138,0.0876,-0.0876
1.2349999999999999,1.23,1.24,0.1132,0.0874,-0.0874
1.245,1.24,1.25,0.1129,0.0872,-0.0872
1.255,1.25,1.26,0.1128,0.0871,-0.0871
1.2650000000000001,1.26,1.27,0.1131,0.0871,-0.0871
1.275,1.27,1.28,0.1136,0.0873,-0.0873
1.2850000000000001,1.28,1.29,0.1144,0.0875,-0.0875
1.295,1.29,1.3,0.1155,0.088,-0.088
1.3050000000000002,1.3,1.31,0.1171,0.0887,-0.0887
1.315,1.31,1.32,0.1189,0.0897,-0.0897
1.3250000000000002,1.32,1.33,0.1212,0.0909,-0.0909
1.335,1.33,1.34,0.1239,0.0924,-0.0924
1.3450000000000002,1.34,1.35,0.127,0.0943,-0.0943
1.355,1.35,1.36,0.1306,0.0965,-0.0965
1.3650000000000002,1.36,1.37,0.1346,0.0992,-0.0992
1.375,1.37,1.38,0.1391,0.1023,-0.1023
1.3849999999999998,1.38,1.39,0.1442,0.1058,-0.1058
1.395,1.39,1.4,0.1497,0.1098,-0.1098

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0392,0.0064,-0.0064
0.415,0.41,0.42,0.0452,0.0074,-0.0074
0.425,0.42,0.43,0.0515,0.0084,-0.0084
0.435,0.43,0.44,0.0579,0.0095,-0.0095
0.445,0.44,0.45,0.0644,0.0106,-0.0106
0.455,0.45,0.46,0.0711,0.0117,-0.0117
0.46499999999999997,0.46,0.47,0.0777,0.0129,-0.0129
0.475,0.47,0.48,0.0845,0.014,-0.014
0.485,0.48,0.49,0.0912,0.0152,-0.0152
0.495,0.49,0.5,0.0979,0.0164,-0.0164
0.505,0.5,0.51,0.1045,0.0176,-0.0176
0.515,0.51,0.52,0.111,0.0188,-0.0188
0.525,0.52,0.53,0.1175,0.02,-0.02
0.535,0.53,0.54,0.1238,0.0212,-0.0212
0.545,0.54,0.55,0.13,0.0224,-0.0224
0.555,0.55,0.56,0.1361,0.0236,-0.0236
0.565,0.56,0.57,0.142,0.0249,-0.0249
0.575,0.57,0.58,0.1477,0.0261,-0.0261
0.585,0.58,0.59,0.1533,0.0273,-0.0273
0.595,0.59,0.6,0.1586,0.0286,-0.0286
0.605,0.6,0.61,0.1638,0.0299,-0.0299
0.615,0.61,0.62,0.1688,0.0311,-0.0311
0.625,0.62,0.63,0.1736,0.0324,-0.0324
0.635,0.63,0.64,0.1781,0.0337,-0.0337
0.645,0.64,0.65,0.1825,0.035,-0.035
0.655,0.65,0.66,0.1866,0.0363,-0.0363
0.665,0.66,0.67,0.1906,0.0376,-0.0376
0.675,0.67,0.68,0.1943,0.0389,-0.0389
0.685,0.68,0.69,0.1978,0.0402,-0.0402
0.695,0.69,0.7,0.201,0.0416,-0.0416
0.705,0.7,0.71,0.2041,0.0429,-0.0429
0.715,0.71,0.72,0.2069,0.0442,-0.0442
0.725,0.72,0.73,0.2095,0.0456,-0.0456
0.735,0.73,0.74,0.212,0.0469,-0.0469
0.745,0.74,0.75,0.2141,0.0483,-0.0483
0.755,0.75,0.76,0.2161,0.0496,-0.0496
0.765,0.76,0.77,0.2179,0.051,-0.051
0.775,0.77,0.78,0.2195,0.0523,-0.0523
0.785,0.78,0.79,0.2208,0.0536,-0.0536
0.795,0.79,0.8,0.222,0.0549,-0.0549
0.805,0.8,0.81,0.223,0.0562,-0.0562
0.815,0.81,0.82,0.2238,0.0575,-0.0575
0.825,0.82,0.83,0.2244,0.0588,-0.0588
0.835,0.83,0.84,0.2248,0.06,-0.06
0.845,0.84,0.85,0.2251,0.0612,-0.0612
0.855,0.85,0.86,0.2252,0.0624,-0.0624
0.865,0.86,0.87,0.2252,0.0635,-0.0635
0.875,0.87,0.88,0.225,0.0646,-0.0646
0.885,0.88,0.89,0.2246,0.0656,-0.0656
0.895,0.89,0.9,0.2242,0.0666,-0.0666
0.905,0.9,0.91,0.2236,0.0675,-0.0675
0.915,0.91,0.92,0.2228,0.0684,-0.0684
0.925,0.92,0.93,0.222,0.0692,-0.0692
0.935,0.93,0.94,0.2211,0.0699,-0.0699
0.945,0.94,0.95,0.2201,0.0706,-0.0706
0.955,0.95,0.96,0.219,0.0711,-0.0711
0.965,0.96,0.97,0.2178,0.0716,-0.0716
0.975,0.97,0.98,0.2166,0.072,-0.072
0.985,0.98,0.99,0.2153,0.0723,-0.0723
0.995,0.99,1.0,0.214,0.0725,-0.0725
1.005,1.0,1.01,0.2127,0.0727,-0.0727
1.0150000000000001,1.01,1.02,0.2113,0.0727,-0.0727
1.025,1.02,1.03,0.21,0.0726,-0.0726
1.0350000000000001,1.03,1.04,0.2086,0.0725,-0.0725
1.045,1.04,1.05,0.2073,0.0722,-0.0722
1.0550000000000002,1.05,1.06,0.206,0.0719,-0.0719
1.065,1.06,1.07,0.2048,0.0715,-0.0715
1.0750000000000002,1.07,1.08,0.2036,0.0711,-0.0711
1.085,1.08,1.09,0.2025,0.0705,-0.0705
1.0950000000000002,1.09,1.1,0.2015,0.07,-0.07
1.105,1.1,1.11,0.2006,0.0694,-0.0694
1.1150000000000002,1.11,1.12,0.1998,0.0689,-0.0689
1.125,1.12,1.13,0.1991,0.0685,-0.0685
1.1349999999999998,1.13,1.14,0.1986,0.0681,-0.0681
1.145,1.14,1.15,0.1983,0.0679,-0.0679
1.1549999999999998,1.15,1.16,0.1982,0.0679,-0.0679
1.165,1.16,1.17,0.1983,0.0682,-0.0682
1.1749999999999998,1.17,1.18,0.1986,0.0688,-0.0688
1.185,1.18,1.19,0.1991,0.0698,-0.0698
1.1949999999999998,1.19,1.2,0.1999,0.0714,-0.0714
1.205,1.2,1.21,0.201,0.0734,-0.0734
1.2149999999999999,1.21,1.22,0.2023,0.0761,-0.0761
1.225,1.22,1.23,0.204,0.0795,-0.0795
1.2349999999999999,1.23,1.24,0.206,0.0836,-0.0836
1.245,1.24,1.25,0.2084,0.0884,-0.0884
