#: table_doi: 10.17182/hepdata.74824.v1/t128
#: name: Table 128
#: description: Dm wave cross section for -T.

#: data_file: Table128.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0659,0.0703,-0.0703
0.415,0.41,0.42,0.0592,0.0628,-0.0628
0.425,0.42,0.43,0.0538,0.0556,-0.0556
0.435,0.43,0.44,0.0496,0.0491,-0.0491
0.445,0.44,0.45,0.0465,0.0432,-0.0432
0.455,0.45,0.46,0.0444,0.0381,-0.0381
0.46499999999999997,0.46,0.47,0.0432,0.0341,-0.0341
0.475,0.47,0.48,0.0429,0.0314,-0.0314
0.485,0.48,0.49,0.0433,0.03,-0.03
0.495,0.49,0.5,0.0445,0.0299,-0.0299
0.505,0.5,0.51,0.0462,0.031,-0.031
0.515,0.51,0.52,0.0484,0.0328,-0.0328
0.525,0.52,0.53,0.0512,0.0352,-0.0352
0.535,0.53,0.54,0.0542,0.0379,-0.0379
0.545,0.54,0.55,0.0577,0.0407,-0.0407
0.555,0.55,0.56,0.0613,0.0435,-0.0435
0.565,0.56,0.57,0.0652,0.0462,-0.0462
0.575,0.57,0.58,0.0692,0.0487,-0.0487
0.585,0.58,0.59,0.0733,0.0511,-0.0511
0.595,0.59,0.6,0.0774,0.0532,-0.0532
0.605,0.6,0.61,0.0815,0.0552,-0.0552
0.615,0.61,0.62,0.0856,0.0569,-0.0569
0.625,0.62,0.63,0.0896,0.0585,-0.0585
0.635,0.63,0.64,0.0935,0.0599,-0.0599
0.645,0.64,0.65,0.0972,0.0612,-0.0612
0.655,0.65,0.66,0.1008,0.0624,-0.0624
0.665,0.66,0.67,0.1042,0.0636,-0.0636
0.675,0.67,0.68,0.1073,0.0647,-0.0647
0.685,0.68,0.69,0.1102,0.0659,-0.0659
0.695,0.69,0.7,0.1129,0.0672,-0.0672
0.705,0.7,0.71,0.1154,0.0685,-0.0685
0.715,0.71,0.72,0.1177,0.0699,-0.0699
0.725,0.72,0.73,0.1197,0.0715,-0.0715
0.735,0.73,0.74,0.1215,0.0731,-0.0731
0.745,0.74,0.75,0.1231,0.0749,-0.0749
0.755,0.75,0.76,0.1245,0.0768,-0.0768
