#: table_doi: 10.17182/hepdata.74824.v1/t143
#: name: Table 143
#: description: Dp wave cross section for -T.

#: data_file: Table143.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0442,0.0192,-0.0192
0.415,0.41,0.42,0.0468,0.022,-0.022
0.425,0.42,0.43,0.0501,0.0259,-0.0259
0.435,0.43,0.44,0.0539,0.0307,-0.0307
0.445,0.44,0.45,0.0582,0.0361,-0.0361
0.455,0.45,0.46,0.0629,0.0418,-0.0418
0.46499999999999997,0.46,0.47,0.0678,0.0478,-0.0478
0.475,0.47,0.48,0.073,0.0539,-0.0539
0.485,0.48,0.49,0.0784,0.06,-0.06
0.495,0.49,0.5,0.0839,0.066,-0.066
0.505,0.5,0.51,0.0895,0.0719,-0.0719
0.515,0.51,0.52,0.0952,0.0775,-0.0775
0.525,0.52,0.53,0.1008,0.083,-0.083
0.535,0.53,0.54,0.1064,0.0881,-0.0881
0.545,0.54,0.55,0.1119,0.0929,-0.0929
0.555,0.55,0.56,0.1173,0.0973,-0.0973
0.565,0.56,0.57,0.1226,0.1013,-0.1013
0.575,0.57,0.58,0.1278,0.1049,-0.1049
0.585,0.58,0.59,0.1328,0.1081,-0.1081
0.595,0.59,0.6,0.1376,0.1108,-0.1108
0.605,0.6,0.61,0.1422,0.113,-0.113
0.615,0.61,0.62,0.1466,0.1147,-0.1147
0.625,0.62,0.63,0.1508,0.1159,-0.1159
0.635,0.63,0.64,0.1548,0.1167,-0.1167
0.645,0.64,0.65,0.1586,0.117,-0.117
0.655,0.65,0.66,0.1622,0.1168,-0.1168
0.665,0.66,0.67,0.1656,0.1162,-0.1162
0.675,0.67,0.68,0.1688,0.1151,-0.1151
0.685,0.68,0.69,0.1717,0.1136,-0.1136
0.695,0.69,0.7,0.1745,0.1117,-0.1117
0.705,0.7,0.71,0.1772,0.1094,-0.1094
0.715,0.71,0.72,0.1796,0.1069,-0.1069
0.725,0.72,0.73,0.1819,0.104,-0.104
0.735,0.73,0.74,0.1841,0.1009,-0.1009
0.745,0.74,0.75,0.1861,0.0976,-0.0976
0.755,0.75,0.76,0.188,0.0942,-0.0942
0.765,0.76,0.77,0.1898,0.0908,-0.0908
0.775,0.77,0.78,0.1916,0.0874,-0.0874
0.785,0.78,0.79,0.1933,0.0842,-0.0842
0.795,0.79,0.8,0.195,0.0811,-0.0811
0.805,0.8,0.81,0.1966,0.0785,-0.0785
0.815,0.81,0.82,0.1983,0.0763,-0.0763
0.825,0.82,0.83,0.2,0.0746,-0.0746
0.835,0.83,0.84,0.2017,0.0737,-0.0737
0.845,0.84,0.85,0.2035,0.0735,-0.0735
0.855,0.85,0.86,0.2053,0.0741,-0.0741
0.865,0.86,0.87,0.2073,0.0755,-0.0755
0.875,0.87,0.88,0.2094,0.0777,-0.0777
0.885,0.88,0.89,0.2116,0.0806,-0.0806
0.895,0.89,0.9,0.2139,0.0842,-0.0842
0.905,0.9,0.91,0.2164,0.0883,-0.0883
0.915,0.91,0.92,0.2191,0.0929,-0.0929
0.925,0.92,0.93,0.222,0.0978,-0.0978
0.935,0.93,0.94,0.2251,0.103,-0.103
0.945,0.94,0.95,0.2284,0.1084,-0.1084
0.955,0.95,0.96,0.232,0.1139,-0.1139
0.965,0.96,0.97,0.2358,0.1194,-0.1194
0.975,0.97,0.98,0.2398,0.1248,-0.1248
0.985,0.98,0.99,0.2441,0.1302,-0.1302
0.995,0.99,1.0,0.2488,0.1354,-0.1354
1.005,1.0,1.01,0.2537,0.1405,-0.1405
1.0150000000000001,1.01,1.02,0.2589,0.1452,-0.1452
1.025,1.02,1.03,0.2645,0.1497,-0.1497
1.0350000000000001,1.03,1.04,0.2704,0.1539,-0.1539
1.045,1.04,1.05,0.2767,0.1576,-0.1576
1.0550000000000002,1.05,1.06,0.2834,0.1609,-0.1609
1.065,1.06,1.07,0.2905,0.1638,-0.1638
1.0750000000000002,1.07,1.08,0.2981,0.1661,-0.1661
1.085,1.08,1.09,0.3061,0.1679,-0.1679
1.0950000000000002,1.09,1.1,0.3146,0.169,-0.169
1.105,1.1,1.11,0.3237,0.1695,-0.1695
1.1150000000000002,1.11,1.12,0.3333,0.1692,-0.1692
1.125,1.12,1.13,0.3435,0.1682,-0.1682
1.1349999999999998,1.13,1.14,0.3543,0.1664,-0.1664
1.145,1.14,1.15,0.3657,0.1638,-0.1638
1.1549999999999998,1.15,1.16,0.3777,0.1605,-0.1605
1.165,1.16,1.17,0.3901,0.1563,-0.1563
1.1749999999999998,1.17,1.18,0.4028,0.1514,-0.1514
1.185,1.18,1.19,0.4154,0.1459,-0.1459
1.1949999999999998,1.19,1.2,0.4276,0.1402,-0.1402
1.205,1.2,1.21,0.4386,0.1344,-0.1344
1.2149999999999999,1.21,1.22,0.4475,0.1293,-0.1293
1.225,1.22,1.23,0.4531,0.1253,-0.1253
1.2349999999999999,1.23,1.24,0.4541,0.123,-0.123
1.245,1.24,1.25,0.4493,0.1227,-0.1227
1.255,1.25,1.26,0.4375,0.1244,-0.1244
1.2650000000000001,1.26,1.27,0.4186,0.1275,-0.1275
1.275,1.27,1.28,0.3931,0.1311,-0.1311
1.2850000000000001,1.28,1.29,0.3624,0.1345,-0.1345
1.295,1.29,1.3,0.3289,0.1372,-0.1372
1.3050000000000002,1.3,1.31,0.2949,0.1391,-0.1391
