#: table_doi: 10.17182/hepdata.74824.v1/t119
#: name: Table 119
#: description: Pp wave cross section for -T.

#: data_file: Table119.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1047,0.0447,-0.0447
0.415,0.41,0.42,0.1141,0.0481,-0.0481
0.425,0.42,0.43,0.1241,0.0516,-0.0516
0.435,0.43,0.44,0.1349,0.0552,-0.0552
0.445,0.44,0.45,0.1466,0.0589,-0.0589
0.455,0.45,0.46,0.1592,0.0627,-0.0627
0.46499999999999997,0.46,0.47,0.173,0.0666,-0.0666
0.475,0.47,0.48,0.1881,0.0707,-0.0707
0.485,0.48,0.49,0.2047,0.0748,-0.0748
0.495,0.49,0.5,0.223,0.0791,-0.0791
0.505,0.5,0.51,0.2433,0.0835,-0.0835
0.515,0.51,0.52,0.2659,0.0881,-0.0881
0.525,0.52,0.53,0.2912,0.0928,-0.0928
0.535,0.53,0.54,0.3195,0.0978,-0.0978
0.545,0.54,0.55,0.3514,0.103,-0.103
0.555,0.55,0.56,0.3874,0.1085,-0.1085
0.565,0.56,0.57,0.4282,0.1144,-0.1144
0.575,0.57,0.58,0.4746,0.1208,-0.1208
0.585,0.58,0.59,0.5276,0.1278,-0.1278
0.595,0.59,0.6,0.5884,0.1356,-0.1356
0.605,0.6,0.61,0.6583,0.1444,-0.1444
0.615,0.61,0.62,0.7389,0.1545,-0.1545
0.625,0.62,0.63,0.8323,0.1663,-0.1663
0.635,0.63,0.64,0.9408,0.1801,-0.1801
0.645,0.64,0.65,1.0668,0.1966,-0.1966
0.655,0.65,0.66,1.2134,0.2161,-0.2161
0.665,0.66,0.67,1.3836,0.2395,-0.2395
0.675,0.67,0.68,1.5801,0.2672,-0.2672
0.685,0.68,0.69,1.8048,0.2997,-0.2997
0.695,0.69,0.7,2.0574,0.3373,-0.3373
0.705,0.7,0.71,2.3334,0.3793,-0.3793
0.715,0.71,0.72,2.6219,0.4242,-0.4242
0.725,0.72,0.73,2.903,0.4691,-0.4691
0.735,0.73,0.74,3.1479,0.5093,-0.5093
0.745,0.74,0.75,3.3217,0.5395,-0.5395
0.755,0.75,0.76,3.3935,0.5545,-0.5545
0.765,0.76,0.77,3.3474,0.5516,-0.5516
0.775,0.77,0.78,3.1903,0.5316,-0.5316
0.785,0.78,0.79,2.9487,0.4985,-0.4985
0.795,0.79,0.8,2.6583,0.4577,-0.4577
0.805,0.8,0.81,2.3528,0.4147,-0.4147
0.815,0.81,0.82,2.057,0.3732,-0.3732
0.825,0.82,0.83,1.7855,0.3355,-0.3355
0.835,0.83,0.84,1.5449,0.3026,-0.3026
0.845,0.84,0.85,1.3363,0.2747,-0.2747
0.855,0.85,0.86,1.158,0.2512,-0.2512
0.865,0.86,0.87,1.0069,0.2317,-0.2317
0.875,0.87,0.88,0.8792,0.2153,-0.2153
0.885,0.88,0.89,0.7717,0.2016,-0.2016
0.895,0.89,0.9,0.6812,0.1899,-0.1899
0.905,0.9,0.91,0.605,0.1797,-0.1797
0.915,0.91,0.92,0.5408,0.1708,-0.1708
0.925,0.92,0.93,0.4868,0.1628,-0.1628
0.935,0.93,0.94,0.4413,0.1555,-0.1555
0.945,0.94,0.95,0.403,0.1488,-0.1488
0.955,0.95,0.96,0.3708,0.1425,-0.1425
0.965,0.96,0.97,0.3439,0.1367,-0.1367
0.975,0.97,0.98,0.3213,0.1313,-0.1313
0.985,0.98,0.99,0.3026,0.1262,-0.1262
0.995,0.99,1.0,0.2872,0.1216,-0.1216
1.005,1.0,1.01,0.2746,0.1174,-0.1174
1.0150000000000001,1.01,1.02,0.2644,0.1137,-0.1137
1.025,1.02,1.03,0.2563,0.1105,-0.1105
1.0350000000000001,1.03,1.04,0.2499,0.108,-0.108
1.045,1.04,1.05,0.2451,0.1062,-0.1062
1.0550000000000002,1.05,1.06,0.2417,0.1051,-0.1051
1.065,1.06,1.07,0.2393,0.1047,-0.1047
1.0750000000000002,1.07,1.08,0.2379,0.1052,-0.1052
1.085,1.08,1.09,0.2373,0.1065,-0.1065
1.0950000000000002,1.09,1.1,0.2373,0.1085,-0.1085
1.105,1.1,1.11,0.2379,0.1112,-0.1112
1.1150000000000002,1.11,1.12,0.2389,0.1146,-0.1146
1.125,1.12,1.13,0.2401,0.1186,-0.1186
1.1349999999999998,1.13,1.14,0.2416,0.123,-0.123
1.145,1.14,1.15,0.2432,0.1279,-0.1279
1.1549999999999998,1.15,1.16,0.2448,0.1331,-0.1331
1.165,1.16,1.17,0.2464,0.1386,-0.1386
1.1749999999999998,1.17,1.18,0.2478,0.1443,-0.1443
1.185,1.18,1.19,0.2492,0.1501,-0.1501
1.1949999999999998,1.19,1.2,0.2503,0.156,-0.156
1.205,1.2,1.21,0.2511,0.1619,-0.1619
1.2149999999999999,1.21,1.22,0.2516,0.1678,-0.1678
1.225,1.22,1.23,0.2518,0.1737,-0.1737
1.2349999999999999,1.23,1.24,0.2516,0.1795,-0.1795
1.245,1.24,1.25,0.2511,0.1851,-0.1851
1.255,1.25,1.26,0.2501,0.1906,-0.1906
1.2650000000000001,1.26,1.27,0.2488,0.196,-0.196
1.275,1.27,1.28,0.247,0.2011,-0.2011
1.2850000000000001,1.28,1.29,0.2449,0.2061,-0.2061
1.295,1.29,1.3,0.2424,0.2108,-0.2108
1.3050000000000002,1.3,1.31,0.2395,0.2153,-0.2153
1.315,1.31,1.32,0.2364,0.2197,-0.2197
1.3250000000000002,1.32,1.33,0.2331,0.2238,-0.2238
1.335,1.33,1.34,0.2295,0.2277,-0.2277
1.3450000000000002,1.34,1.35,0.2259,0.2314,-0.2314
1.355,1.35,1.36,0.2223,0.235,-0.235
1.3650000000000002,1.36,1.37,0.2188,0.2385,-0.2385
1.375,1.37,1.38,0.2156,0.242,-0.242
1.3849999999999998,1.38,1.39,0.2127,0.2455,-0.2455
1.395,1.39,1.4,0.2103,0.2492,-0.2492

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0483,0.0247,-0.0247
0.415,0.41,0.42,0.0526,0.0265,-0.0265
0.425,0.42,0.43,0.0572,0.0282,-0.0282
0.435,0.43,0.44,0.0622,0.0299,-0.0299
0.445,0.44,0.45,0.0677,0.0317,-0.0317
0.455,0.45,0.46,0.0738,0.0334,-0.0334
0.46499999999999997,0.46,0.47,0.0805,0.0351,-0.0351
0.475,0.47,0.48,0.0879,0.0368,-0.0368
0.485,0.48,0.49,0.0963,0.0385,-0.0385
0.495,0.49,0.5,0.1057,0.0402,-0.0402
0.505,0.5,0.51,0.1163,0.0419,-0.0419
0.515,0.51,0.52,0.1284,0.0436,-0.0436
0.525,0.52,0.53,0.1421,0.0453,-0.0453
0.535,0.53,0.54,0.1578,0.0469,-0.0469
0.545,0.54,0.55,0.1757,0.0486,-0.0486
0.555,0.55,0.56,0.1964,0.0505,-0.0505
0.565,0.56,0.57,0.2202,0.0525,-0.0525
0.575,0.57,0.58,0.2478,0.0548,-0.0548
0.585,0.58,0.59,0.2798,0.0576,-0.0576
0.595,0.59,0.6,0.3172,0.0612,-0.0612
0.605,0.6,0.61,0.3609,0.0659,-0.0659
0.615,0.61,0.62,0.4122,0.0721,-0.0721
0.625,0.62,0.63,0.4726,0.0803,-0.0803
0.635,0.63,0.64,0.5438,0.0911,-0.0911
0.645,0.64,0.65,0.6281,0.105,-0.105
0.655,0.65,0.66,0.7279,0.1227,-0.1227
0.665,0.66,0.67,0.8458,0.1448,-0.1448
0.675,0.67,0.68,0.9845,0.1719,-0.1719
0.685,0.68,0.69,1.1465,0.2044,-0.2044
0.695,0.69,0.7,1.3328,0.2424,-0.2424
0.705,0.7,0.71,1.5418,0.2856,-0.2856
0.715,0.71,0.72,1.7673,0.3325,-0.3325
0.725,0.72,0.73,1.9968,0.3802,-0.3802
0.735,0.73,0.74,2.2098,0.4243,-0.4243
0.745,0.74,0.75,2.3805,0.4592,-0.4592
0.755,0.75,0.76,2.4831,0.4796,-0.4796
0.765,0.76,0.77,2.5016,0.4824,-0.4824
0.775,0.77,0.78,2.4354,0.468,-0.468
0.785,0.78,0.79,2.2997,0.4398,-0.4398
0.795,0.79,0.8,2.1185,0.4034,-0.4034
0.805,0.8,0.81,1.9162,0.3641,-0.3641
0.815,0.81,0.82,1.7122,0.3258,-0.3258
0.825,0.82,0.83,1.5189,0.2911,-0.2911
0.835,0.83,0.84,1.343,0.2612,-0.2612
0.845,0.84,0.85,1.1869,0.2363,-0.2363
0.855,0.85,0.86,1.0505,0.2161,-0.2161
0.865,0.86,0.87,0.9323,0.1998,-0.1998
0.875,0.87,0.88,0.8305,0.1868,-0.1868
0.885,0.88,0.89,0.7428,0.1764,-0.1764
0.895,0.89,0.9,0.6673,0.1679,-0.1679
0.905,0.9,0.91,0.6024,0.1608,-0.1608
0.915,0.91,0.92,0.5463,0.1547,-0.1547
0.925,0.92,0.93,0.4977,0.1493,-0.1493
0.935,0.93,0.94,0.4557,0.1443,-0.1443
0.945,0.94,0.95,0.4191,0.1396,-0.1396
0.955,0.95,0.96,0.3873,0.1351,-0.1351
0.965,0.96,0.97,0.3596,0.1306,-0.1306
0.975,0.97,0.98,0.3353,0.1262,-0.1262
0.985,0.98,0.99,0.3141,0.1218,-0.1218
0.995,0.99,1.0,0.2955,0.1175,-0.1175
1.005,1.0,1.01,0.2792,0.1131,-0.1131
1.0150000000000001,1.01,1.02,0.2649,0.1089,-0.1089
1.025,1.02,1.03,0.2524,0.1047,-0.1047
1.0350000000000001,1.03,1.04,0.2413,0.1007,-0.1007
1.045,1.04,1.05,0.2316,0.0969,-0.0969
1.0550000000000002,1.05,1.06,0.2231,0.0934,-0.0934
1.065,1.06,1.07,0.2155,0.0902,-0.0902
1.0750000000000002,1.07,1.08,0.2089,0.0874,-0.0874
1.085,1.08,1.09,0.2031,0.0851,-0.0851
1.0950000000000002,1.09,1.1,0.1979,0.0833,-0.0833
1.105,1.1,1.11,0.1933,0.082,-0.082
1.1150000000000002,1.11,1.12,0.1893,0.0813,-0.0813
1.125,1.12,1.13,0.1857,0.0811,-0.0811
1.1349999999999998,1.13,1.14,0.1825,0.0815,-0.0815
1.145,1.14,1.15,0.1796,0.0825,-0.0825
1.1549999999999998,1.15,1.16,0.177,0.0839,-0.0839
1.165,1.16,1.17,0.1747,0.0858,-0.0858
1.1749999999999998,1.17,1.18,0.1726,0.088,-0.088
1.185,1.18,1.19,0.1707,0.0905,-0.0905
1.1949999999999998,1.19,1.2,0.169,0.0932,-0.0932
1.205,1.2,1.21,0.1674,0.0961,-0.0961
1.2149999999999999,1.21,1.22,0.166,0.0991,-0.0991
1.225,1.22,1.23,0.1647,0.1022,-0.1022
1.2349999999999999,1.23,1.24,0.1636,0.1053,-0.1053
1.245,1.24,1.25,0.1627,0.1085,-0.1085
1.255,1.25,1.26,0.162,0.1117,-0.1117
1.2650000000000001,1.26,1.27,0.1615,0.1149,-0.1149
1.275,1.27,1.28,0.1612,0.1182,-0.1182
1.2850000000000001,1.28,1.29,0.1612,0.1216,-0.1216
1.295,1.29,1.3,0.1616,0.1251,-0.1251
1.3050000000000002,1.3,1.31,0.1624,0.1288,-0.1288
1.315,1.31,1.32,0.1637,0.1328,-0.1328
1.3250000000000002,1.32,1.33,0.1656,0.1371,-0.1371
1.335,1.33,1.34,0.1681,0.1418,-0.1418
1.3450000000000002,1.34,1.35,0.1713,0.147,-0.147
1.355,1.35,1.36,0.1754,0.1528,-0.1528
1.3650000000000002,1.36,1.37,0.1806,0.1593,-0.1593
1.375,1.37,1.38,0.1869,0.1666,-0.1666
1.3849999999999998,1.38,1.39,0.1944,0.1748,-0.1748
1.395,1.39,1.4,0.2035,0.1841,-0.1841

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0338,0.031,-0.031
0.415,0.41,0.42,0.0375,0.0343,-0.0343
0.425,0.42,0.43,0.0416,0.0378,-0.0378
0.435,0.43,0.44,0.0462,0.0416,-0.0416
0.445,0.44,0.45,0.0512,0.0457,-0.0457
0.455,0.45,0.46,0.0569,0.0501,-0.0501
0.46499999999999997,0.46,0.47,0.0632,0.0548,-0.0548
0.475,0.47,0.48,0.0704,0.0598,-0.0598
0.485,0.48,0.49,0.0785,0.0652,-0.0652
0.495,0.49,0.5,0.0876,0.0709,-0.0709
0.505,0.5,0.51,0.0981,0.0771,-0.0771
0.515,0.51,0.52,0.11,0.0837,-0.0837
0.525,0.52,0.53,0.1236,0.0908,-0.0908
0.535,0.53,0.54,0.1392,0.0984,-0.0984
0.545,0.54,0.55,0.1571,0.1065,-0.1065
0.555,0.55,0.56,0.1778,0.1153,-0.1153
0.565,0.56,0.57,0.2016,0.1248,-0.1248
0.575,0.57,0.58,0.2293,0.1351,-0.1351
0.585,0.58,0.59,0.2615,0.1462,-0.1462
0.595,0.59,0.6,0.299,0.1584,-0.1584
0.605,0.6,0.61,0.3429,0.1718,-0.1718
0.615,0.61,0.62,0.3944,0.1864,-0.1864
0.625,0.62,0.63,0.4551,0.2026,-0.2026
0.635,0.63,0.64,0.5266,0.2206,-0.2206
0.645,0.64,0.65,0.6112,0.2405,-0.2405
0.655,0.65,0.66,0.7113,0.2627,-0.2627
0.665,0.66,0.67,0.8295,0.2873,-0.2873
0.675,0.67,0.68,0.9684,0.3144,-0.3144
