#: table_doi: 10.17182/hepdata.74824.v1/t182
#: name: Table 182
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table182.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.3849999999999998,1.38,1.39,-0.1082,0.0175,-0.0175
1.395,1.39,1.4,-0.1031,0.0179,-0.0179

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0301,0.0434,-0.0434
0.415,0.41,0.42,-0.0264,0.039,-0.039
0.425,0.42,0.43,-0.0222,0.0349,-0.0349
0.435,0.43,0.44,-0.0178,0.0312,-0.0312
0.445,0.44,0.45,-0.0132,0.0278,-0.0278
0.455,0.45,0.46,-0.0086,0.0248,-0.0248
0.46499999999999997,0.46,0.47,-0.004,0.0223,-0.0223
0.475,0.47,0.48,0.0005,0.0202,-0.0202
0.485,0.48,0.49,0.0048,0.0187,-0.0187
0.495,0.49,0.5,0.009,0.0178,-0.0178
0.505,0.5,0.51,0.0129,0.0174,-0.0174
0.515,0.51,0.52,0.0166,0.0175,-0.0175
0.525,0.52,0.53,0.02,0.0181,-0.0181
0.535,0.53,0.54,0.0232,0.019,-0.019
0.545,0.54,0.55,0.026,0.0203,-0.0203
0.555,0.55,0.56,0.0286,0.0218,-0.0218
0.565,0.56,0.57,0.0307,0.0235,-0.0235
0.575,0.57,0.58,0.0325,0.0253,-0.0253
