#: table_doi: 10.17182/hepdata.74824.v1/t140
#: name: Table 140
#: description: Dp wave cross section for -T.

#: data_file: Table140.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
1.395,1.39,1.4,0.3231,0.2645,-0.2645

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1255,0.0416,-0.0416
0.415,0.41,0.42,0.1203,0.0421,-0.0421
0.425,0.42,0.43,0.1159,0.043,-0.043
0.435,0.43,0.44,0.1123,0.0442,-0.0442
0.445,0.44,0.45,0.1096,0.0455,-0.0455
0.455,0.45,0.46,0.1075,0.0471,-0.0471
0.46499999999999997,0.46,0.47,0.1063,0.0488,-0.0488
0.475,0.47,0.48,0.1058,0.0507,-0.0507
0.485,0.48,0.49,0.1061,0.0528,-0.0528
0.495,0.49,0.5,0.107,0.055,-0.055
0.505,0.5,0.51,0.1086,0.0573,-0.0573
0.515,0.51,0.52,0.1109,0.0597,-0.0597
0.525,0.52,0.53,0.1138,0.0623,-0.0623
0.535,0.53,0.54,0.1173,0.0649,-0.0649
0.545,0.54,0.55,0.1213,0.0676,-0.0676
0.555,0.55,0.56,0.1259,0.0703,-0.0703
0.565,0.56,0.57,0.1309,0.0731,-0.0731
0.575,0.57,0.58,0.1364,0.076,-0.076
0.585,0.58,0.59,0.1423,0.0789,-0.0789
0.595,0.59,0.6,0.1486,0.0819,-0.0819
0.605,0.6,0.61,0.1552,0.085,-0.085
0.615,0.61,0.62,0.162,0.0881,-0.0881
0.625,0.62,0.63,0.1691,0.0913,-0.0913
0.635,0.63,0.64,0.1763,0.0946,-0.0946
0.645,0.64,0.65,0.1837,0.098,-0.098
0.655,0.65,0.66,0.1912,0.1014,-0.1014
0.665,0.66,0.67,0.1988,0.105,-0.105
0.675,0.67,0.68,0.2063,0.1086,-0.1086
0.685,0.68,0.69,0.2138,0.1123,-0.1123
0.695,0.69,0.7,0.2212,0.1162,-0.1162
0.705,0.7,0.71,0.2285,0.1201,-0.1201
0.715,0.71,0.72,0.2357,0.124,-0.124
0.725,0.72,0.73,0.2426,0.1281,-0.1281
0.735,0.73,0.74,0.2492,0.1322,-0.1322
0.745,0.74,0.75,0.2556,0.1363,-0.1363
0.755,0.75,0.76,0.2616,0.1404,-0.1404
0.765,0.76,0.77,0.2673,0.1446,-0.1446
0.775,0.77,0.78,0.2726,0.1487,-0.1487
0.785,0.78,0.79,0.2775,0.1527,-0.1527
0.795,0.79,0.8,0.282,0.1566,-0.1566
0.805,0.8,0.81,0.2859,0.1604,-0.1604
0.815,0.81,0.82,0.2894,0.1641,-0.1641
0.825,0.82,0.83,0.2924,0.1676,-0.1676
0.835,0.83,0.84,0.2948,0.1708,-0.1708
0.845,0.84,0.85,0.2967,0.1738,-0.1738
0.855,0.85,0.86,0.298,0.1764,-0.1764
0.865,0.86,0.87,0.2987,0.1788,-0.1788
0.875,0.87,0.88,0.2989,0.1807,-0.1807
0.885,0.88,0.89,0.2984,0.1823,-0.1823
0.895,0.89,0.9,0.2974,0.1834,-0.1834
0.905,0.9,0.91,0.2958,0.1841,-0.1841
