#: table_doi: 10.17182/hepdata.74824.v1/t166
#: name: Table 166
#: description: Fp wave cross section for -T.

#: data_file: Table166.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0146,0.0157,-0.0157
0.415,0.41,0.42,0.0169,0.0181,-0.0181
0.425,0.42,0.43,0.0193,0.0207,-0.0207
0.435,0.43,0.44,0.0218,0.0233,-0.0233
0.445,0.44,0.45,0.0243,0.026,-0.026
0.455,0.45,0.46,0.0269,0.0288,-0.0288
0.46499999999999997,0.46,0.47,0.0295,0.0316,-0.0316
0.475,0.47,0.48,0.0322,0.0344,-0.0344
0.485,0.48,0.49,0.0348,0.0373,-0.0373
0.495,0.49,0.5,0.0375,0.0401,-0.0401
0.505,0.5,0.51,0.0402,0.0429,-0.0429
0.515,0.51,0.52,0.0429,0.0458,-0.0458
0.525,0.52,0.53,0.0456,0.0486,-0.0486
0.535,0.53,0.54,0.0483,0.0514,-0.0514
0.545,0.54,0.55,0.0509,0.0541,-0.0541
0.555,0.55,0.56,0.0535,0.0568,-0.0568
0.565,0.56,0.57,0.0561,0.0595,-0.0595
0.575,0.57,0.58,0.0587,0.0621,-0.0621
0.585,0.58,0.59,0.0612,0.0647,-0.0647
0.595,0.59,0.6,0.0636,0.0672,-0.0672
0.605,0.6,0.61,0.0661,0.0696,-0.0696
0.615,0.61,0.62,0.0685,0.072,-0.072
0.625,0.62,0.63,0.0708,0.0743,-0.0743
0.635,0.63,0.64,0.0731,0.0765,-0.0765
0.645,0.64,0.65,0.0754,0.0787,-0.0787
0.655,0.65,0.66,0.0776,0.0808,-0.0808
0.665,0.66,0.67,0.0798,0.0828,-0.0828
0.675,0.67,0.68,0.0819,0.0847,-0.0847
0.685,0.68,0.69,0.084,0.0865,-0.0865
0.695,0.69,0.7,0.086,0.0883,-0.0883
0.705,0.7,0.71,0.088,0.09,-0.09
0.715,0.71,0.72,0.0899,0.0916,-0.0916
0.725,0.72,0.73,0.0918,0.0931,-0.0931
0.735,0.73,0.74,0.0937,0.0946,-0.0946
0.745,0.74,0.75,0.0955,0.0959,-0.0959
0.755,0.75,0.76,0.0973,0.0972,-0.0972
0.765,0.76,0.77,0.099,0.0983,-0.0983
0.775,0.77,0.78,0.1007,0.0994,-0.0994
