#: table_doi: 10.17182/hepdata.74824.v1/t148
#: name: Table 148
#: description: F wave cross section for -T.

#: data_file: Table148.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0613,0.0184,-0.0184
0.415,0.41,0.42,0.0707,0.0212,-0.0212
0.425,0.42,0.43,0.0806,0.024,-0.024
0.435,0.43,0.44,0.0907,0.0269,-0.0269
0.445,0.44,0.45,0.101,0.0299,-0.0299
0.455,0.45,0.46,0.1115,0.0328,-0.0328
0.46499999999999997,0.46,0.47,0.1221,0.0358,-0.0358
0.475,0.47,0.48,0.1328,0.0388,-0.0388
0.485,0.48,0.49,0.1435,0.0417,-0.0417
0.495,0.49,0.5,0.1542,0.0446,-0.0446
0.505,0.5,0.51,0.1648,0.0474,-0.0474
0.515,0.51,0.52,0.1753,0.0502,-0.0502
0.525,0.52,0.53,0.1858,0.0529,-0.0529
0.535,0.53,0.54,0.1961,0.0556,-0.0556
0.545,0.54,0.55,0.2062,0.0582,-0.0582
0.555,0.55,0.56,0.2161,0.0607,-0.0607
0.565,0.56,0.57,0.2258,0.0631,-0.0631
0.575,0.57,0.58,0.2354,0.0655,-0.0655
0.585,0.58,0.59,0.2447,0.0677,-0.0677
0.595,0.59,0.6,0.2537,0.0699,-0.0699
0.605,0.6,0.61,0.2625,0.072,-0.072
0.615,0.61,0.62,0.2711,0.0741,-0.0741
0.625,0.62,0.63,0.2794,0.076,-0.076
0.635,0.63,0.64,0.2874,0.0779,-0.0779
0.645,0.64,0.65,0.2951,0.0797,-0.0797
0.655,0.65,0.66,0.3026,0.0814,-0.0814
0.665,0.66,0.67,0.3098,0.0831,-0.0831
0.675,0.67,0.68,0.3168,0.0847,-0.0847
0.685,0.68,0.69,0.3235,0.0862,-0.0862
0.695,0.69,0.7,0.3299,0.0878,-0.0878
0.705,0.7,0.71,0.336,0.0892,-0.0892
0.715,0.71,0.72,0.3419,0.0907,-0.0907
0.725,0.72,0.73,0.3475,0.0921,-0.0921
0.735,0.73,0.74,0.3529,0.0935,-0.0935
0.745,0.74,0.75,0.358,0.0949,-0.0949
0.755,0.75,0.76,0.3629,0.0963,-0.0963
0.765,0.76,0.77,0.3675,0.0978,-0.0978
0.775,0.77,0.78,0.372,0.0992,-0.0992
0.785,0.78,0.79,0.3762,0.1007,-0.1007
0.795,0.79,0.8,0.3802,0.1022,-0.1022
0.805,0.8,0.81,0.3841,0.1037,-0.1037
0.815,0.81,0.82,0.3877,0.1053,-0.1053
0.825,0.82,0.83,0.3912,0.107,-0.107
0.835,0.83,0.84,0.3946,0.1087,-0.1087
0.845,0.84,0.85,0.3978,0.1105,-0.1105
0.855,0.85,0.86,0.4008,0.1123,-0.1123
0.865,0.86,0.87,0.4038,0.1142,-0.1142
0.875,0.87,0.88,0.4066,0.1163,-0.1163
0.885,0.88,0.89,0.4094,0.1184,-0.1184
0.895,0.89,0.9,0.4121,0.1206,-0.1206
0.905,0.9,0.91,0.4148,0.1229,-0.1229
0.915,0.91,0.92,0.4174,0.1253,-0.1253
0.925,0.92,0.93,0.42,0.1278,-0.1278
0.935,0.93,0.94,0.4226,0.1303,-0.1303
0.945,0.94,0.95,0.4253,0.133,-0.133
0.955,0.95,0.96,0.428,0.1358,-0.1358
0.965,0.96,0.97,0.4307,0.1387,-0.1387
0.975,0.97,0.98,0.4336,0.1416,-0.1416
0.985,0.98,0.99,0.4365,0.1447,-0.1447
0.995,0.99,1.0,0.4396,0.1478,-0.1478
1.005,1.0,1.01,0.4428,0.151,-0.151
1.0150000000000001,1.01,1.02,0.4462,0.1543,-0.1543
1.025,1.02,1.03,0.4498,0.1577,-0.1577
1.0350000000000001,1.03,1.04,0.4537,0.1611,-0.1611
1.045,1.04,1.05,0.4578,0.1647,-0.1647
1.0550000000000002,1.05,1.06,0.4621,0.1683,-0.1683
1.065,1.06,1.07,0.4668,0.1719,-0.1719
1.0750000000000002,1.07,1.08,0.4718,0.1757,-0.1757
1.085,1.08,1.09,0.4772,0.1795,-0.1795
1.0950000000000002,1.09,1.1,0.4829,0.1834,-0.1834
1.105,1.1,1.11,0.4891,0.1873,-0.1873
1.1150000000000002,1.11,1.12,0.4958,0.1913,-0.1913
1.125,1.12,1.13,0.5029,0.1954,-0.1954
1.1349999999999998,1.13,1.14,0.5105,0.1996,-0.1996
1.145,1.14,1.15,0.5187,0.2039,-0.2039
1.1549999999999998,1.15,1.16,0.5274,0.2082,-0.2082
1.165,1.16,1.17,0.5368,0.2126,-0.2126
1.1749999999999998,1.17,1.18,0.5468,0.2172,-0.2172
1.185,1.18,1.19,0.5575,0.2219,-0.2219
1.1949999999999998,1.19,1.2,0.5689,0.2267,-0.2267
1.205,1.2,1.21,0.5811,0.2316,-0.2316
1.2149999999999999,1.21,1.22,0.594,0.2367,-0.2367
1.225,1.22,1.23,0.6078,0.242,-0.242
1.2349999999999999,1.23,1.24,0.6225,0.2475,-0.2475
1.245,1.24,1.25,0.6381,0.2532,-0.2532
1.255,1.25,1.26,0.6546,0.2591,-0.2591
1.2650000000000001,1.26,1.27,0.6721,0.2653,-0.2653
1.275,1.27,1.28,0.6907,0.2718,-0.2718
1.2850000000000001,1.28,1.29,0.7103,0.2787,-0.2787
1.295,1.29,1.3,0.7311,0.2859,-0.2859
1.3050000000000002,1.3,1.31,0.753,0.2935,-0.2935
1.315,1.31,1.32,0.7761,0.3015,-0.3015
1.3250000000000002,1.32,1.33,0.8005,0.31,-0.31
1.335,1.33,1.34,0.8263,0.3191,-0.3191
1.3450000000000002,1.34,1.35,0.8533,0.3286,-0.3286
1.355,1.35,1.36,0.8818,0.3388,-0.3388
1.3650000000000002,1.36,1.37,0.9117,0.3496,-0.3496
1.375,1.37,1.38,0.9431,0.361,-0.361
1.3849999999999998,1.38,1.39,0.9761,0.3732,-0.3732
1.395,1.39,1.4,1.0107,0.3862,-0.3862

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.037,0.0297,-0.0297
0.415,0.41,0.42,0.0427,0.0343,-0.0343
0.425,0.42,0.43,0.0486,0.0391,-0.0391
0.435,0.43,0.44,0.0546,0.044,-0.044
0.445,0.44,0.45,0.0608,0.0491,-0.0491
0.455,0.45,0.46,0.0671,0.0543,-0.0543
0.46499999999999997,0.46,0.47,0.0734,0.0595,-0.0595
0.475,0.47,0.48,0.0798,0.0648,-0.0648
0.485,0.48,0.49,0.0861,0.07,-0.07
0.495,0.49,0.5,0.0925,0.0753,-0.0753
0.505,0.5,0.51,0.0987,0.0806,-0.0806
0.515,0.51,0.52,0.105,0.0858,-0.0858
0.525,0.52,0.53,0.1111,0.0909,-0.0909
0.535,0.53,0.54,0.1172,0.096,-0.096
0.545,0.54,0.55,0.1231,0.101,-0.101
0.555,0.55,0.56,0.1289,0.1059,-0.1059
0.565,0.56,0.57,0.1346,0.1107,-0.1107
0.575,0.57,0.58,0.1402,0.1154,-0.1154
0.585,0.58,0.59,0.1456,0.12,-0.12
0.595,0.59,0.6,0.1508,0.1244,-0.1244
0.605,0.6,0.61,0.1559,0.1287,-0.1287
0.615,0.61,0.62,0.1608,0.1328,-0.1328
0.625,0.62,0.63,0.1656,0.1368,-0.1368
0.635,0.63,0.64,0.1702,0.1406,-0.1406
0.645,0.64,0.65,0.1746,0.1442,-0.1442
0.655,0.65,0.66,0.1789,0.1477,-0.1477
0.665,0.66,0.67,0.183,0.151,-0.151
0.675,0.67,0.68,0.1869,0.1541,-0.1541
0.685,0.68,0.69,0.1907,0.1571,-0.1571
0.695,0.69,0.7,0.1943,0.1598,-0.1598
0.705,0.7,0.71,0.1978,0.1624,-0.1624
0.715,0.71,0.72,0.2011,0.1647,-0.1647
0.725,0.72,0.73,0.2042,0.1669,-0.1669
0.735,0.73,0.74,0.2072,0.1688,-0.1688
0.745,0.74,0.75,0.21,0.1705,-0.1705
0.755,0.75,0.76,0.2128,0.1721,-0.1721
0.765,0.76,0.77,0.2153,0.1734,-0.1734
0.775,0.77,0.78,0.2178,0.1745,-0.1745
0.785,0.78,0.79,0.2201,0.1754,-0.1754
0.795,0.79,0.8,0.2224,0.176,-0.176
0.805,0.8,0.81,0.2245,0.1765,-0.1765
0.815,0.81,0.82,0.2266,0.1767,-0.1767
0.825,0.82,0.83,0.2285,0.1766,-0.1766
0.835,0.83,0.84,0.2304,0.1764,-0.1764
0.845,0.84,0.85,0.2323,0.1759,-0.1759
0.855,0.85,0.86,0.234,0.1752,-0.1752
0.865,0.86,0.87,0.2358,0.1743,-0.1743
0.875,0.87,0.88,0.2375,0.1731,-0.1731
0.885,0.88,0.89,0.2392,0.1717,-0.1717
0.895,0.89,0.9,0.2409,0.17,-0.17
0.905,0.9,0.91,0.2425,0.1681,-0.1681
0.915,0.91,0.92,0.2442,0.166,-0.166
0.925,0.92,0.93,0.246,0.1636,-0.1636
0.935,0.93,0.94,0.2478,0.161,-0.161
0.945,0.94,0.95,0.2496,0.1582,-0.1582
0.955,0.95,0.96,0.2515,0.1551,-0.1551
0.965,0.96,0.97,0.2535,0.1519,-0.1519
0.975,0.97,0.98,0.2556,0.1483,-0.1483
0.985,0.98,0.99,0.2579,0.1446,-0.1446
0.995,0.99,1.0,0.2602,0.1407,-0.1407
1.005,1.0,1.01,0.2627,0.1365,-0.1365
1.0150000000000001,1.01,1.02,0.2654,0.1322,-0.1322
1.025,1.02,1.03,0.2683,0.1277,-0.1277
1.0350000000000001,1.03,1.04,0.2714,0.1231,-0.1231
1.045,1.04,1.05,0.2747,0.1184,-0.1184
1.0550000000000002,1.05,1.06,0.2783,0.1136,-0.1136
1.065,1.06,1.07,0.2821,0.1087,-0.1087
1.0750000000000002,1.07,1.08,0.2862,0.1039,-0.1039
1.085,1.08,1.09,0.2906,0.0992,-0.0992
1.0950000000000002,1.09,1.1,0.2954,0.0947,-0.0947
1.105,1.1,1.11,0.3005,0.0906,-0.0906
1.1150000000000002,1.11,1.12,0.3059,0.0869,-0.0869
1.125,1.12,1.13,0.3118,0.0839,-0.0839
1.1349999999999998,1.13,1.14,0.3181,0.0817,-0.0817
1.145,1.14,1.15,0.3248,0.0806,-0.0806
1.1549999999999998,1.15,1.16,0.3319,0.0807,-0.0807
1.165,1.16,1.17,0.3396,0.0821,-0.0821
1.1749999999999998,1.17,1.18,0.3478,0.0851,-0.0851
1.185,1.18,1.19,0.3565,0.0895,-0.0895
1.1949999999999998,1.19,1.2,0.3658,0.0953,-0.0953
