#: table_doi: 10.17182/hepdata.74824.v1/t132
#: name: Table 132
#: description: Dm wave cross section for -T.

#: data_file: Table132.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0494,0.052,-0.052
0.415,0.41,0.42,0.0484,0.0532,-0.0532
0.425,0.42,0.43,0.0481,0.0547,-0.0547
0.435,0.43,0.44,0.0485,0.0561,-0.0561
0.445,0.44,0.45,0.0496,0.0574,-0.0574
0.455,0.45,0.46,0.0512,0.0585,-0.0585
0.46499999999999997,0.46,0.47,0.0532,0.0594,-0.0594
0.475,0.47,0.48,0.0556,0.0602,-0.0602
0.485,0.48,0.49,0.0584,0.0608,-0.0608
0.495,0.49,0.5,0.0615,0.0613,-0.0613
0.505,0.5,0.51,0.0647,0.0618,-0.0618
0.515,0.51,0.52,0.0681,0.0622,-0.0622
0.525,0.52,0.53,0.0717,0.0627,-0.0627
0.535,0.53,0.54,0.0753,0.0631,-0.0631
0.545,0.54,0.55,0.0789,0.0637,-0.0637
0.555,0.55,0.56,0.0826,0.0643,-0.0643
0.565,0.56,0.57,0.0862,0.065,-0.065
0.575,0.57,0.58,0.0897,0.0657,-0.0657
0.585,0.58,0.59,0.0931,0.0665,-0.0665
0.595,0.59,0.6,0.0964,0.0674,-0.0674
0.605,0.6,0.61,0.0996,0.0683,-0.0683
0.615,0.61,0.62,0.1026,0.0692,-0.0692
0.625,0.62,0.63,0.1055,0.0702,-0.0702
0.635,0.63,0.64,0.1081,0.0711,-0.0711
0.645,0.64,0.65,0.1106,0.0719,-0.0719
0.655,0.65,0.66,0.1129,0.0727,-0.0727
0.665,0.66,0.67,0.115,0.0735,-0.0735
0.675,0.67,0.68,0.1168,0.0741,-0.0741
0.685,0.68,0.69,0.1185,0.0747,-0.0747
0.695,0.69,0.7,0.12,0.0753,-0.0753
0.705,0.7,0.71,0.1213,0.0758,-0.0758
0.715,0.71,0.72,0.1225,0.0762,-0.0762
0.725,0.72,0.73,0.1234,0.0766,-0.0766
0.735,0.73,0.74,0.1243,0.077,-0.077
0.745,0.74,0.75,0.125,0.0775,-0.0775
0.755,0.75,0.76,0.1255,0.0779,-0.0779
0.765,0.76,0.77,0.126,0.0784,-0.0784
0.775,0.77,0.78,0.1264,0.079,-0.079
0.785,0.78,0.79,0.1267,0.0797,-0.0797
0.795,0.79,0.8,0.127,0.0806,-0.0806
0.805,0.8,0.81,0.1273,0.0815,-0.0815
0.815,0.81,0.82,0.1276,0.0827,-0.0827
0.825,0.82,0.83,0.1279,0.084,-0.084
0.835,0.83,0.84,0.1282,0.0855,-0.0855
0.845,0.84,0.85,0.1286,0.0872,-0.0872
0.855,0.85,0.86,0.129,0.089,-0.089
0.865,0.86,0.87,0.1296,0.091,-0.091
0.875,0.87,0.88,0.1303,0.0932,-0.0932
0.885,0.88,0.89,0.1311,0.0955,-0.0955
0.895,0.89,0.9,0.132,0.0979,-0.0979
0.905,0.9,0.91,0.1331,0.1004,-0.1004
0.915,0.91,0.92,0.1344,0.103,-0.103
0.925,0.92,0.93,0.1359,0.1056,-0.1056
0.935,0.93,0.94,0.1375,0.1083,-0.1083
0.945,0.94,0.95,0.1394,0.111,-0.111
0.955,0.95,0.96,0.1415,0.1137,-0.1137
0.965,0.96,0.97,0.1438,0.1165,-0.1165
0.975,0.97,0.98,0.1463,0.1192,-0.1192
0.985,0.98,0.99,0.149,0.1219,-0.1219
0.995,0.99,1.0,0.152,0.1246,-0.1246
1.005,1.0,1.01,0.1552,0.1273,-0.1273
1.0150000000000001,1.01,1.02,0.1587,0.13,-0.13
1.025,1.02,1.03,0.1624,0.1327,-0.1327
1.0350000000000001,1.03,1.04,0.1663,0.1353,-0.1353
1.045,1.04,1.05,0.1705,0.138,-0.138
1.0550000000000002,1.05,1.06,0.175,0.1407,-0.1407
1.065,1.06,1.07,0.1798,0.1434,-0.1434
1.0750000000000002,1.07,1.08,0.1849,0.1462,-0.1462
1.085,1.08,1.09,0.1903,0.149,-0.149
1.0950000000000002,1.09,1.1,0.1961,0.1518,-0.1518
1.105,1.1,1.11,0.2023,0.1546,-0.1546
1.1150000000000002,1.11,1.12,0.2089,0.1575,-0.1575
1.125,1.12,1.13,0.2161,0.1604,-0.1604
1.1349999999999998,1.13,1.14,0.2238,0.1633,-0.1633
1.145,1.14,1.15,0.2321,0.1661,-0.1661
1.1549999999999998,1.15,1.16,0.2412,0.1688,-0.1688
1.165,1.16,1.17,0.2511,0.1713,-0.1713
1.1749999999999998,1.17,1.18,0.2617,0.1735,-0.1735
1.185,1.18,1.19,0.2733,0.1752,-0.1752
1.1949999999999998,1.19,1.2,0.2856,0.1763,-0.1763
1.205,1.2,1.21,0.2985,0.1767,-0.1767
1.2149999999999999,1.21,1.22,0.3116,0.1763,-0.1763
1.225,1.22,1.23,0.3244,0.1751,-0.1751
1.2349999999999999,1.23,1.24,0.3361,0.1734,-0.1734
1.245,1.24,1.25,0.3456,0.1714,-0.1714
1.255,1.25,1.26,0.3519,0.1698,-0.1698
1.2650000000000001,1.26,1.27,0.3541,0.1693,-0.1693
1.275,1.27,1.28,0.3516,0.1704,-0.1704
1.2850000000000001,1.28,1.29,0.3446,0.1732,-0.1732
1.295,1.29,1.3,0.3337,0.1774,-0.1774
1.3050000000000002,1.3,1.31,0.3201,0.1825,-0.1825
1.315,1.31,1.32,0.3052,0.1879,-0.1879
1.3250000000000002,1.32,1.33,0.2903,0.1934,-0.1934
1.335,1.33,1.34,0.2765,0.1987,-0.1987
1.3450000000000002,1.34,1.35,0.2646,0.2039,-0.2039
1.355,1.35,1.36,0.2552,0.209,-0.209
1.3650000000000002,1.36,1.37,0.2487,0.2142,-0.2142
1.375,1.37,1.38,0.2454,0.2197,-0.2197
1.3849999999999998,1.38,1.39,0.2456,0.2259,-0.2259
1.395,1.39,1.4,0.2495,0.233,-0.233

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0252,0.0208,-0.0208
0.415,0.41,0.42,0.0247,0.0207,-0.0207
0.425,0.42,0.43,0.0246,0.0207,-0.0207
0.435,0.43,0.44,0.0248,0.0207,-0.0207
0.445,0.44,0.45,0.0254,0.0209,-0.0209
0.455,0.45,0.46,0.0263,0.0211,-0.0211
0.46499999999999997,0.46,0.47,0.0274,0.0215,-0.0215
0.475,0.47,0.48,0.0288,0.022,-0.022
0.485,0.48,0.49,0.0305,0.0227,-0.0227
0.495,0.49,0.5,0.0325,0.0235,-0.0235
0.505,0.5,0.51,0.0347,0.0244,-0.0244
0.515,0.51,0.52,0.0371,0.0255,-0.0255
0.525,0.52,0.53,0.0398,0.0267,-0.0267
0.535,0.53,0.54,0.0426,0.028,-0.028
0.545,0.54,0.55,0.0457,0.0294,-0.0294
0.555,0.55,0.56,0.0489,0.0308,-0.0308
0.565,0.56,0.57,0.0523,0.0324,-0.0324
0.575,0.57,0.58,0.0559,0.034,-0.034
0.585,0.58,0.59,0.0596,0.0356,-0.0356
0.595,0.59,0.6,0.0634,0.0373,-0.0373
0.605,0.6,0.61,0.0674,0.0391,-0.0391
0.615,0.61,0.62,0.0715,0.0408,-0.0408
0.625,0.62,0.63,0.0757,0.0426,-0.0426
0.635,0.63,0.64,0.08,0.0443,-0.0443
0.645,0.64,0.65,0.0844,0.0461,-0.0461
0.655,0.65,0.66,0.0888,0.0478,-0.0478
0.665,0.66,0.67,0.0933,0.0496,-0.0496
0.675,0.67,0.68,0.0978,0.0513,-0.0513
0.685,0.68,0.69,0.1024,0.053,-0.053
0.695,0.69,0.7,0.107,0.0547,-0.0547
0.705,0.7,0.71,0.1116,0.0563,-0.0563
0.715,0.71,0.72,0.1162,0.0579,-0.0579
0.725,0.72,0.73,0.1207,0.0595,-0.0595
0.735,0.73,0.74,0.1252,0.0611,-0.0611
0.745,0.74,0.75,0.1297,0.0626,-0.0626
0.755,0.75,0.76,0.1341,0.0641,-0.0641
0.765,0.76,0.77,0.1384,0.0656,-0.0656
0.775,0.77,0.78,0.1427,0.067,-0.067
0.785,0.78,0.79,0.1469,0.0684,-0.0684
0.795,0.79,0.8,0.1509,0.0699,-0.0699
0.805,0.8,0.81,0.1548,0.0713,-0.0713
0.815,0.81,0.82,0.1586,0.0726,-0.0726
0.825,0.82,0.83,0.1622,0.074,-0.074
0.835,0.83,0.84,0.1657,0.0754,-0.0754
0.845,0.84,0.85,0.169,0.0768,-0.0768
0.855,0.85,0.86,0.1721,0.0782,-0.0782
0.865,0.86,0.87,0.175,0.0796,-0.0796
0.875,0.87,0.88,0.1778,0.081,-0.081
0.885,0.88,0.89,0.1802,0.0825,-0.0825
0.895,0.89,0.9,0.1825,0.0839,-0.0839
0.905,0.9,0.91,0.1845,0.0854,-0.0854
0.915,0.91,0.92,0.1863,0.0868,-0.0868
0.925,0.92,0.93,0.1879,0.0883,-0.0883
0.935,0.93,0.94,0.1891,0.0898,-0.0898
0.945,0.94,0.95,0.1902,0.0913,-0.0913
0.955,0.95,0.96,0.1909,0.0928,-0.0928
0.965,0.96,0.97,0.1914,0.0943,-0.0943
0.975,0.97,0.98,0.1916,0.0958,-0.0958
0.985,0.98,0.99,0.1915,0.0973,-0.0973
0.995,0.99,1.0,0.1911,0.0987,-0.0987
1.005,1.0,1.01,0.1905,0.1001,-0.1001
1.0150000000000001,1.01,1.02,0.1897,0.1015,-0.1015
1.025,1.02,1.03,0.1886,0.1029,-0.1029
1.0350000000000001,1.03,1.04,0.1872,0.1042,-0.1042
1.045,1.04,1.05,0.1857,0.1054,-0.1054
1.0550000000000002,1.05,1.06,0.184,0.1066,-0.1066
1.065,1.06,1.07,0.1821,0.1078,-0.1078
1.0750000000000002,1.07,1.08,0.1802,0.109,-0.109
1.085,1.08,1.09,0.1782,0.1101,-0.1101
1.0950000000000002,1.09,1.1,0.1762,0.1112,-0.1112
1.105,1.1,1.11,0.1742,0.1123,-0.1123
1.1150000000000002,1.11,1.12,0.1724,0.1134,-0.1134
1.125,1.12,1.13,0.1708,0.1146,-0.1146
1.1349999999999998,1.13,1.14,0.1696,0.1159,-0.1159
1.145,1.14,1.15,0.1688,0.1172,-0.1172
1.1549999999999998,1.15,1.16,0.1685,0.1186,-0.1186
1.165,1.16,1.17,0.1689,0.1201,-0.1201
1.1749999999999998,1.17,1.18,0.1702,0.1217,-0.1217
1.185,1.18,1.19,0.1723,0.1233,-0.1233
1.1949999999999998,1.19,1.2,0.1753,0.1248,-0.1248
1.205,1.2,1.21,0.1792,0.1262,-0.1262
1.2149999999999999,1.21,1.22,0.1838,0.1272,-0.1272
1.225,1.22,1.23,0.1889,0.128,-0.128
1.2349999999999999,1.23,1.24,0.1938,0.1284,-0.1284
1.245,1.24,1.25,0.1978,0.1286,-0.1286
1.255,1.25,1.26,0.2002,0.1287,-0.1287
1.2650000000000001,1.26,1.27,0.2003,0.1292,-0.1292
1.275,1.27,1.28,0.1977,0.1302,-0.1302
1.2850000000000001,1.28,1.29,0.1923,0.1317,-0.1317
1.295,1.29,1.3,0.1846,0.1337,-0.1337
1.3050000000000002,1.3,1.31,0.1756,0.136,-0.136
1.315,1.31,1.32,0.1664,0.1388,-0.1388
1.3250000000000002,1.32,1.33,0.158,0.1421,-0.1421
1.335,1.33,1.34,0.1514,0.1463,-0.1463
1.3450000000000002,1.34,1.35,0.1474,0.1518,-0.1518
1.355,1.35,1.36,0.1465,0.159,-0.159
1.3650000000000002,1.36,1.37,0.1492,0.1684,-0.1684
1.375,1.37,1.38,0.1558,0.1802,-0.1802
1.3849999999999998,1.38,1.39,0.1666,0.1947,-0.1947
1.395,1.39,1.4,0.1819,0.212,-0.212

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
