#: table_doi: 10.17182/hepdata.74824.v1/t172
#: name: Table 172
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table172.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.5188,0.0549,-0.0549
0.415,0.41,0.42,0.551,0.0661,-0.0661
0.425,0.42,0.43,0.5773,0.0769,-0.0769
0.435,0.43,0.44,0.5977,0.0857,-0.0857
0.445,0.44,0.45,0.6125,0.0918,-0.0918
0.455,0.45,0.46,0.6223,0.0953,-0.0953
0.46499999999999997,0.46,0.47,0.6277,0.0965,-0.0965
0.475,0.47,0.48,0.6295,0.0956,-0.0956
0.485,0.48,0.49,0.6284,0.093,-0.093
0.495,0.49,0.5,0.625,0.0891,-0.0891
0.505,0.5,0.51,0.62,0.0842,-0.0842
0.515,0.51,0.52,0.6138,0.0787,-0.0787
0.525,0.52,0.53,0.6069,0.0727,-0.0727
0.535,0.53,0.54,0.5996,0.0667,-0.0667
0.545,0.54,0.55,0.5921,0.0608,-0.0608
0.555,0.55,0.56,0.5845,0.0553,-0.0553
0.565,0.56,0.57,0.5771,0.0503,-0.0503
0.575,0.57,0.58,0.5697,0.0459,-0.0459
0.585,0.58,0.59,0.5624,0.0421,-0.0421
0.595,0.59,0.6,0.5549,0.0389,-0.0389
0.605,0.6,0.61,0.5472,0.0361,-0.0361
0.615,0.61,0.62,0.539,0.0336,-0.0336
0.625,0.62,0.63,0.5302,0.0313,-0.0313
0.635,0.63,0.64,0.5205,0.0291,-0.0291
0.645,0.64,0.65,0.5099,0.0269,-0.0269
0.655,0.65,0.66,0.4981,0.0247,-0.0247
0.665,0.66,0.67,0.4851,0.0226,-0.0226
0.675,0.67,0.68,0.4709,0.0205,-0.0205
0.685,0.68,0.69,0.4556,0.0187,-0.0187
0.695,0.69,0.7,0.4391,0.0172,-0.0172
0.705,0.7,0.71,0.4218,0.016,-0.016
0.715,0.71,0.72,0.4038,0.0152,-0.0152
0.725,0.72,0.73,0.3854,0.0147,-0.0147
0.735,0.73,0.74,0.3668,0.0144,-0.0144
0.745,0.74,0.75,0.3485,0.0142,-0.0142
0.755,0.75,0.76,0.3307,0.014,-0.014
0.765,0.76,0.77,0.3138,0.0137,-0.0137
0.775,0.77,0.78,0.2981,0.0135,-0.0135
0.785,0.78,0.79,0.2841,0.0133,-0.0133
0.795,0.79,0.8,0.2719,0.0133,-0.0133
0.805,0.8,0.81,0.2618,0.0134,-0.0134
0.815,0.81,0.82,0.254,0.0136,-0.0136
0.825,0.82,0.83,0.2487,0.014,-0.014
0.835,0.83,0.84,0.2457,0.0147,-0.0147
0.845,0.84,0.85,0.2452,0.0159,-0.0159
0.855,0.85,0.86,0.2468,0.0178,-0.0178
0.865,0.86,0.87,0.2503,0.0203,-0.0203
0.875,0.87,0.88,0.2555,0.0234,-0.0234
0.885,0.88,0.89,0.2619,0.0268,-0.0268
0.895,0.89,0.9,0.2693,0.0305,-0.0305
0.905,0.9,0.91,0.2771,0.0341,-0.0341
0.915,0.91,0.92,0.2851,0.0376,-0.0376
0.925,0.92,0.93,0.2928,0.0407,-0.0407
0.935,0.93,0.94,0.2999,0.0433,-0.0433
0.945,0.94,0.95,0.3062,0.0453,-0.0453
0.955,0.95,0.96,0.3115,0.0466,-0.0466
0.965,0.96,0.97,0.316,0.0477,-0.0477
0.975,0.97,0.98,0.3212,0.0503,-0.0503
0.985,0.98,0.99,0.3382,0.0619,-0.0619
0.995,0.99,1.0,0.3612,0.0807,-0.0807
1.005,1.0,1.01,0.3565,0.0699,-0.0699
1.0150000000000001,1.01,1.02,0.3598,0.0668,-0.0668
1.025,1.02,1.03,0.365,0.0655,-0.0655
1.0350000000000001,1.03,1.04,0.3705,0.0648,-0.0648
1.045,1.04,1.05,0.3758,0.0644,-0.0644
1.0550000000000002,1.05,1.06,0.3807,0.0639,-0.0639
1.065,1.06,1.07,0.385,0.0633,-0.0633
1.0750000000000002,1.07,1.08,0.3885,0.0625,-0.0625
1.085,1.08,1.09,0.3913,0.0615,-0.0615
1.0950000000000002,1.09,1.1,0.3933,0.0603,-0.0603
1.105,1.1,1.11,0.3945,0.0591,-0.0591
1.1150000000000002,1.11,1.12,0.3951,0.0577,-0.0577
1.125,1.12,1.13,0.395,0.0562,-0.0562
1.1349999999999998,1.13,1.14,0.3944,0.0548,-0.0548
1.145,1.14,1.15,0.3933,0.0533,-0.0533
1.1549999999999998,1.15,1.16,0.3918,0.0519,-0.0519
