#: table_doi: 10.17182/hepdata.74824.v1/t110
#: name: Table 110
#: description: P0 wave cross section for -T.

#: data_file: Table110.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2103,0.087,-0.087
0.415,0.41,0.42,0.2288,0.0961,-0.0961
0.425,0.42,0.43,0.2476,0.1051,-0.1051
0.435,0.43,0.44,0.2667,0.1141,-0.1141
0.445,0.44,0.45,0.2863,0.123,-0.123
0.455,0.45,0.46,0.3065,0.1318,-0.1318
0.46499999999999997,0.46,0.47,0.3273,0.1405,-0.1405
0.475,0.47,0.48,0.3489,0.1492,-0.1492
0.485,0.48,0.49,0.3714,0.1577,-0.1577
0.495,0.49,0.5,0.3951,0.1661,-0.1661
0.505,0.5,0.51,0.42,0.1745,-0.1745
0.515,0.51,0.52,0.4464,0.1828,-0.1828
0.525,0.52,0.53,0.4747,0.191,-0.191
0.535,0.53,0.54,0.505,0.1993,-0.1993
0.545,0.54,0.55,0.5378,0.2077,-0.2077
0.555,0.55,0.56,0.5735,0.2164,-0.2164
0.565,0.56,0.57,0.6126,0.2253,-0.2253
0.575,0.57,0.58,0.6557,0.2349,-0.2349
0.585,0.58,0.59,0.7035,0.2455,-0.2455
0.595,0.59,0.6,0.7568,0.2573,-0.2573
0.605,0.6,0.61,0.8166,0.2711,-0.2711
0.615,0.61,0.62,0.8841,0.2875,-0.2875
0.625,0.62,0.63,0.9605,0.3075,-0.3075
0.635,0.63,0.64,1.0475,0.3323,-0.3323
0.645,0.64,0.65,1.1468,0.3633,-0.3633
0.655,0.65,0.66,1.2602,0.4021,-0.4021
0.665,0.66,0.67,1.3898,0.4504,-0.4504
0.675,0.67,0.68,1.5372,0.51,-0.51
0.685,0.68,0.69,1.703,0.5824,-0.5824
0.695,0.69,0.7,1.8866,0.6684,-0.6684
0.705,0.7,0.71,2.0839,0.7674,-0.7674
0.715,0.71,0.72,2.2862,0.8765,-0.8765
0.725,0.72,0.73,2.479,0.9894,-0.9894
0.735,0.73,0.74,2.6411,1.0961,-1.0961
0.745,0.74,0.75,2.7485,1.1836,-1.1836
0.755,0.75,0.76,2.7809,1.2391,-1.2391
0.765,0.76,0.77,2.7293,1.2546,-1.2546
0.775,0.77,0.78,2.6011,1.2297,-1.2297
0.785,0.78,0.79,2.4172,1.1718,-1.1718
0.795,0.79,0.8,2.2039,1.0926,-1.0926
0.805,0.8,0.81,1.9847,1.004,-1.004
0.815,0.81,0.82,1.7766,0.9154,-0.9154
0.825,0.82,0.83,1.5891,0.8327,-0.8327
0.835,0.83,0.84,1.4257,0.7588,-0.7588
0.845,0.84,0.85,1.2866,0.6947,-0.6947
0.855,0.85,0.86,1.1698,0.64,-0.64
0.865,0.86,0.87,1.0728,0.5937,-0.5937
0.875,0.87,0.88,0.9926,0.5546,-0.5546
0.885,0.88,0.89,0.9266,0.5216,-0.5216
0.895,0.89,0.9,0.8724,0.4934,-0.4934
0.905,0.9,0.91,0.828,0.4693,-0.4693
0.915,0.91,0.92,0.7917,0.4484,-0.4484
0.925,0.92,0.93,0.7621,0.4302,-0.4302
0.935,0.93,0.94,0.738,0.4142,-0.4142
0.945,0.94,0.95,0.7185,0.4,-0.4
0.955,0.95,0.96,0.7027,0.3872,-0.3872
0.965,0.96,0.97,0.6899,0.3758,-0.3758
0.975,0.97,0.98,0.6796,0.3655,-0.3655
0.985,0.98,0.99,0.6713,0.3563,-0.3563
