#: table_doi: 10.17182/hepdata.74824.v1/t171
#: name: Table 171
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table171.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.5056,0.0526,-0.0526
0.415,0.41,0.42,0.5253,0.0612,-0.0612
0.425,0.42,0.43,0.5433,0.0711,-0.0711
0.435,0.43,0.44,0.5591,0.0803,-0.0803
0.445,0.44,0.45,0.5723,0.0877,-0.0877
0.455,0.45,0.46,0.5828,0.0926,-0.0926
0.46499999999999997,0.46,0.47,0.5905,0.095,-0.095
0.475,0.47,0.48,0.5957,0.095,-0.095
0.485,0.48,0.49,0.5986,0.0928,-0.0928
0.495,0.49,0.5,0.5992,0.0888,-0.0888
0.505,0.5,0.51,0.598,0.0832,-0.0832
0.515,0.51,0.52,0.5952,0.0767,-0.0767
0.525,0.52,0.53,0.591,0.0696,-0.0696
0.535,0.53,0.54,0.5857,0.0623,-0.0623
0.545,0.54,0.55,0.5794,0.0553,-0.0553
0.555,0.55,0.56,0.5723,0.0489,-0.0489
0.565,0.56,0.57,0.5645,0.0434,-0.0434
0.575,0.57,0.58,0.556,0.039,-0.039
0.585,0.58,0.59,0.547,0.0357,-0.0357
0.595,0.59,0.6,0.5374,0.0333,-0.0333
0.605,0.6,0.61,0.5271,0.0316,-0.0316
0.615,0.61,0.62,0.5162,0.0302,-0.0302
0.625,0.62,0.63,0.5046,0.0289,-0.0289
0.635,0.63,0.64,0.4921,0.0275,-0.0275
0.645,0.64,0.65,0.4787,0.0261,-0.0261
0.655,0.65,0.66,0.4644,0.0246,-0.0246
0.665,0.66,0.67,0.449,0.0232,-0.0232
0.675,0.67,0.68,0.4326,0.022,-0.022
0.685,0.68,0.69,0.4153,0.0209,-0.0209
0.695,0.69,0.7,0.397,0.0199,-0.0199
0.705,0.7,0.71,0.3779,0.019,-0.019
0.715,0.71,0.72,0.3583,0.018,-0.018
0.725,0.72,0.73,0.3383,0.0168,-0.0168
0.735,0.73,0.74,0.3184,0.0154,-0.0154
0.745,0.74,0.75,0.2989,0.0137,-0.0137
0.755,0.75,0.76,0.2801,0.0121,-0.0121
0.765,0.76,0.77,0.2625,0.0108,-0.0108
0.775,0.77,0.78,0.2463,0.0103,-0.0103
0.785,0.78,0.79,0.232,0.0107,-0.0107
0.795,0.79,0.8,0.2197,0.0118,-0.0118
0.805,0.8,0.81,0.2096,0.0134,-0.0134
0.815,0.81,0.82,0.2019,0.015,-0.015
0.825,0.82,0.83,0.1966,0.0163,-0.0163
0.835,0.83,0.84,0.1936,0.0173,-0.0173
0.845,0.84,0.85,0.1928,0.018,-0.018
0.855,0.85,0.86,0.1941,0.0184,-0.0184
0.865,0.86,0.87,0.1972,0.0186,-0.0186
0.875,0.87,0.88,0.2021,0.0188,-0.0188
0.885,0.88,0.89,0.2084,0.0192,-0.0192
0.895,0.89,0.9,0.216,0.02,-0.02
0.905,0.9,0.91,0.2247,0.0212,-0.0212
0.915,0.91,0.92,0.2343,0.023,-0.023
0.925,0.92,0.93,0.2447,0.0255,-0.0255
0.935,0.93,0.94,0.2558,0.0286,-0.0286
0.945,0.94,0.95,0.2676,0.0325,-0.0325
0.955,0.95,0.96,0.28,0.0373,-0.0373
0.965,0.96,0.97,0.2931,0.0433,-0.0433
0.975,0.97,0.98,0.3077,0.0513,-0.0513
0.985,0.98,0.99,0.3265,0.06,-0.06
0.995,0.99,1.0,0.3464,0.0547,-0.0547
1.005,1.0,1.01,0.3531,0.0526,-0.0526
1.0150000000000001,1.01,1.02,0.3616,0.0521,-0.0521
1.025,1.02,1.03,0.3704,0.0517,-0.0517
1.0350000000000001,1.03,1.04,0.379,0.0514,-0.0514
1.045,1.04,1.05,0.3875,0.0512,-0.0512
1.0550000000000002,1.05,1.06,0.3956,0.0513,-0.0513
1.065,1.06,1.07,0.4034,0.0516,-0.0516
1.0750000000000002,1.07,1.08,0.411,0.0523,-0.0523
1.085,1.08,1.09,0.4183,0.0531,-0.0531
1.0950000000000002,1.09,1.1,0.4253,0.0539,-0.0539
1.105,1.1,1.11,0.4322,0.0548,-0.0548
1.1150000000000002,1.11,1.12,0.4388,0.0556,-0.0556
1.125,1.12,1.13,0.4454,0.0562,-0.0562
1.1349999999999998,1.13,1.14,0.4518,0.0567,-0.0567
1.145,1.14,1.15,0.458,0.057,-0.057
1.1549999999999998,1.15,1.16,0.4641,0.0573,-0.0573
1.165,1.16,1.17,0.4699,0.0574,-0.0574
1.1749999999999998,1.17,1.18,0.4753,0.0577,-0.0577
1.185,1.18,1.19,0.4802,0.058,-0.058
1.1949999999999998,1.19,1.2,0.4845,0.0585,-0.0585
1.205,1.2,1.21,0.4878,0.0593,-0.0593
1.2149999999999999,1.21,1.22,0.49,0.0603,-0.0603
1.225,1.22,1.23,0.4909,0.0615,-0.0615
1.2349999999999999,1.23,1.24,0.4906,0.063,-0.063
1.245,1.24,1.25,0.4891,0.0646,-0.0646
1.255,1.25,1.26,0.4866,0.0664,-0.0664
1.2650000000000001,1.26,1.27,0.4836,0.0682,-0.0682
1.275,1.27,1.28,0.4805,0.0699,-0.0699
1.2850000000000001,1.28,1.29,0.4779,0.0712,-0.0712
1.295,1.29,1.3,0.476,0.072,-0.072
1.3050000000000002,1.3,1.31,0.4751,0.0721,-0.0721
