#: table_doi: 10.17182/hepdata.74824.v1/t169
#: name: Table 169
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table169.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.3558,0.0383,-0.0383
0.415,0.41,0.42,0.3659,0.0397,-0.0397
0.425,0.42,0.43,0.3787,0.0425,-0.0425
0.435,0.43,0.44,0.3933,0.0464,-0.0464
0.445,0.44,0.45,0.4084,0.0505,-0.0505
0.455,0.45,0.46,0.4229,0.0538,-0.0538
0.46499999999999997,0.46,0.47,0.4356,0.0556,-0.0556
0.475,0.47,0.48,0.446,0.0555,-0.0555
0.485,0.48,0.49,0.4536,0.0537,-0.0537
0.495,0.49,0.5,0.4584,0.0505,-0.0505
0.505,0.5,0.51,0.4604,0.0465,-0.0465
0.515,0.51,0.52,0.4598,0.0421,-0.0421
0.525,0.52,0.53,0.4567,0.0377,-0.0377
0.535,0.53,0.54,0.4513,0.0336,-0.0336
0.545,0.54,0.55,0.4438,0.0299,-0.0299
0.555,0.55,0.56,0.4342,0.0266,-0.0266
0.565,0.56,0.57,0.4227,0.0236,-0.0236
0.575,0.57,0.58,0.4094,0.021,-0.021
0.585,0.58,0.59,0.3946,0.0188,-0.0188
0.595,0.59,0.6,0.3782,0.0171,-0.0171
0.605,0.6,0.61,0.3606,0.0157,-0.0157
0.615,0.61,0.62,0.3419,0.0149,-0.0149
0.625,0.62,0.63,0.3223,0.0145,-0.0145
0.635,0.63,0.64,0.3021,0.0144,-0.0144
0.645,0.64,0.65,0.2816,0.0145,-0.0145
0.655,0.65,0.66,0.261,0.0147,-0.0147
0.665,0.66,0.67,0.2405,0.0149,-0.0149
0.675,0.67,0.68,0.2206,0.0151,-0.0151
0.685,0.68,0.69,0.2014,0.0153,-0.0153
0.695,0.69,0.7,0.1832,0.0156,-0.0156
0.705,0.7,0.71,0.1663,0.0159,-0.0159
0.715,0.71,0.72,0.1509,0.0162,-0.0162
0.725,0.72,0.73,0.1371,0.0165,-0.0165
0.735,0.73,0.74,0.1252,0.0168,-0.0168
0.745,0.74,0.75,0.1151,0.0172,-0.0172
0.755,0.75,0.76,0.107,0.0176,-0.0176
0.765,0.76,0.77,0.101,0.0181,-0.0181
0.775,0.77,0.78,0.0969,0.0187,-0.0187
0.785,0.78,0.79,0.0949,0.0194,-0.0194
0.795,0.79,0.8,0.0949,0.0203,-0.0203
0.805,0.8,0.81,0.0968,0.0211,-0.0211
0.815,0.81,0.82,0.1008,0.0221,-0.0221
0.825,0.82,0.83,0.1066,0.0231,-0.0231
0.835,0.83,0.84,0.1143,0.0242,-0.0242
0.845,0.84,0.85,0.1238,0.0251,-0.0251
0.855,0.85,0.86,0.1352,0.026,-0.026
0.865,0.86,0.87,0.1482,0.0267,-0.0267
0.875,0.87,0.88,0.1629,0.0271,-0.0271
0.885,0.88,0.89,0.1793,0.0272,-0.0272
0.895,0.89,0.9,0.1971,0.0269,-0.0269
0.905,0.9,0.91,0.2164,0.0262,-0.0262
0.915,0.91,0.92,0.237,0.0251,-0.0251
0.925,0.92,0.93,0.2588,0.0237,-0.0237
0.935,0.93,0.94,0.2815,0.0223,-0.0223
0.945,0.94,0.95,0.305,0.0214,-0.0214
0.955,0.95,0.96,0.329,0.0214,-0.0214
0.965,0.96,0.97,0.3532,0.0229,-0.0229
0.975,0.97,0.98,0.377,0.0258,-0.0258
0.985,0.98,0.99,0.398,0.0306,-0.0306
0.995,0.99,1.0,0.4169,0.0296,-0.0296
1.005,1.0,1.01,0.4422,0.0284,-0.0284
1.0150000000000001,1.01,1.02,0.4641,0.0298,-0.0298
1.025,1.02,1.03,0.4847,0.032,-0.032
1.0350000000000001,1.03,1.04,0.5042,0.0345,-0.0345
1.045,1.04,1.05,0.5227,0.037,-0.037
1.0550000000000002,1.05,1.06,0.5401,0.0395,-0.0395
1.065,1.06,1.07,0.5566,0.0419,-0.0419
1.0750000000000002,1.07,1.08,0.5719,0.0442,-0.0442
1.085,1.08,1.09,0.586,0.0462,-0.0462
1.0950000000000002,1.09,1.1,0.599,0.048,-0.048
1.105,1.1,1.11,0.6107,0.0495,-0.0495
1.1150000000000002,1.11,1.12,0.6212,0.0506,-0.0506
1.125,1.12,1.13,0.6303,0.0513,-0.0513
1.1349999999999998,1.13,1.14,0.6381,0.0517,-0.0517
1.145,1.14,1.15,0.6446,0.0517,-0.0517
1.1549999999999998,1.15,1.16,0.6497,0.0514,-0.0514
1.165,1.16,1.17,0.6533,0.0508,-0.0508
1.1749999999999998,1.17,1.18,0.6555,0.0499,-0.0499
1.185,1.18,1.19,0.6564,0.0488,-0.0488
1.1949999999999998,1.19,1.2,0.6559,0.0477,-0.0477
1.205,1.2,1.21,0.6542,0.0466,-0.0466
1.2149999999999999,1.21,1.22,0.6514,0.0457,-0.0457
1.225,1.22,1.23,0.6481,0.045,-0.045
1.2349999999999999,1.23,1.24,0.6445,0.0447,-0.0447
1.245,1.24,1.25,0.6412,0.0449,-0.0449
1.255,1.25,1.26,0.6387,0.0457,-0.0457
1.2650000000000001,1.26,1.27,0.6376,0.0474,-0.0474
1.275,1.27,1.28,0.6383,0.0503,-0.0503
1.2850000000000001,1.28,1.29,0.6409,0.0545,-0.0545
1.295,1.29,1.3,0.6455,0.0599,-0.0599
1.3050000000000002,1.3,1.31,0.6518,0.0662,-0.0662
1.315,1.31,1.32,0.6593,0.0729,-0.0729
1.3250000000000002,1.32,1.33,0.6673,0.0796,-0.0796
1.335,1.33,1.34,0.6751,0.0857,-0.0857
1.3450000000000002,1.34,1.35,0.6819,0.0907,-0.0907
1.355,1.35,1.36,0.6868,0.0942,-0.0942
1.3650000000000002,1.36,1.37,0.6892,0.0959,-0.0959
1.375,1.37,1.38,0.6886,0.0958,-0.0958
1.3849999999999998,1.38,1.39,0.6845,0.0939,-0.0939
1.395,1.39,1.4,0.6768,0.0906,-0.0906

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.3762,0.0455,-0.0455
0.415,0.41,0.42,0.3751,0.0387,-0.0387
0.425,0.42,0.43,0.377,0.0343,-0.0343
0.435,0.43,0.44,0.3816,0.032,-0.032
0.445,0.44,0.45,0.3883,0.0311,-0.0311
0.455,0.45,0.46,0.3967,0.0312,-0.0312
0.46499999999999997,0.46,0.47,0.4058,0.0318,-0.0318
0.475,0.47,0.48,0.4149,0.0327,-0.0327
0.485,0.48,0.49,0.4235,0.0336,-0.0336
0.495,0.49,0.5,0.4308,0.0344,-0.0344
0.505,0.5,0.51,0.4365,0.035,-0.035
0.515,0.51,0.52,0.4402,0.0352,-0.0352
0.525,0.52,0.53,0.4417,0.0351,-0.0351
0.535,0.53,0.54,0.4409,0.0349,-0.0349
0.545,0.54,0.55,0.4378,0.0347,-0.0347
0.555,0.55,0.56,0.4323,0.0347,-0.0347
0.565,0.56,0.57,0.4245,0.035,-0.035
0.575,0.57,0.58,0.4146,0.0356,-0.0356
0.585,0.58,0.59,0.4026,0.0364,-0.0364
0.595,0.59,0.6,0.3887,0.0373,-0.0373
0.605,0.6,0.61,0.373,0.038,-0.038
0.615,0.61,0.62,0.3558,0.0385,-0.0385
0.625,0.62,0.63,0.3374,0.0384,-0.0384
0.635,0.63,0.64,0.3178,0.0379,-0.0379
0.645,0.64,0.65,0.2975,0.0367,-0.0367
0.655,0.65,0.66,0.2767,0.0349,-0.0349
0.665,0.66,0.67,0.2557,0.0326,-0.0326
0.675,0.67,0.68,0.2349,0.0299,-0.0299
0.685,0.68,0.69,0.2145,0.0269,-0.0269
0.695,0.69,0.7,0.1949,0.0239,-0.0239
0.705,0.7,0.71,0.1764,0.0211,-0.0211
0.715,0.71,0.72,0.1592,0.0186,-0.0186
0.725,0.72,0.73,0.1436,0.0166,-0.0166
0.735,0.73,0.74,0.1297,0.0152,-0.0152
0.745,0.74,0.75,0.1178,0.0144,-0.0144
0.755,0.75,0.76,0.1079,0.0142,-0.0142
0.765,0.76,0.77,0.1001,0.0147,-0.0147
0.775,0.77,0.78,0.0944,0.0157,-0.0157
0.785,0.78,0.79,0.0909,0.017,-0.017
0.795,0.79,0.8,0.0896,0.0185,-0.0185
0.805,0.8,0.81,0.0904,0.0199,-0.0199
0.815,0.81,0.82,0.0932,0.0214,-0.0214
0.825,0.82,0.83,0.0981,0.0229,-0.0229
0.835,0.83,0.84,0.1048,0.0244,-0.0244
0.845,0.84,0.85,0.1133,0.026,-0.026
0.855,0.85,0.86,0.1236,0.0277,-0.0277
0.865,0.86,0.87,0.1354,0.0293,-0.0293
0.875,0.87,0.88,0.1486,0.031,-0.031
0.885,0.88,0.89,0.1632,0.0325,-0.0325
0.895,0.89,0.9,0.179,0.0339,-0.0339
0.905,0.9,0.91,0.1958,0.0351,-0.0351
0.915,0.91,0.92,0.2136,0.0361,-0.0361
0.925,0.92,0.93,0.2323,0.0368,-0.0368
0.935,0.93,0.94,0.2519,0.0372,-0.0372
0.945,0.94,0.95,0.2725,0.0373,-0.0373
0.955,0.95,0.96,0.2945,0.0371,-0.0371
0.965,0.96,0.97,0.3188,0.0372,-0.0372
0.975,0.97,0.98,0.3482,0.0396,-0.0396
0.985,0.98,0.99,0.3887,0.0495,-0.0495
0.995,0.99,1.0,0.3763,0.0411,-0.0411
1.005,1.0,1.01,0.4021,0.0405,-0.0405
1.0150000000000001,1.01,1.02,0.4276,0.0426,-0.0426
1.025,1.02,1.03,0.452,0.0457,-0.0457
1.0350000000000001,1.03,1.04,0.4751,0.0492,-0.0492
1.045,1.04,1.05,0.4967,0.0526,-0.0526
1.0550000000000002,1.05,1.06,0.5167,0.0557,-0.0557
1.065,1.06,1.07,0.5351,0.0584,-0.0584
1.0750000000000002,1.07,1.08,0.5519,0.0607,-0.0607
1.085,1.08,1.09,0.5671,0.0625,-0.0625
1.0950000000000002,1.09,1.1,0.5808,0.0638,-0.0638
1.105,1.1,1.11,0.593,0.0647,-0.0647
1.1150000000000002,1.11,1.12,0.6038,0.0653,-0.0653
1.125,1.12,1.13,0.6134,0.0656,-0.0656
1.1349999999999998,1.13,1.14,0.6217,0.0657,-0.0657
1.145,1.14,1.15,0.6288,0.0656,-0.0656
1.1549999999999998,1.15,1.16,0.635,0.0654,-0.0654
1.165,1.16,1.17,0.6401,0.0651,-0.0651
1.1749999999999998,1.17,1.18,0.6443,0.0647,-0.0647
1.185,1.18,1.19,0.6476,0.0644,-0.0644
1.1949999999999998,1.19,1.2,0.65,0.0641,-0.0641
1.205,1.2,1.21,0.6516,0.0639,-0.0639
1.2149999999999999,1.21,1.22,0.6523,0.0637,-0.0637
1.225,1.22,1.23,0.6522,0.0636,-0.0636
1.2349999999999999,1.23,1.24,0.6514,0.0636,-0.0636
1.245,1.24,1.25,0.6501,0.0636,-0.0636
1.255,1.25,1.26,0.6485,0.064,-0.064
1.2650000000000001,1.26,1.27,0.6468,0.0647,-0.0647
1.275,1.27,1.28,0.6454,0.0661,-0.0661
1.2850000000000001,1.28,1.29,0.6446,0.0682,-0.0682
1.295,1.29,1.3,0.6447,0.0711,-0.0711
1.3050000000000002,1.3,1.31,0.6457,0.0745,-0.0745
1.315,1.31,1.32,0.6477,0.0783,-0.0783
1.3250000000000002,1.32,1.33,0.6507,0.0823,-0.0823
1.335,1.33,1.34,0.6544,0.0865,-0.0865
1.3450000000000002,1.34,1.35,0.6586,0.0907,-0.0907
1.355,1.35,1.36,0.6629,0.0947,-0.0947
1.3650000000000002,1.36,1.37,0.6668,0.0984,-0.0984
1.375,1.37,1.38,0.6698,0.1015,-0.1015
1.3849999999999998,1.38,1.39,0.6715,0.1039,-0.1039
1.395,1.39,1.4,0.6716,0.1054,-0.1054

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.3866,0.0843,-0.0843
0.415,0.41,0.42,0.3827,0.0725,-0.0725
0.425,0.42,0.43,0.3818,0.0647,-0.0647
0.435,0.43,0.44,0.3841,0.0603,-0.0603
0.445,0.44,0.45,0.389,0.0582,-0.0582
0.455,0.45,0.46,0.396,0.0575,-0.0575
0.46499999999999997,0.46,0.47,0.4041,0.0577,-0.0577
0.475,0.47,0.48,0.4127,0.0583,-0.0583
0.485,0.48,0.49,0.421,0.0592,-0.0592
0.495,0.49,0.5,0.4284,0.0603,-0.0603
0.505,0.5,0.51,0.4344,0.0616,-0.0616
0.515,0.51,0.52,0.4386,0.063,-0.063
0.525,0.52,0.53,0.4408,0.0644,-0.0644
0.535,0.53,0.54,0.4406,0.0658,-0.0658
0.545,0.54,0.55,0.438,0.0671,-0.0671
0.555,0.55,0.56,0.433,0.0685,-0.0685
0.565,0.56,0.57,0.4256,0.07,-0.07
0.575,0.57,0.58,0.4159,0.0715,-0.0715
0.585,0.58,0.59,0.404,0.0731,-0.0731
0.595,0.59,0.6,0.3902,0.0746,-0.0746
0.605,0.6,0.61,0.3747,0.0757,-0.0757
0.615,0.61,0.62,0.3576,0.0763,-0.0763
0.625,0.62,0.63,0.3392,0.0761,-0.0761
0.635,0.63,0.64,0.3198,0.0749,-0.0749
0.645,0.64,0.65,0.2995,0.0725,-0.0725
0.655,0.65,0.66,0.2788,0.0691,-0.0691
0.665,0.66,0.67,0.2578,0.0645,-0.0645
0.675,0.67,0.68,0.2368,0.0591,-0.0591
0.685,0.68,0.69,0.2162,0.053,-0.053
0.695,0.69,0.7,0.1963,0.0464,-0.0464
0.705,0.7,0.71,0.1774,0.0397,-0.0397
0.715,0.71,0.72,0.1598,0.0331,-0.0331
0.725,0.72,0.73,0.1438,0.0269,-0.0269
0.735,0.73,0.74,0.1295,0.0214,-0.0214
0.745,0.74,0.75,0.1172,0.017,-0.017
0.755,0.75,0.76,0.107,0.0145,-0.0145
0.765,0.76,0.77,0.099,0.0141,-0.0141
0.775,0.77,0.78,0.0932,0.0154,-0.0154
0.785,0.78,0.79,0.0897,0.0173,-0.0173
0.795,0.79,0.8,0.0883,0.0194,-0.0194
0.805,0.8,0.81,0.089,0.0215,-0.0215
0.815,0.81,0.82,0.0918,0.0235,-0.0235
0.825,0.82,0.83,0.0965,0.0254,-0.0254
0.835,0.83,0.84,0.1029,0.0273,-0.0273
0.845,0.84,0.85,0.1111,0.0292,-0.0292
0.855,0.85,0.86,0.1207,0.0311,-0.0311
0.865,0.86,0.87,0.1316,0.0331,-0.0331
0.875,0.87,0.88,0.1438,0.0351,-0.0351
0.885,0.88,0.89,0.157,0.0371,-0.0371
0.895,0.89,0.9,0.1711,0.0392,-0.0392
0.905,0.9,0.91,0.186,0.0414,-0.0414
0.915,0.91,0.92,0.2017,0.0435,-0.0435
0.925,0.92,0.93,0.218,0.0457,-0.0457
0.935,0.93,0.94,0.2349,0.0477,-0.0477
0.945,0.94,0.95,0.2527,0.0495,-0.0495
0.955,0.95,0.96,0.2715,0.0509,-0.0509
0.965,0.96,0.97,0.2923,0.0513,-0.0513
0.975,0.97,0.98,0.3175,0.05,-0.05
0.985,0.98,0.99,0.354,0.0489,-0.0489
0.995,0.99,1.0,0.34,0.06,-0.06
1.005,1.0,1.01,0.3642,0.0482,-0.0482
1.0150000000000001,1.01,1.02,0.3903,0.043,-0.043
1.025,1.02,1.03,0.4164,0.0405,-0.0405
1.0350000000000001,1.03,1.04,0.4421,0.0401,-0.0401
1.045,1.04,1.05,0.467,0.0416,-0.0416
1.0550000000000002,1.05,1.06,0.4906,0.0446,-0.0446
1.065,1.06,1.07,0.5127,0.0485,-0.0485
1.0750000000000002,1.07,1.08,0.5331,0.0527,-0.0527
1.085,1.08,1.09,0.5516,0.0569,-0.0569
1.0950000000000002,1.09,1.1,0.5681,0.0606,-0.0606
1.105,1.1,1.11,0.5825,0.0636,-0.0636
1.1150000000000002,1.11,1.12,0.5949,0.0658,-0.0658
1.125,1.12,1.13,0.6053,0.0672,-0.0672
1.1349999999999998,1.13,1.14,0.6138,0.0679,-0.0679
1.145,1.14,1.15,0.6204,0.068,-0.068
1.1549999999999998,1.15,1.16,0.6254,0.0676,-0.0676
1.165,1.16,1.17,0.6287,0.0669,-0.0669
1.1749999999999998,1.17,1.18,0.6306,0.0662,-0.0662
1.185,1.18,1.19,0.6313,0.0655,-0.0655
1.1949999999999998,1.19,1.2,0.631,0.065,-0.065
1.205,1.2,1.21,0.6299,0.0647,-0.0647
1.2149999999999999,1.21,1.22,0.6284,0.0647,-0.0647
1.225,1.22,1.23,0.627,0.065,-0.065
1.2349999999999999,1.23,1.24,0.6263,0.0655,-0.0655
1.245,1.24,1.25,0.6266,0.0665,-0.0665
1.255,1.25,1.26,0.6285,0.0682,-0.0682
1.2650000000000001,1.26,1.27,0.6322,0.0709,-0.0709
1.275,1.27,1.28,0.6376,0.0749,-0.0749
1.2850000000000001,1.28,1.29,0.6444,0.0801,-0.0801
1.295,1.29,1.3,0.652,0.0863,-0.0863
1.3050000000000002,1.3,1.31,0.6596,0.0929,-0.0929
1.315,1.31,1.32,0.6666,0.0992,-0.0992
1.3250000000000002,1.32,1.33,0.6722,0.1049,-0.1049
1.335,1.33,1.34,0.6758,0.1094,-0.1094
1.3450000000000002,1.34,1.35,0.6769,0.1126,-0.1126
1.355,1.35,1.36,0.675,0.1143,-0.1143
1.3650000000000002,1.36,1.37,0.6698,0.1147,-0.1147
1.375,1.37,1.38,0.6612,0.114,-0.114
1.3849999999999998,1.38,1.39,0.6495,0.1127,-0.1127
1.395,1.39,1.4,0.6352,0.111,-0.111

