#: table_doi: 10.17182/hepdata.74824.v1/t112
#: name: Table 112
#: description: P0 wave cross section for -T.

#: data_file: Table112.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1047,0.077,-0.077
0.415,0.41,0.42,0.1141,0.0837,-0.0837
0.425,0.42,0.43,0.1239,0.0906,-0.0906
0.435,0.43,0.44,0.1342,0.0978,-0.0978
0.445,0.44,0.45,0.1451,0.1052,-0.1052
0.455,0.45,0.46,0.1568,0.113,-0.113
0.46499999999999997,0.46,0.47,0.1693,0.1212,-0.1212
0.475,0.47,0.48,0.1828,0.1298,-0.1298
0.485,0.48,0.49,0.1975,0.1389,-0.1389
0.495,0.49,0.5,0.2136,0.1485,-0.1485
0.505,0.5,0.51,0.2312,0.1587,-0.1587
0.515,0.51,0.52,0.2505,0.1696,-0.1696
0.525,0.52,0.53,0.272,0.1813,-0.1813
0.535,0.53,0.54,0.2958,0.1938,-0.1938
0.545,0.54,0.55,0.3224,0.2072,-0.2072
0.555,0.55,0.56,0.3521,0.2217,-0.2217
0.565,0.56,0.57,0.3856,0.2373,-0.2373
0.575,0.57,0.58,0.4233,0.2542,-0.2542
0.585,0.58,0.59,0.4661,0.2726,-0.2726
0.595,0.59,0.6,0.5146,0.2927,-0.2927
0.605,0.6,0.61,0.5699,0.3146,-0.3146
0.615,0.61,0.62,0.633,0.3387,-0.3387
0.625,0.62,0.63,0.7054,0.3651,-0.3651
0.635,0.63,0.64,0.7885,0.3942,-0.3942
0.645,0.64,0.65,0.8839,0.4262,-0.4262
0.655,0.65,0.66,0.9935,0.4614,-0.4614
0.665,0.66,0.67,1.119,0.5,-0.5
0.675,0.67,0.68,1.2617,0.5418,-0.5418
0.685,0.68,0.69,1.4221,0.5865,-0.5865
0.695,0.69,0.7,1.5987,0.633,-0.633
0.705,0.7,0.71,1.7872,0.679,-0.679
0.715,0.71,0.72,1.9783,0.7213,-0.7213
0.725,0.72,0.73,2.1566,0.755,-0.755
0.735,0.73,0.74,2.301,0.7742,-0.7742
0.745,0.74,0.75,2.3878,0.7733,-0.7733
0.755,0.75,0.76,2.3979,0.7491,-0.7491
0.765,0.76,0.77,2.3241,0.7025,-0.7025
0.775,0.77,0.78,2.1757,0.6389,-0.6389
0.785,0.78,0.79,1.9749,0.5664,-0.5664
0.795,0.79,0.8,1.7487,0.4931,-0.4931
0.805,0.8,0.81,1.5206,0.4251,-0.4251
0.815,0.81,0.82,1.307,0.3659,-0.3659
0.825,0.82,0.83,1.1165,0.3167,-0.3167
0.835,0.83,0.84,0.9522,0.2772,-0.2772
0.845,0.84,0.85,0.8135,0.2462,-0.2462
0.855,0.85,0.86,0.6982,0.2224,-0.2224
0.865,0.86,0.87,0.6033,0.2042,-0.2042
0.875,0.87,0.88,0.5257,0.1906,-0.1906
0.885,0.88,0.89,0.4626,0.1803,-0.1803
0.895,0.89,0.9,0.4116,0.1725,-0.1725
0.905,0.9,0.91,0.3706,0.1665,-0.1665
0.915,0.91,0.92,0.338,0.1619,-0.1619
0.925,0.92,0.93,0.3122,0.1581,-0.1581
0.935,0.93,0.94,0.2921,0.1551,-0.1551
0.945,0.94,0.95,0.2768,0.1525,-0.1525
0.955,0.95,0.96,0.2653,0.1502,-0.1502
0.965,0.96,0.97,0.2572,0.1481,-0.1481
0.975,0.97,0.98,0.2517,0.1461,-0.1461
0.985,0.98,0.99,0.2485,0.1442,-0.1442
0.995,0.99,1.0,0.2471,0.1423,-0.1423
1.005,1.0,1.01,0.2471,0.1405,-0.1405
1.0150000000000001,1.01,1.02,0.2484,0.1387,-0.1387
1.025,1.02,1.03,0.2505,0.1369,-0.1369
1.0350000000000001,1.03,1.04,0.2534,0.1351,-0.1351
1.045,1.04,1.05,0.2568,0.1333,-0.1333
1.0550000000000002,1.05,1.06,0.2605,0.1316,-0.1316
1.065,1.06,1.07,0.2643,0.13,-0.13
1.0750000000000002,1.07,1.08,0.2682,0.1284,-0.1284
1.085,1.08,1.09,0.272,0.1269,-0.1269
1.0950000000000002,1.09,1.1,0.2755,0.1256,-0.1256
1.105,1.1,1.11,0.2788,0.1244,-0.1244
1.1150000000000002,1.11,1.12,0.2816,0.1234,-0.1234
1.125,1.12,1.13,0.2839,0.1226,-0.1226
1.1349999999999998,1.13,1.14,0.2856,0.122,-0.122
1.145,1.14,1.15,0.2868,0.1216,-0.1216
1.1549999999999998,1.15,1.16,0.2873,0.1214,-0.1214
1.165,1.16,1.17,0.287,0.1213,-0.1213
1.1749999999999998,1.17,1.18,0.2861,0.1215,-0.1215
1.185,1.18,1.19,0.2844,0.1218,-0.1218
1.1949999999999998,1.19,1.2,0.282,0.1223,-0.1223
1.205,1.2,1.21,0.279,0.1229,-0.1229
1.2149999999999999,1.21,1.22,0.2752,0.1236,-0.1236
1.225,1.22,1.23,0.2708,0.1244,-0.1244
1.2349999999999999,1.23,1.24,0.2659,0.1253,-0.1253
1.245,1.24,1.25,0.2606,0.1264,-0.1264
1.255,1.25,1.26,0.2548,0.1276,-0.1276
1.2650000000000001,1.26,1.27,0.2489,0.1289,-0.1289
1.275,1.27,1.28,0.2429,0.1305,-0.1305
1.2850000000000001,1.28,1.29,0.237,0.1324,-0.1324
1.295,1.29,1.3,0.2314,0.1348,-0.1348
1.3050000000000002,1.3,1.31,0.2264,0.1378,-0.1378
1.315,1.31,1.32,0.2222,0.1415,-0.1415
1.3250000000000002,1.32,1.33,0.2191,0.1463,-0.1463
1.335,1.33,1.34,0.2174,0.1524,-0.1524
1.3450000000000002,1.34,1.35,0.2175,0.16,-0.16
1.355,1.35,1.36,0.2198,0.1695,-0.1695
1.3650000000000002,1.36,1.37,0.2247,0.1811,-0.1811
1.375,1.37,1.38,0.2328,0.1952,-0.1952
1.3849999999999998,1.38,1.39,0.2444,0.212,-0.212
1.395,1.39,1.4,0.2603,0.2317,-0.2317

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1538,0.023,-0.023
0.415,0.41,0.42,0.1657,0.0247,-0.0247
0.425,0.42,0.43,0.1777,0.0264,-0.0264
0.435,0.43,0.44,0.1899,0.0282,-0.0282
0.445,0.44,0.45,0.2023,0.0302,-0.0302
0.455,0.45,0.46,0.2151,0.0322,-0.0322
0.46499999999999997,0.46,0.47,0.2282,0.0344,-0.0344
0.475,0.47,0.48,0.2419,0.0368,-0.0368
0.485,0.48,0.49,0.2562,0.0395,-0.0395
0.495,0.49,0.5,0.2712,0.0424,-0.0424
0.505,0.5,0.51,0.2872,0.0456,-0.0456
0.515,0.51,0.52,0.3042,0.0492,-0.0492
0.525,0.52,0.53,0.3226,0.0531,-0.0531
0.535,0.53,0.54,0.3425,0.0574,-0.0574
0.545,0.54,0.55,0.3642,0.0622,-0.0622
0.555,0.55,0.56,0.3881,0.0674,-0.0674
0.565,0.56,0.57,0.4146,0.0732,-0.0732
0.575,0.57,0.58,0.4441,0.0795,-0.0795
0.585,0.58,0.59,0.4772,0.0864,-0.0864
0.595,0.59,0.6,0.5145,0.0941,-0.0941
0.605,0.6,0.61,0.5569,0.1027,-0.1027
0.615,0.61,0.62,0.6053,0.1123,-0.1123
0.625,0.62,0.63,0.6607,0.123,-0.123
0.635,0.63,0.64,0.7244,0.1351,-0.1351
0.645,0.64,0.65,0.7978,0.1489,-0.1489
0.655,0.65,0.66,0.8825,0.1647,-0.1647
0.665,0.66,0.67,0.98,0.183,-0.183
0.675,0.67,0.68,1.0917,0.2041,-0.2041
0.685,0.68,0.69,1.2183,0.2285,-0.2285
0.695,0.69,0.7,1.3593,0.2563,-0.2563
0.705,0.7,0.71,1.5115,0.2876,-0.2876
0.715,0.71,0.72,1.6683,0.3215,-0.3215
0.725,0.72,0.73,1.818,0.3565,-0.3565
0.735,0.73,0.74,1.9438,0.3894,-0.3894
0.745,0.74,0.75,2.0266,0.4165,-0.4165
0.755,0.75,0.76,2.0496,0.4336,-0.4336
0.765,0.76,0.77,2.0056,0.4381,-0.4381
0.775,0.77,0.78,1.9,0.4294,-0.4294
0.785,0.78,0.79,1.7492,0.4096,-0.4096
0.795,0.79,0.8,1.574,0.3822,-0.3822
0.805,0.8,0.81,1.3935,0.3509,-0.3509
0.815,0.81,0.82,1.2211,0.3188,-0.3188
0.825,0.82,0.83,1.0647,0.288,-0.288
0.835,0.83,0.84,0.9273,0.2596,-0.2596
0.845,0.84,0.85,0.8091,0.2343,-0.2343
0.855,0.85,0.86,0.7088,0.2121,-0.2121
0.865,0.86,0.87,0.6242,0.1928,-0.1928
0.875,0.87,0.88,0.5533,0.1762,-0.1762
0.885,0.88,0.89,0.4938,0.1621,-0.1621
0.895,0.89,0.9,0.444,0.1502,-0.1502
0.905,0.9,0.91,0.4024,0.1402,-0.1402
0.915,0.91,0.92,0.3675,0.1318,-0.1318
0.925,0.92,0.93,0.3383,0.125,-0.125
0.935,0.93,0.94,0.3139,0.1193,-0.1193
0.945,0.94,0.95,0.2935,0.1149,-0.1149
0.955,0.95,0.96,0.2765,0.1114,-0.1114
0.965,0.96,0.97,0.2624,0.1087,-0.1087
0.975,0.97,0.98,0.2509,0.1069,-0.1069
0.985,0.98,0.99,0.2414,0.1057,-0.1057
0.995,0.99,1.0,0.2338,0.1051,-0.1051
1.005,1.0,1.01,0.2277,0.1051,-0.1051
1.0150000000000001,1.01,1.02,0.223,0.1055,-0.1055
1.025,1.02,1.03,0.2195,0.1064,-0.1064
1.0350000000000001,1.03,1.04,0.217,0.1077,-0.1077
1.045,1.04,1.05,0.2153,0.1093,-0.1093
1.0550000000000002,1.05,1.06,0.2144,0.1112,-0.1112
1.065,1.06,1.07,0.2141,0.1134,-0.1134
1.0750000000000002,1.07,1.08,0.2144,0.1158,-0.1158
1.085,1.08,1.09,0.2151,0.1184,-0.1184
1.0950000000000002,1.09,1.1,0.2162,0.1211,-0.1211
1.105,1.1,1.11,0.2176,0.1239,-0.1239
1.1150000000000002,1.11,1.12,0.2192,0.1268,-0.1268
1.125,1.12,1.13,0.221,0.1296,-0.1296
1.1349999999999998,1.13,1.14,0.2229,0.1325,-0.1325
1.145,1.14,1.15,0.225,0.1354,-0.1354
1.1549999999999998,1.15,1.16,0.227,0.1381,-0.1381
1.165,1.16,1.17,0.2291,0.1407,-0.1407
1.1749999999999998,1.17,1.18,0.2311,0.1431,-0.1431
1.185,1.18,1.19,0.2331,0.1454,-0.1454
1.1949999999999998,1.19,1.2,0.235,0.1474,-0.1474
1.205,1.2,1.21,0.2368,0.1491,-0.1491
1.2149999999999999,1.21,1.22,0.2386,0.1506,-0.1506
1.225,1.22,1.23,0.2402,0.1518,-0.1518
1.2349999999999999,1.23,1.24,0.2417,0.1526,-0.1526
1.245,1.24,1.25,0.2431,0.1532,-0.1532
1.255,1.25,1.26,0.2444,0.1534,-0.1534
1.2650000000000001,1.26,1.27,0.2457,0.1534,-0.1534
1.275,1.27,1.28,0.2469,0.1531,-0.1531
1.2850000000000001,1.28,1.29,0.2481,0.1527,-0.1527
1.295,1.29,1.3,0.2494,0.1523,-0.1523
1.3050000000000002,1.3,1.31,0.2508,0.1519,-0.1519
1.315,1.31,1.32,0.2524,0.1518,-0.1518
1.3250000000000002,1.32,1.33,0.2543,0.1521,-0.1521
1.335,1.33,1.34,0.2565,0.1532,-0.1532
1.3450000000000002,1.34,1.35,0.2592,0.1554,-0.1554
1.355,1.35,1.36,0.2625,0.1589,-0.1589
1.3650000000000002,1.36,1.37,0.2665,0.1641,-0.1641
1.375,1.37,1.38,0.2714,0.1713,-0.1713
1.3849999999999998,1.38,1.39,0.2773,0.1809,-0.1809
1.395,1.39,1.4,0.2844,0.1929,-0.1929

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0996,0.06,-0.06
0.415,0.41,0.42,0.108,0.0654,-0.0654
0.425,0.42,0.43,0.1164,0.0708,-0.0708
0.435,0.43,0.44,0.1251,0.0762,-0.0762
0.445,0.44,0.45,0.1339,0.0817,-0.0817
0.455,0.45,0.46,0.1429,0.0872,-0.0872
0.46499999999999997,0.46,0.47,0.1523,0.0928,-0.0928
0.475,0.47,0.48,0.1619,0.0985,-0.0985
0.485,0.48,0.49,0.172,0.1043,-0.1043
0.495,0.49,0.5,0.1827,0.1102,-0.1102
0.505,0.5,0.51,0.1939,0.1163,-0.1163
0.515,0.51,0.52,0.2059,0.1226,-0.1226
0.525,0.52,0.53,0.2189,0.1291,-0.1291
0.535,0.53,0.54,0.2328,0.136,-0.136
0.545,0.54,0.55,0.2481,0.1431,-0.1431
0.555,0.55,0.56,0.2648,0.1507,-0.1507
0.565,0.56,0.57,0.2833,0.1587,-0.1587
0.575,0.57,0.58,0.304,0.1672,-0.1672
0.585,0.58,0.59,0.3271,0.1763,-0.1763
0.595,0.59,0.6,0.3533,0.1861,-0.1861
0.605,0.6,0.61,0.3831,0.1967,-0.1967
0.615,0.61,0.62,0.4171,0.2081,-0.2081
0.625,0.62,0.63,0.4561,0.2205,-0.2205
0.635,0.63,0.64,0.5012,0.234,-0.234
0.645,0.64,0.65,0.5534,0.2488,-0.2488
0.655,0.65,0.66,0.6139,0.2648,-0.2648
0.665,0.66,0.67,0.684,0.2822,-0.2822
0.675,0.67,0.68,0.7648,0.3008,-0.3008
0.685,0.68,0.69,0.8572,0.3205,-0.3205
0.695,0.69,0.7,0.961,0.3409,-0.3409
0.705,0.7,0.71,1.0744,0.3609,-0.3609
0.715,0.71,0.72,1.1931,0.3794,-0.3794
0.725,0.72,0.73,1.3089,0.3942,-0.3942
0.735,0.73,0.74,1.4098,0.4033,-0.4033
0.745,0.74,0.75,1.4815,0.4043,-0.4043
0.755,0.75,0.76,1.5113,0.3961,-0.3961
0.765,0.76,0.77,1.4923,0.3788,-0.3788
0.775,0.77,0.78,1.4273,0.3545,-0.3545
0.785,0.78,0.79,1.3271,0.326,-0.326
0.795,0.79,0.8,1.2064,0.2962,-0.2962
0.805,0.8,0.81,1.079,0.2674,-0.2674
0.815,0.81,0.82,0.9553,0.2408,-0.2408
0.825,0.82,0.83,0.8413,0.2171,-0.2171
0.835,0.83,0.84,0.7398,0.1964,-0.1964
0.845,0.84,0.85,0.6513,0.1784,-0.1784
0.855,0.85,0.86,0.5751,0.163,-0.163
0.865,0.86,0.87,0.51,0.1497,-0.1497
0.875,0.87,0.88,0.4545,0.1384,-0.1384
0.885,0.88,0.89,0.4072,0.1286,-0.1286
0.895,0.89,0.9,0.3668,0.1204,-0.1204
0.905,0.9,0.91,0.3322,0.1134,-0.1134
0.915,0.91,0.92,0.3025,0.1074,-0.1074
0.925,0.92,0.93,0.277,0.1024,-0.1024
0.935,0.93,0.94,0.2549,0.0983,-0.0983
0.945,0.94,0.95,0.2357,0.0948,-0.0948
0.955,0.95,0.96,0.2191,0.092,-0.092
0.965,0.96,0.97,0.2045,0.0897,-0.0897
0.975,0.97,0.98,0.1917,0.0879,-0.0879
0.985,0.98,0.99,0.1805,0.0865,-0.0865
0.995,0.99,1.0,0.1707,0.0854,-0.0854
1.005,1.0,1.01,0.1619,0.0846,-0.0846
1.0150000000000001,1.01,1.02,0.1542,0.084,-0.084
1.025,1.02,1.03,0.1473,0.0836,-0.0836
1.0350000000000001,1.03,1.04,0.1411,0.0834,-0.0834
1.045,1.04,1.05,0.1356,0.0833,-0.0833
1.0550000000000002,1.05,1.06,0.1307,0.0833,-0.0833
1.065,1.06,1.07,0.1262,0.0834,-0.0834
1.0750000000000002,1.07,1.08,0.1222,0.0836,-0.0836
1.085,1.08,1.09,0.1185,0.0838,-0.0838
1.0950000000000002,1.09,1.1,0.1151,0.0841,-0.0841
1.105,1.1,1.11,0.112,0.0844,-0.0844
1.1150000000000002,1.11,1.12,0.1091,0.0847,-0.0847
1.125,1.12,1.13,0.1064,0.085,-0.085
1.1349999999999998,1.13,1.14,0.1039,0.0853,-0.0853
1.145,1.14,1.15,0.1015,0.0856,-0.0856
1.1549999999999998,1.15,1.16,0.0991,0.0859,-0.0859
1.165,1.16,1.17,0.0969,0.0862,-0.0862
1.1749999999999998,1.17,1.18,0.0948,0.0865,-0.0865
1.185,1.18,1.19,0.0926,0.0868,-0.0868
1.1949999999999998,1.19,1.2,0.0906,0.087,-0.087
1.205,1.2,1.21,0.0885,0.0872,-0.0872
1.2149999999999999,1.21,1.22,0.0865,0.0874,-0.0874
1.225,1.22,1.23,0.0845,0.0876,-0.0876
1.2349999999999999,1.23,1.24,0.0826,0.0877,-0.0877
1.245,1.24,1.25,0.0807,0.0878,-0.0878
1.255,1.25,1.26,0.0788,0.0879,-0.0879
1.2650000000000001,1.26,1.27,0.077,0.088,-0.088
1.275,1.27,1.28,0.0753,0.0881,-0.0881
1.2850000000000001,1.28,1.29,0.0737,0.0883,-0.0883
1.295,1.29,1.3,0.0722,0.0885,-0.0885
1.3050000000000002,1.3,1.31,0.0709,0.0887,-0.0887
1.315,1.31,1.32,0.0698,0.0891,-0.0891
1.3250000000000002,1.32,1.33,0.0689,0.0896,-0.0896
1.335,1.33,1.34,0.0684,0.0904,-0.0904
1.3450000000000002,1.34,1.35,0.0682,0.0914,-0.0914
1.355,1.35,1.36,0.0685,0.0928,-0.0928
1.3650000000000002,1.36,1.37,0.0692,0.0946,-0.0946
1.375,1.37,1.38,0.0706,0.097,-0.097
1.3849999999999998,1.38,1.39,0.0726,0.1,-0.1
1.395,1.39,1.4,0.0754,0.1037,-0.1037

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.13,0.0585,-0.0585
0.415,0.41,0.42,0.1378,0.0623,-0.0623
0.425,0.42,0.43,0.1452,0.0661,-0.0661
0.435,0.43,0.44,0.1524,0.0698,-0.0698
0.445,0.44,0.45,0.1593,0.0734,-0.0734
0.455,0.45,0.46,0.1659,0.0769,-0.0769
0.46499999999999997,0.46,0.47,0.1724,0.0804,-0.0804
0.475,0.47,0.48,0.1789,0.084,-0.084
0.485,0.48,0.49,0.1853,0.0875,-0.0875
0.495,0.49,0.5,0.1918,0.0911,-0.0911
0.505,0.5,0.51,0.1986,0.0948,-0.0948
0.515,0.51,0.52,0.2057,0.0986,-0.0986
0.525,0.52,0.53,0.2133,0.1026,-0.1026
0.535,0.53,0.54,0.2217,0.1069,-0.1069
0.545,0.54,0.55,0.231,0.1115,-0.1115
0.555,0.55,0.56,0.2415,0.1165,-0.1165
0.565,0.56,0.57,0.2535,0.122,-0.122
0.575,0.57,0.58,0.2674,0.128,-0.128
0.585,0.58,0.59,0.2836,0.1348,-0.1348
0.595,0.59,0.6,0.3028,0.1425,-0.1425
0.605,0.6,0.61,0.3254,0.1513,-0.1513
0.615,0.61,0.62,0.3523,0.1612,-0.1612
0.625,0.62,0.63,0.3845,0.1727,-0.1727
0.635,0.63,0.64,0.423,0.186,-0.186
0.645,0.64,0.65,0.4692,0.2013,-0.2013
0.655,0.65,0.66,0.5246,0.2192,-0.2192
0.665,0.66,0.67,0.5908,0.2398,-0.2398
0.675,0.67,0.68,0.6695,0.2636,-0.2636
0.685,0.68,0.69,0.7622,0.2908,-0.2908
0.695,0.69,0.7,0.8695,0.3212,-0.3212
0.705,0.7,0.71,0.9904,0.3544,-0.3544
0.715,0.71,0.72,1.1214,0.3888,-0.3888
0.725,0.72,0.73,1.2546,0.4221,-0.4221
0.735,0.73,0.74,1.3778,0.4505,-0.4505
