#: table_doi: 10.17182/hepdata.74824.v1/t185
#: name: Table 185
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table185.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,0.0077,0.0153,-0.0153
0.415,0.41,0.42,0.0082,0.0119,-0.0119
0.425,0.42,0.43,0.0092,0.0098,-0.0098
0.435,0.43,0.44,0.0106,0.0088,-0.0088
0.445,0.44,0.45,0.0123,0.0087,-0.0087
0.455,0.45,0.46,0.0143,0.009,-0.009
0.46499999999999997,0.46,0.47,0.0165,0.0094,-0.0094
0.475,0.47,0.48,0.0191,0.0099,-0.0099
0.485,0.48,0.49,0.0218,0.0104,-0.0104
0.495,0.49,0.5,0.0247,0.0109,-0.0109
0.505,0.5,0.51,0.0279,0.0113,-0.0113
0.515,0.51,0.52,0.0312,0.0117,-0.0117
0.525,0.52,0.53,0.0347,0.0121,-0.0121
0.535,0.53,0.54,0.0384,0.0126,-0.0126
0.545,0.54,0.55,0.0422,0.013,-0.013
0.555,0.55,0.56,0.0462,0.0134,-0.0134
0.565,0.56,0.57,0.0503,0.0139,-0.0139
0.575,0.57,0.58,0.0545,0.0144,-0.0144
0.585,0.58,0.59,0.0588,0.0149,-0.0149
0.595,0.59,0.6,0.0632,0.0153,-0.0153
0.605,0.6,0.61,0.0675,0.0157,-0.0157
0.615,0.61,0.62,0.0719,0.0161,-0.0161
0.625,0.62,0.63,0.0763,0.0164,-0.0164
0.635,0.63,0.64,0.0807,0.0166,-0.0166
0.645,0.64,0.65,0.085,0.0168,-0.0168
0.655,0.65,0.66,0.0894,0.0168,-0.0168
0.665,0.66,0.67,0.0938,0.0168,-0.0168
0.675,0.67,0.68,0.0982,0.0167,-0.0167
0.685,0.68,0.69,0.1026,0.0165,-0.0165
0.695,0.69,0.7,0.1071,0.0163,-0.0163
0.705,0.7,0.71,0.1117,0.0161,-0.0161
0.715,0.71,0.72,0.1162,0.0159,-0.0159
0.725,0.72,0.73,0.1208,0.0157,-0.0157
0.735,0.73,0.74,0.1253,0.0156,-0.0156
0.745,0.74,0.75,0.1296,0.0155,-0.0155
0.755,0.75,0.76,0.1337,0.0156,-0.0156
0.765,0.76,0.77,0.1372,0.0157,-0.0157
0.775,0.77,0.78,0.1401,0.0159,-0.0159
0.785,0.78,0.79,0.1421,0.0161,-0.0161
0.795,0.79,0.8,0.143,0.0165,-0.0165
0.805,0.8,0.81,0.1426,0.017,-0.017
0.815,0.81,0.82,0.1407,0.0177,-0.0177
0.825,0.82,0.83,0.1372,0.0186,-0.0186
0.835,0.83,0.84,0.1321,0.0197,-0.0197
0.845,0.84,0.85,0.1255,0.0209,-0.0209
0.855,0.85,0.86,0.1175,0.022,-0.022
0.865,0.86,0.87,0.1082,0.023,-0.023
0.875,0.87,0.88,0.098,0.0236,-0.0236
0.885,0.88,0.89,0.0871,0.0239,-0.0239
0.895,0.89,0.9,0.0757,0.0237,-0.0237
0.905,0.9,0.91,0.064,0.0232,-0.0232
0.915,0.91,0.92,0.0523,0.0223,-0.0223
0.925,0.92,0.93,0.0407,0.021,-0.021
0.935,0.93,0.94,0.0293,0.0196,-0.0196
0.945,0.94,0.95,0.0182,0.0181,-0.0181
0.955,0.95,0.96,0.0075,0.0167,-0.0167
0.965,0.96,0.97,-0.003,0.0154,-0.0154
0.975,0.97,0.98,-0.0136,0.0146,-0.0146
0.985,0.98,0.99,-0.0257,0.0147,-0.0147
