#: table_doi: 10.17182/hepdata.74824.v1/t114
#: name: Table 114
#: description: P0 wave cross section for -T.

#: data_file: Table114.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0353,0.0131,-0.0131
0.415,0.41,0.42,0.0391,0.0146,-0.0146
0.425,0.42,0.43,0.0431,0.0163,-0.0163
0.435,0.43,0.44,0.0475,0.0182,-0.0182
0.445,0.44,0.45,0.0521,0.0203,-0.0203
0.455,0.45,0.46,0.0572,0.0226,-0.0226
0.46499999999999997,0.46,0.47,0.0628,0.0251,-0.0251
0.475,0.47,0.48,0.0689,0.0279,-0.0279
0.485,0.48,0.49,0.0756,0.031,-0.031
0.495,0.49,0.5,0.083,0.0343,-0.0343
0.505,0.5,0.51,0.0912,0.0379,-0.0379
0.515,0.51,0.52,0.1003,0.0419,-0.0419
0.525,0.52,0.53,0.1105,0.0462,-0.0462
0.535,0.53,0.54,0.1219,0.0509,-0.0509
0.545,0.54,0.55,0.1346,0.0559,-0.0559
0.555,0.55,0.56,0.149,0.0614,-0.0614
0.565,0.56,0.57,0.1651,0.0674,-0.0674
0.575,0.57,0.58,0.1834,0.0739,-0.0739
0.585,0.58,0.59,0.204,0.081,-0.081
0.595,0.59,0.6,0.2275,0.0888,-0.0888
0.605,0.6,0.61,0.2541,0.0973,-0.0973
0.615,0.61,0.62,0.2845,0.1067,-0.1067
0.625,0.62,0.63,0.3192,0.117,-0.117
0.635,0.63,0.64,0.3589,0.1283,-0.1283
0.645,0.64,0.65,0.4042,0.1408,-0.1408
0.655,0.65,0.66,0.4558,0.1546,-0.1546
0.665,0.66,0.67,0.5145,0.1698,-0.1698
0.675,0.67,0.68,0.5807,0.1864,-0.1864
0.685,0.68,0.69,0.6542,0.2042,-0.2042
0.695,0.69,0.7,0.7342,0.2228,-0.2228
0.705,0.7,0.71,0.8181,0.2416,-0.2416
0.715,0.71,0.72,0.9012,0.2593,-0.2593
0.725,0.72,0.73,0.9761,0.2741,-0.2741
0.735,0.73,0.74,1.033,0.2838,-0.2838
0.745,0.74,0.75,1.0613,0.2862,-0.2862
0.755,0.75,0.76,1.053,0.28,-0.28
0.765,0.76,0.77,1.0063,0.2653,-0.2653
0.775,0.77,0.78,0.9268,0.244,-0.244
0.785,0.78,0.79,0.8257,0.2189,-0.2189
0.795,0.79,0.8,0.7158,0.1931,-0.1931
