#: table_doi: 10.17182/hepdata.74824.v1/t181
#: name: Table 181
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table181.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.3849999999999998,1.38,1.39,-0.0723,0.0135,-0.0135
1.395,1.39,1.4,-0.0694,0.0146,-0.0146

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,0.0042,0.0184,-0.0184
0.415,0.41,0.42,0.0117,0.0186,-0.0186
0.425,0.42,0.43,0.0193,0.0188,-0.0188
0.435,0.43,0.44,0.0269,0.019,-0.019
0.445,0.44,0.45,0.0343,0.019,-0.019
0.455,0.45,0.46,0.0412,0.0189,-0.0189
0.46499999999999997,0.46,0.47,0.0476,0.0187,-0.0187
0.475,0.47,0.48,0.0534,0.0185,-0.0185
0.485,0.48,0.49,0.0583,0.0184,-0.0184
0.495,0.49,0.5,0.0626,0.0184,-0.0184
0.505,0.5,0.51,0.066,0.0184,-0.0184
0.515,0.51,0.52,0.0687,0.0184,-0.0184
0.525,0.52,0.53,0.0707,0.0185,-0.0185
0.535,0.53,0.54,0.0719,0.0185,-0.0185
0.545,0.54,0.55,0.0723,0.0183,-0.0183
0.555,0.55,0.56,0.0719,0.0181,-0.0181
0.565,0.56,0.57,0.0707,0.0177,-0.0177
0.575,0.57,0.58,0.0686,0.017,-0.017
0.585,0.58,0.59,0.0656,0.0163,-0.0163
0.595,0.59,0.6,0.0616,0.0154,-0.0154
0.605,0.6,0.61,0.0568,0.0143,-0.0143
0.615,0.61,0.62,0.051,0.0132,-0.0132
0.625,0.62,0.63,0.0442,0.0121,-0.0121
0.635,0.63,0.64,0.0366,0.011,-0.011
0.645,0.64,0.65,0.0282,0.01,-0.01
0.655,0.65,0.66,0.0191,0.0091,-0.0091
0.665,0.66,0.67,0.0093,0.0085,-0.0085
