#: table_doi: 10.17182/hepdata.74824.v1/t116
#: name: Table 116
#: description: Pp wave cross section for -T.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1473,0.0682,-0.0682
0.415,0.41,0.42,0.1629,0.0749,-0.0749
0.425,0.42,0.43,0.1799,0.0818,-0.0818
0.435,0.43,0.44,0.1986,0.0889,-0.0889
0.445,0.44,0.45,0.2194,0.0963,-0.0963
0.455,0.45,0.46,0.2425,0.104,-0.104
0.46499999999999997,0.46,0.47,0.2685,0.112,-0.112
0.475,0.47,0.48,0.2978,0.1205,-0.1205
0.485,0.48,0.49,0.3311,0.1294,-0.1294
0.495,0.49,0.5,0.3691,0.1389,-0.1389
0.505,0.5,0.51,0.4125,0.149,-0.149
0.515,0.51,0.52,0.4625,0.16,-0.16
0.525,0.52,0.53,0.5201,0.1718,-0.1718
0.535,0.53,0.54,0.5868,0.1846,-0.1846
0.545,0.54,0.55,0.6641,0.1987,-0.1987
0.555,0.55,0.56,0.7541,0.2142,-0.2142
0.565,0.56,0.57,0.8591,0.2315,-0.2315
0.575,0.57,0.58,0.9821,0.2508,-0.2508
0.585,0.58,0.59,1.1265,0.2727,-0.2727
0.595,0.59,0.6,1.2966,0.2976,-0.2976
0.605,0.6,0.61,1.4974,0.3262,-0.3262
0.615,0.61,0.62,1.7353,0.3594,-0.3594
0.625,0.62,0.63,2.0179,0.3981,-0.3981
0.635,0.63,0.64,2.3543,0.4435,-0.4435
0.645,0.64,0.65,2.7554,0.4974,-0.4974
0.655,0.65,0.66,3.2339,0.5613,-0.5613
0.665,0.66,0.67,3.8041,0.6375,-0.6375
0.675,0.67,0.68,4.4805,0.7281,-0.7281
0.685,0.68,0.69,5.2763,0.8354,-0.8354
0.695,0.69,0.7,6.1988,0.961,-0.961
0.705,0.7,0.71,7.243,1.1051,-1.1051
0.715,0.71,0.72,8.3814,1.265,-1.265
0.725,0.72,0.73,9.5535,1.4337,-1.4337
0.735,0.73,0.74,10.6596,1.5985,-1.5985
0.745,0.74,0.75,11.5694,1.7421,-1.7421
0.755,0.75,0.76,12.1511,1.8459,-1.8459
0.765,0.76,0.77,12.3163,1.8959,-1.8959
