#: table_doi: 10.17182/hepdata.74824.v1/t149
#: name: Table 149
#: description: F wave cross section for -T.

#: data_file: Table149.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0626,0.023,-0.023
0.415,0.41,0.42,0.0721,0.0265,-0.0265
0.425,0.42,0.43,0.0819,0.0301,-0.0301
0.435,0.43,0.44,0.092,0.0338,-0.0338
0.445,0.44,0.45,0.1023,0.0376,-0.0376
0.455,0.45,0.46,0.1127,0.0414,-0.0414
0.46499999999999997,0.46,0.47,0.1231,0.0452,-0.0452
0.475,0.47,0.48,0.1335,0.0491,-0.0491
0.485,0.48,0.49,0.1439,0.0529,-0.0529
0.495,0.49,0.5,0.1542,0.0567,-0.0567
0.505,0.5,0.51,0.1644,0.0604,-0.0604
0.515,0.51,0.52,0.1744,0.0641,-0.0641
0.525,0.52,0.53,0.1842,0.0677,-0.0677
0.535,0.53,0.54,0.1938,0.0713,-0.0713
0.545,0.54,0.55,0.2032,0.0747,-0.0747
0.555,0.55,0.56,0.2123,0.0781,-0.0781
0.565,0.56,0.57,0.2212,0.0813,-0.0813
0.575,0.57,0.58,0.2297,0.0844,-0.0844
0.585,0.58,0.59,0.238,0.0874,-0.0874
0.595,0.59,0.6,0.2459,0.0903,-0.0903
0.605,0.6,0.61,0.2535,0.0931,-0.0931
0.615,0.61,0.62,0.2607,0.0957,-0.0957
0.625,0.62,0.63,0.2677,0.0982,-0.0982
0.635,0.63,0.64,0.2742,0.1006,-0.1006
0.645,0.64,0.65,0.2805,0.1028,-0.1028
0.655,0.65,0.66,0.2864,0.1049,-0.1049
