#: table_doi: 10.17182/hepdata.74824.v1/t137
#: name: Table 137
#: description: D0 wave cross section for -T.

#: data_file: Table137.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0519,0.0223,-0.0223
0.415,0.41,0.42,0.0527,0.023,-0.023
0.425,0.42,0.43,0.0538,0.024,-0.024
0.435,0.43,0.44,0.0552,0.0255,-0.0255
0.445,0.44,0.45,0.0568,0.0273,-0.0273
0.455,0.45,0.46,0.0585,0.0295,-0.0295
0.46499999999999997,0.46,0.47,0.0603,0.0321,-0.0321
0.475,0.47,0.48,0.0622,0.035,-0.035
0.485,0.48,0.49,0.064,0.038,-0.038
0.495,0.49,0.5,0.0657,0.0412,-0.0412
0.505,0.5,0.51,0.0674,0.0443,-0.0443
0.515,0.51,0.52,0.069,0.0475,-0.0475
0.525,0.52,0.53,0.0705,0.0505,-0.0505
0.535,0.53,0.54,0.0719,0.0534,-0.0534
0.545,0.54,0.55,0.0731,0.056,-0.056
0.555,0.55,0.56,0.0742,0.0584,-0.0584
0.565,0.56,0.57,0.0751,0.0605,-0.0605
0.575,0.57,0.58,0.0759,0.0623,-0.0623
0.585,0.58,0.59,0.0765,0.0638,-0.0638
0.595,0.59,0.6,0.077,0.0649,-0.0649
0.605,0.6,0.61,0.0773,0.0657,-0.0657
0.615,0.61,0.62,0.0775,0.0661,-0.0661
0.625,0.62,0.63,0.0776,0.0662,-0.0662
0.635,0.63,0.64,0.0776,0.066,-0.066
0.645,0.64,0.65,0.0776,0.0655,-0.0655
0.655,0.65,0.66,0.0774,0.0648,-0.0648
0.665,0.66,0.67,0.0772,0.0638,-0.0638
0.675,0.67,0.68,0.0769,0.0626,-0.0626
0.685,0.68,0.69,0.0766,0.0613,-0.0613
0.695,0.69,0.7,0.0763,0.06,-0.06
0.705,0.7,0.71,0.076,0.0587,-0.0587
0.715,0.71,0.72,0.0757,0.0575,-0.0575
0.725,0.72,0.73,0.0755,0.0565,-0.0565
0.735,0.73,0.74,0.0753,0.0559,-0.0559
0.745,0.74,0.75,0.0751,0.0556,-0.0556
0.755,0.75,0.76,0.075,0.0558,-0.0558
0.765,0.76,0.77,0.075,0.0566,-0.0566
0.775,0.77,0.78,0.0751,0.0579,-0.0579
0.785,0.78,0.79,0.0753,0.0598,-0.0598
0.795,0.79,0.8,0.0756,0.0622,-0.0622
0.805,0.8,0.81,0.076,0.0651,-0.0651
0.815,0.81,0.82,0.0765,0.0684,-0.0684
0.825,0.82,0.83,0.0771,0.0721,-0.0721
0.835,0.83,0.84,0.0778,0.076,-0.076
0.845,0.84,0.85,0.0786,0.0802,-0.0802
0.855,0.85,0.86,0.0795,0.0845,-0.0845
0.865,0.86,0.87,0.0805,0.0888,-0.0888
0.875,0.87,0.88,0.0816,0.0932,-0.0932
0.885,0.88,0.89,0.0827,0.0975,-0.0975
0.895,0.89,0.9,0.0838,0.1017,-0.1017
0.905,0.9,0.91,0.085,0.1058,-0.1058
0.915,0.91,0.92,0.0861,0.1097,-0.1097
0.925,0.92,0.93,0.0873,0.1134,-0.1134
0.935,0.93,0.94,0.0884,0.1169,-0.1169
0.945,0.94,0.95,0.0894,0.12,-0.12
0.955,0.95,0.96,0.0903,0.1228,-0.1228
0.965,0.96,0.97,0.0911,0.1253,-0.1253
0.975,0.97,0.98,0.0918,0.1274,-0.1274
0.985,0.98,0.99,0.0923,0.1291,-0.1291
0.995,0.99,1.0,0.0927,0.1304,-0.1304
1.005,1.0,1.01,0.0929,0.1312,-0.1312
1.0150000000000001,1.01,1.02,0.0929,0.1316,-0.1316
1.025,1.02,1.03,0.0927,0.1316,-0.1316
1.0350000000000001,1.03,1.04,0.0924,0.1311,-0.1311
1.045,1.04,1.05,0.0919,0.1302,-0.1302
1.0550000000000002,1.05,1.06,0.0913,0.1288,-0.1288
1.065,1.06,1.07,0.0907,0.1271,-0.1271
1.0750000000000002,1.07,1.08,0.0902,0.1252,-0.1252
1.085,1.08,1.09,0.0898,0.1229,-0.1229
1.0950000000000002,1.09,1.1,0.0898,0.1206,-0.1206
1.105,1.1,1.11,0.0903,0.1183,-0.1183
1.1150000000000002,1.11,1.12,0.0916,0.1162,-0.1162
1.125,1.12,1.13,0.094,0.1145,-0.1145
1.1349999999999998,1.13,1.14,0.0978,0.1134,-0.1134
1.145,1.14,1.15,0.1036,0.113,-0.113
1.1549999999999998,1.15,1.16,0.1118,0.1135,-0.1135
1.165,1.16,1.17,0.1231,0.115,-0.115
1.1749999999999998,1.17,1.18,0.1381,0.1174,-0.1174
1.185,1.18,1.19,0.1574,0.1209,-0.1209
1.1949999999999998,1.19,1.2,0.1817,0.1253,-0.1253
1.205,1.2,1.21,0.2113,0.1307,-0.1307
1.2149999999999999,1.21,1.22,0.2461,0.1375,-0.1375
1.225,1.22,1.23,0.2853,0.1462,-0.1462
1.2349999999999999,1.23,1.24,0.3271,0.1575,-0.1575
1.245,1.24,1.25,0.3688,0.1721,-0.1721
1.255,1.25,1.26,0.4066,0.1902,-0.1902
1.2650000000000001,1.26,1.27,0.436,0.2109,-0.2109
1.275,1.27,1.28,0.4532,0.2322,-0.2322
1.2850000000000001,1.28,1.29,0.4558,0.2517,-0.2517
1.295,1.29,1.3,0.4433,0.2672,-0.2672
1.3050000000000002,1.3,1.31,0.4174,0.2773,-0.2773
1.315,1.31,1.32,0.3811,0.2812,-0.2812
1.3250000000000002,1.32,1.33,0.3383,0.2794,-0.2794
1.335,1.33,1.34,0.2929,0.2726,-0.2726
1.3450000000000002,1.34,1.35,0.2481,0.2621,-0.2621
1.355,1.35,1.36,0.2066,0.2492,-0.2492
1.3650000000000002,1.36,1.37,0.1706,0.2353,-0.2353
1.375,1.37,1.38,0.1416,0.2222,-0.2222
1.3849999999999998,1.38,1.39,0.1208,0.2122,-0.2122
1.395,1.39,1.4,0.1092,0.2087,-0.2087

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0385,0.0348,-0.0348
0.415,0.41,0.42,0.0386,0.0333,-0.0333
0.425,0.42,0.43,0.0391,0.0318,-0.0318
0.435,0.43,0.44,0.04,0.0305,-0.0305
0.445,0.44,0.45,0.0413,0.0293,-0.0293
0.455,0.45,0.46,0.0428,0.0284,-0.0284
0.46499999999999997,0.46,0.47,0.0445,0.0277,-0.0277
0.475,0.47,0.48,0.0463,0.0274,-0.0274
0.485,0.48,0.49,0.0483,0.0275,-0.0275
0.495,0.49,0.5,0.0504,0.0279,-0.0279
0.505,0.5,0.51,0.0526,0.0286,-0.0286
0.515,0.51,0.52,0.0548,0.0297,-0.0297
0.525,0.52,0.53,0.057,0.0311,-0.0311
0.535,0.53,0.54,0.0592,0.0327,-0.0327
0.545,0.54,0.55,0.0614,0.0345,-0.0345
0.555,0.55,0.56,0.0636,0.0364,-0.0364
0.565,0.56,0.57,0.0658,0.0385,-0.0385
0.575,0.57,0.58,0.0679,0.0407,-0.0407
0.585,0.58,0.59,0.07,0.0429,-0.0429
0.595,0.59,0.6,0.072,0.0452,-0.0452
0.605,0.6,0.61,0.074,0.0476,-0.0476
0.615,0.61,0.62,0.076,0.0501,-0.0501
0.625,0.62,0.63,0.0779,0.0526,-0.0526
0.635,0.63,0.64,0.0798,0.0551,-0.0551
0.645,0.64,0.65,0.0817,0.0577,-0.0577
0.655,0.65,0.66,0.0836,0.0603,-0.0603
0.665,0.66,0.67,0.0855,0.063,-0.063
0.675,0.67,0.68,0.0875,0.0658,-0.0658
0.685,0.68,0.69,0.0895,0.0687,-0.0687
0.695,0.69,0.7,0.0915,0.0717,-0.0717
0.705,0.7,0.71,0.0936,0.0747,-0.0747
0.715,0.71,0.72,0.0957,0.0779,-0.0779
0.725,0.72,0.73,0.0979,0.0811,-0.0811
0.735,0.73,0.74,0.1002,0.0845,-0.0845
0.745,0.74,0.75,0.1027,0.088,-0.088
0.755,0.75,0.76,0.1052,0.0916,-0.0916
0.765,0.76,0.77,0.1078,0.0953,-0.0953
0.775,0.77,0.78,0.1106,0.0992,-0.0992
0.785,0.78,0.79,0.1135,0.1031,-0.1031
0.795,0.79,0.8,0.1165,0.1072,-0.1072
0.805,0.8,0.81,0.1196,0.1114,-0.1114
0.815,0.81,0.82,0.1228,0.1157,-0.1157
0.825,0.82,0.83,0.1262,0.12,-0.12
0.835,0.83,0.84,0.1296,0.1244,-0.1244
0.845,0.84,0.85,0.1332,0.1289,-0.1289
0.855,0.85,0.86,0.1368,0.1335,-0.1335
0.865,0.86,0.87,0.1405,0.138,-0.138
0.875,0.87,0.88,0.1442,0.1426,-0.1426
0.885,0.88,0.89,0.1479,0.1471,-0.1471
0.895,0.89,0.9,0.1516,0.1516,-0.1516
0.905,0.9,0.91,0.1552,0.1561,-0.1561
0.915,0.91,0.92,0.1588,0.1604,-0.1604
0.925,0.92,0.93,0.1622,0.1646,-0.1646
0.935,0.93,0.94,0.1655,0.1687,-0.1687
0.945,0.94,0.95,0.1686,0.1727,-0.1727
0.955,0.95,0.96,0.1714,0.1764,-0.1764
0.965,0.96,0.97,0.174,0.1798,-0.1798
0.975,0.97,0.98,0.1762,0.183,-0.183
0.985,0.98,0.99,0.178,0.1859,-0.1859
0.995,0.99,1.0,0.1794,0.1884,-0.1884
1.005,1.0,1.01,0.1803,0.1906,-0.1906
1.0150000000000001,1.01,1.02,0.1807,0.1923,-0.1923
1.025,1.02,1.03,0.1805,0.1936,-0.1936
1.0350000000000001,1.03,1.04,0.1797,0.1943,-0.1943
1.045,1.04,1.05,0.1783,0.1945,-0.1945
1.0550000000000002,1.05,1.06,0.1762,0.1942,-0.1942
1.065,1.06,1.07,0.1734,0.1932,-0.1932
1.0750000000000002,1.07,1.08,0.1699,0.1915,-0.1915
1.085,1.08,1.09,0.1658,0.1892,-0.1892
1.0950000000000002,1.09,1.1,0.1611,0.1861,-0.1861
1.105,1.1,1.11,0.1558,0.1824,-0.1824
1.1150000000000002,1.11,1.12,0.1501,0.1778,-0.1778
1.125,1.12,1.13,0.1441,0.1726,-0.1726
1.1349999999999998,1.13,1.14,0.138,0.1666,-0.1666
1.145,1.14,1.15,0.132,0.16,-0.16
1.1549999999999998,1.15,1.16,0.1266,0.1528,-0.1528
1.165,1.16,1.17,0.1222,0.1454,-0.1454
1.1749999999999998,1.17,1.18,0.1192,0.1378,-0.1378
1.185,1.18,1.19,0.1184,0.1305,-0.1305
1.1949999999999998,1.19,1.2,0.1203,0.1238,-0.1238
1.205,1.2,1.21,0.1257,0.1184,-0.1184
1.2149999999999999,1.21,1.22,0.135,0.1146,-0.1146
1.225,1.22,1.23,0.1487,0.1132,-0.1132
1.2349999999999999,1.23,1.24,0.1664,0.1145,-0.1145
1.245,1.24,1.25,0.1873,0.1191,-0.1191
1.255,1.25,1.26,0.2096,0.1271,-0.1271
1.2650000000000001,1.26,1.27,0.2307,0.1383,-0.1383
1.275,1.27,1.28,0.248,0.1517,-0.1517
1.2850000000000001,1.28,1.29,0.2588,0.1662,-0.1662
1.295,1.29,1.3,0.2617,0.18,-0.18
1.3050000000000002,1.3,1.31,0.2562,0.1917,-0.1917
1.315,1.31,1.32,0.2432,0.2001,-0.2001
1.3250000000000002,1.32,1.33,0.2243,0.2046,-0.2046
1.335,1.33,1.34,0.2015,0.2053,-0.2053
1.3450000000000002,1.34,1.35,0.1769,0.2024,-0.2024
1.355,1.35,1.36,0.1526,0.1966,-0.1966
1.3650000000000002,1.36,1.37,0.1301,0.1888,-0.1888
1.375,1.37,1.38,0.1111,0.1803,-0.1803
1.3849999999999998,1.38,1.39,0.0967,0.1729,-0.1729
1.395,1.39,1.4,0.0882,0.1692,-0.1692

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0178,0.0126,-0.0126
0.415,0.41,0.42,0.0167,0.0126,-0.0126
0.425,0.42,0.43,0.0159,0.0128,-0.0128
0.435,0.43,0.44,0.0155,0.0131,-0.0131
0.445,0.44,0.45,0.0153,0.0135,-0.0135
0.455,0.45,0.46,0.0155,0.0141,-0.0141
0.46499999999999997,0.46,0.47,0.0159,0.0147,-0.0147
0.475,0.47,0.48,0.0165,0.0155,-0.0155
0.485,0.48,0.49,0.0172,0.0163,-0.0163
0.495,0.49,0.5,0.0182,0.0171,-0.0171
0.505,0.5,0.51,0.0192,0.0179,-0.0179
0.515,0.51,0.52,0.0204,0.0188,-0.0188
0.525,0.52,0.53,0.0217,0.0197,-0.0197
0.535,0.53,0.54,0.023,0.0205,-0.0205
0.545,0.54,0.55,0.0245,0.0214,-0.0214
0.555,0.55,0.56,0.0259,0.0223,-0.0223
0.565,0.56,0.57,0.0274,0.0231,-0.0231
0.575,0.57,0.58,0.0289,0.0239,-0.0239
0.585,0.58,0.59,0.0304,0.0247,-0.0247
0.595,0.59,0.6,0.0319,0.0255,-0.0255
0.605,0.6,0.61,0.0335,0.0262,-0.0262
0.615,0.61,0.62,0.035,0.0269,-0.0269
0.625,0.62,0.63,0.0365,0.0276,-0.0276
0.635,0.63,0.64,0.038,0.0282,-0.0282
0.645,0.64,0.65,0.0394,0.0288,-0.0288
0.655,0.65,0.66,0.0409,0.0294,-0.0294
0.665,0.66,0.67,0.0423,0.0299,-0.0299
0.675,0.67,0.68,0.0438,0.0303,-0.0303
0.685,0.68,0.69,0.0452,0.0307,-0.0307
