#: table_doi: 10.17182/hepdata.74824.v1/t151
#: name: Table 151
#: description: Fm wave cross section for -T.

#: data_file: Table151.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0479,0.0214,-0.0214
0.415,0.41,0.42,0.0551,0.0246,-0.0246
0.425,0.42,0.43,0.0625,0.028,-0.028
0.435,0.43,0.44,0.0701,0.0314,-0.0314
0.445,0.44,0.45,0.0778,0.0349,-0.0349
0.455,0.45,0.46,0.0855,0.0385,-0.0385
0.46499999999999997,0.46,0.47,0.0933,0.042,-0.042
0.475,0.47,0.48,0.101,0.0455,-0.0455
0.485,0.48,0.49,0.1087,0.049,-0.049
0.495,0.49,0.5,0.1162,0.0525,-0.0525
0.505,0.5,0.51,0.1236,0.0559,-0.0559
0.515,0.51,0.52,0.1308,0.0593,-0.0593
0.525,0.52,0.53,0.1379,0.0626,-0.0626
0.535,0.53,0.54,0.1447,0.0658,-0.0658
0.545,0.54,0.55,0.1513,0.0689,-0.0689
0.555,0.55,0.56,0.1577,0.0719,-0.0719
0.565,0.56,0.57,0.1638,0.0748,-0.0748
0.575,0.57,0.58,0.1696,0.0775,-0.0775
0.585,0.58,0.59,0.1752,0.0802,-0.0802
0.595,0.59,0.6,0.1804,0.0827,-0.0827
0.605,0.6,0.61,0.1853,0.0851,-0.0851
0.615,0.61,0.62,0.1899,0.0873,-0.0873
0.625,0.62,0.63,0.1942,0.0894,-0.0894
0.635,0.63,0.64,0.1982,0.0914,-0.0914
0.645,0.64,0.65,0.2018,0.0932,-0.0932
0.655,0.65,0.66,0.2051,0.0948,-0.0948
0.665,0.66,0.67,0.2081,0.0963,-0.0963
0.675,0.67,0.68,0.2108,0.0977,-0.0977
0.685,0.68,0.69,0.2131,0.0989,-0.0989
0.695,0.69,0.7,0.2151,0.0999,-0.0999
0.705,0.7,0.71,0.2168,0.1008,-0.1008
0.715,0.71,0.72,0.2181,0.1015,-0.1015
0.725,0.72,0.73,0.2191,0.1021,-0.1021
0.735,0.73,0.74,0.2199,0.1025,-0.1025
0.745,0.74,0.75,0.2203,0.1027,-0.1027
0.755,0.75,0.76,0.2204,0.1028,-0.1028
0.765,0.76,0.77,0.2202,0.1027,-0.1027
0.775,0.77,0.78,0.2197,0.1025,-0.1025
0.785,0.78,0.79,0.219,0.1021,-0.1021
0.795,0.79,0.8,0.2179,0.1016,-0.1016
0.805,0.8,0.81,0.2166,0.1009,-0.1009
0.815,0.81,0.82,0.2151,0.1001,-0.1001
0.825,0.82,0.83,0.2133,0.0991,-0.0991
0.835,0.83,0.84,0.2113,0.098,-0.098
0.845,0.84,0.85,0.2091,0.0967,-0.0967
0.855,0.85,0.86,0.2066,0.0953,-0.0953
0.865,0.86,0.87,0.204,0.0938,-0.0938
0.875,0.87,0.88,0.2011,0.0922,-0.0922
0.885,0.88,0.89,0.1982,0.0904,-0.0904
0.895,0.89,0.9,0.195,0.0885,-0.0885
0.905,0.9,0.91,0.1917,0.0865,-0.0865
0.915,0.91,0.92,0.1883,0.0843,-0.0843
0.925,0.92,0.93,0.1848,0.0821,-0.0821
0.935,0.93,0.94,0.1812,0.0798,-0.0798
0.945,0.94,0.95,0.1775,0.0774,-0.0774
0.955,0.95,0.96,0.1738,0.0749,-0.0749
0.965,0.96,0.97,0.17,0.0724,-0.0724
0.975,0.97,0.98,0.1663,0.0698,-0.0698
0.985,0.98,0.99,0.1625,0.0672,-0.0672
0.995,0.99,1.0,0.1587,0.0645,-0.0645
1.005,1.0,1.01,0.155,0.0619,-0.0619
1.0150000000000001,1.01,1.02,0.1514,0.0593,-0.0593
1.025,1.02,1.03,0.1478,0.0568,-0.0568
1.0350000000000001,1.03,1.04,0.1443,0.0544,-0.0544
1.045,1.04,1.05,0.141,0.0521,-0.0521
1.0550000000000002,1.05,1.06,0.1379,0.05,-0.05
1.065,1.06,1.07,0.1349,0.0481,-0.0481
1.0750000000000002,1.07,1.08,0.1321,0.0466,-0.0466
1.085,1.08,1.09,0.1295,0.0454,-0.0454
1.0950000000000002,1.09,1.1,0.1273,0.0446,-0.0446
