#: table_doi: 10.17182/hepdata.74824.v1/t134
#: name: Table 134
#: description: D0 wave cross section for -T.

#: data_file: Table134.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.043,0.0459,-0.0459
0.415,0.41,0.42,0.0478,0.0518,-0.0518
0.425,0.42,0.43,0.0532,0.0583,-0.0583
0.435,0.43,0.44,0.0591,0.0652,-0.0652
0.445,0.44,0.45,0.0653,0.0725,-0.0725
0.455,0.45,0.46,0.0718,0.0801,-0.0801
0.46499999999999997,0.46,0.47,0.0785,0.0878,-0.0878
0.475,0.47,0.48,0.0853,0.0957,-0.0957
0.485,0.48,0.49,0.0922,0.1035,-0.1035
0.495,0.49,0.5,0.0991,0.1114,-0.1114
0.505,0.5,0.51,0.1059,0.1191,-0.1191
0.515,0.51,0.52,0.1127,0.1266,-0.1266
0.525,0.52,0.53,0.1192,0.1339,-0.1339
0.535,0.53,0.54,0.1256,0.1409,-0.1409
0.545,0.54,0.55,0.1317,0.1477,-0.1477
0.555,0.55,0.56,0.1375,0.154,-0.154
0.565,0.56,0.57,0.1431,0.16,-0.16
0.575,0.57,0.58,0.1483,0.1656,-0.1656
0.585,0.58,0.59,0.1531,0.1707,-0.1707
0.595,0.59,0.6,0.1575,0.1754,-0.1754
0.605,0.6,0.61,0.1616,0.1796,-0.1796
0.615,0.61,0.62,0.1652,0.1833,-0.1833
0.625,0.62,0.63,0.1684,0.1865,-0.1865
0.635,0.63,0.64,0.1712,0.1892,-0.1892
0.645,0.64,0.65,0.1735,0.1914,-0.1914
0.655,0.65,0.66,0.1754,0.193,-0.193
0.665,0.66,0.67,0.1769,0.1942,-0.1942
0.675,0.67,0.68,0.178,0.1949,-0.1949
0.685,0.68,0.69,0.1786,0.1951,-0.1951
0.695,0.69,0.7,0.1789,0.1948,-0.1948
0.705,0.7,0.71,0.1788,0.1941,-0.1941
0.715,0.71,0.72,0.1783,0.1929,-0.1929
0.725,0.72,0.73,0.1775,0.1914,-0.1914
0.735,0.73,0.74,0.1764,0.1894,-0.1894
0.745,0.74,0.75,0.1749,0.1871,-0.1871
0.755,0.75,0.76,0.1732,0.1845,-0.1845
0.765,0.76,0.77,0.1712,0.1816,-0.1816
0.775,0.77,0.78,0.169,0.1784,-0.1784
0.785,0.78,0.79,0.1667,0.1749,-0.1749
0.795,0.79,0.8,0.1641,0.1713,-0.1713
0.805,0.8,0.81,0.1614,0.1675,-0.1675
0.815,0.81,0.82,0.1587,0.1635,-0.1635
0.825,0.82,0.83,0.1558,0.1595,-0.1595
0.835,0.83,0.84,0.1529,0.1554,-0.1554
0.845,0.84,0.85,0.15,0.1513,-0.1513
0.855,0.85,0.86,0.1471,0.1471,-0.1471
0.865,0.86,0.87,0.1442,0.1431,-0.1431
