#: table_doi: 10.17182/hepdata.74824.v1/t130
#: name: Table 130
#: description: Dm wave cross section for -T.

#: data_file: Table130.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0392,0.0289,-0.0289
0.415,0.41,0.42,0.0386,0.0304,-0.0304
0.425,0.42,0.43,0.0384,0.032,-0.032
0.435,0.43,0.44,0.0387,0.0337,-0.0337
0.445,0.44,0.45,0.0393,0.0353,-0.0353
0.455,0.45,0.46,0.0403,0.0368,-0.0368
0.46499999999999997,0.46,0.47,0.0416,0.0382,-0.0382
0.475,0.47,0.48,0.0431,0.0395,-0.0395
0.485,0.48,0.49,0.0449,0.0407,-0.0407
0.495,0.49,0.5,0.0469,0.0417,-0.0417
0.505,0.5,0.51,0.0491,0.0425,-0.0425
0.515,0.51,0.52,0.0515,0.0433,-0.0433
0.525,0.52,0.53,0.054,0.0439,-0.0439
0.535,0.53,0.54,0.0566,0.0444,-0.0444
0.545,0.54,0.55,0.0593,0.0448,-0.0448
0.555,0.55,0.56,0.0621,0.0451,-0.0451
0.565,0.56,0.57,0.0649,0.0454,-0.0454
0.575,0.57,0.58,0.0678,0.0456,-0.0456
0.585,0.58,0.59,0.0706,0.0459,-0.0459
0.595,0.59,0.6,0.0734,0.0462,-0.0462
0.605,0.6,0.61,0.0763,0.0465,-0.0465
0.615,0.61,0.62,0.079,0.0469,-0.0469
0.625,0.62,0.63,0.0818,0.0474,-0.0474
0.635,0.63,0.64,0.0844,0.048,-0.048
0.645,0.64,0.65,0.087,0.0487,-0.0487
0.655,0.65,0.66,0.0895,0.0495,-0.0495
