#: table_doi: 10.17182/hepdata.74824.v1/t129
#: name: Table 129
#: description: Dm wave cross section for -T.

#: data_file: Table129.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0883,0.079,-0.079
0.415,0.41,0.42,0.0832,0.0751,-0.0751
0.425,0.42,0.43,0.0789,0.0715,-0.0715
0.435,0.43,0.44,0.0755,0.0681,-0.0681
0.445,0.44,0.45,0.0728,0.0648,-0.0648
0.455,0.45,0.46,0.0708,0.0616,-0.0616
0.46499999999999997,0.46,0.47,0.0695,0.0584,-0.0584
0.475,0.47,0.48,0.0688,0.0552,-0.0552
0.485,0.48,0.49,0.0687,0.052,-0.052
0.495,0.49,0.5,0.0692,0.049,-0.049
0.505,0.5,0.51,0.0702,0.046,-0.046
0.515,0.51,0.52,0.0716,0.0434,-0.0434
0.525,0.52,0.53,0.0735,0.0411,-0.0411
0.535,0.53,0.54,0.0758,0.0393,-0.0393
0.545,0.54,0.55,0.0784,0.0382,-0.0382
0.555,0.55,0.56,0.0813,0.0379,-0.0379
0.565,0.56,0.57,0.0845,0.0384,-0.0384
0.575,0.57,0.58,0.0879,0.0398,-0.0398
0.585,0.58,0.59,0.0914,0.042,-0.042
0.595,0.59,0.6,0.0951,0.045,-0.045
0.605,0.6,0.61,0.0989,0.0484,-0.0484
0.615,0.61,0.62,0.1028,0.0524,-0.0524
0.625,0.62,0.63,0.1067,0.0566,-0.0566
0.635,0.63,0.64,0.1105,0.061,-0.061
0.645,0.64,0.65,0.1144,0.0656,-0.0656
0.655,0.65,0.66,0.1181,0.0702,-0.0702
0.665,0.66,0.67,0.1218,0.0747,-0.0747
0.675,0.67,0.68,0.1253,0.0792,-0.0792
0.685,0.68,0.69,0.1286,0.0836,-0.0836
0.695,0.69,0.7,0.1318,0.0878,-0.0878
0.705,0.7,0.71,0.1348,0.0918,-0.0918
0.715,0.71,0.72,0.1375,0.0956,-0.0956
0.725,0.72,0.73,0.14,0.0991,-0.0991
0.735,0.73,0.74,0.1422,0.1023,-0.1023
0.745,0.74,0.75,0.1441,0.1053,-0.1053
0.755,0.75,0.76,0.1458,0.1079,-0.1079
0.765,0.76,0.77,0.1471,0.1103,-0.1103
0.775,0.77,0.78,0.1482,0.1123,-0.1123
0.785,0.78,0.79,0.1489,0.114,-0.114
0.795,0.79,0.8,0.1493,0.1153,-0.1153
0.805,0.8,0.81,0.1495,0.1164,-0.1164
0.815,0.81,0.82,0.1493,0.1171,-0.1171
0.825,0.82,0.83,0.1488,0.1174,-0.1174
0.835,0.83,0.84,0.1481,0.1175,-0.1175
0.845,0.84,0.85,0.147,0.1173,-0.1173
0.855,0.85,0.86,0.1457,0.1167,-0.1167
0.865,0.86,0.87,0.1441,0.1159,-0.1159
0.875,0.87,0.88,0.1422,0.1148,-0.1148
0.885,0.88,0.89,0.1402,0.1135,-0.1135
0.895,0.89,0.9,0.1379,0.1119,-0.1119
0.905,0.9,0.91,0.1354,0.1101,-0.1101
0.915,0.91,0.92,0.1327,0.1081,-0.1081
0.925,0.92,0.93,0.1299,0.106,-0.106
0.935,0.93,0.94,0.127,0.1037,-0.1037
0.945,0.94,0.95,0.1239,0.1012,-0.1012
0.955,0.95,0.96,0.1208,0.0987,-0.0987
0.965,0.96,0.97,0.1176,0.0961,-0.0961
0.975,0.97,0.98,0.1144,0.0934,-0.0934
0.985,0.98,0.99,0.1112,0.0908,-0.0908
0.995,0.99,1.0,0.108,0.0881,-0.0881
1.005,1.0,1.01,0.1049,0.0854,-0.0854
1.0150000000000001,1.01,1.02,0.102,0.0829,-0.0829
1.025,1.02,1.03,0.0992,0.0804,-0.0804
1.0350000000000001,1.03,1.04,0.0967,0.078,-0.078
1.045,1.04,1.05,0.0944,0.0758,-0.0758
1.0550000000000002,1.05,1.06,0.0925,0.0737,-0.0737
1.065,1.06,1.07,0.0911,0.0718,-0.0718
1.0750000000000002,1.07,1.08,0.0901,0.0701,-0.0701
1.085,1.08,1.09,0.0898,0.0687,-0.0687
1.0950000000000002,1.09,1.1,0.0902,0.0675,-0.0675
