#: table_doi: 10.17182/hepdata.74824.v1/t194
#: name: Table 194
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table194.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0474,0.0194,-0.0194
0.415,0.41,0.42,0.0508,0.0196,-0.0196
0.425,0.42,0.43,0.0535,0.0199,-0.0199
0.435,0.43,0.44,0.0556,0.0202,-0.0202
0.445,0.44,0.45,0.057,0.0206,-0.0206
0.455,0.45,0.46,0.0579,0.0209,-0.0209
0.46499999999999997,0.46,0.47,0.0583,0.0211,-0.0211
0.475,0.47,0.48,0.0582,0.0212,-0.0212
0.485,0.48,0.49,0.0576,0.021,-0.021
0.495,0.49,0.5,0.0567,0.0205,-0.0205
0.505,0.5,0.51,0.0553,0.0197,-0.0197
0.515,0.51,0.52,0.0537,0.0187,-0.0187
0.525,0.52,0.53,0.0516,0.0174,-0.0174
0.535,0.53,0.54,0.0493,0.0159,-0.0159
0.545,0.54,0.55,0.0467,0.0143,-0.0143
0.555,0.55,0.56,0.0438,0.0126,-0.0126
0.565,0.56,0.57,0.0405,0.0109,-0.0109
0.575,0.57,0.58,0.0371,0.0095,-0.0095
0.585,0.58,0.59,0.0333,0.0084,-0.0084
0.595,0.59,0.6,0.0294,0.0078,-0.0078
0.605,0.6,0.61,0.0252,0.0078,-0.0078
0.615,0.61,0.62,0.0208,0.0082,-0.0082
0.625,0.62,0.63,0.0163,0.0087,-0.0087
0.635,0.63,0.64,0.0118,0.0093,-0.0093
0.645,0.64,0.65,0.0071,0.0097,-0.0097
0.655,0.65,0.66,0.0025,0.0099,-0.0099
0.665,0.66,0.67,-0.0021,0.0098,-0.0098
0.675,0.67,0.68,-0.0066,0.0095,-0.0095
0.685,0.68,0.69,-0.0109,0.0089,-0.0089
0.695,0.69,0.7,-0.0151,0.0082,-0.0082
0.705,0.7,0.71,-0.019,0.0073,-0.0073
0.715,0.71,0.72,-0.0226,0.0065,-0.0065
0.725,0.72,0.73,-0.0259,0.0059,-0.0059
0.735,0.73,0.74,-0.029,0.0055,-0.0055
0.745,0.74,0.75,-0.0316,0.0056,-0.0056
0.755,0.75,0.76,-0.034,0.0061,-0.0061
0.765,0.76,0.77,-0.0361,0.0067,-0.0067
0.775,0.77,0.78,-0.0378,0.0074,-0.0074
0.785,0.78,0.79,-0.0394,0.008,-0.008
0.795,0.79,0.8,-0.0407,0.0084,-0.0084
0.805,0.8,0.81,-0.042,0.0086,-0.0086
0.815,0.81,0.82,-0.0431,0.0086,-0.0086
0.825,0.82,0.83,-0.0442,0.0083,-0.0083
0.835,0.83,0.84,-0.0454,0.0079,-0.0079
0.845,0.84,0.85,-0.0466,0.0073,-0.0073
0.855,0.85,0.86,-0.048,0.0067,-0.0067
0.865,0.86,0.87,-0.0495,0.0062,-0.0062
0.875,0.87,0.88,-0.0513,0.006,-0.006
0.885,0.88,0.89,-0.0533,0.0062,-0.0062
0.895,0.89,0.9,-0.0555,0.0068,-0.0068
0.905,0.9,0.91,-0.0581,0.0078,-0.0078
0.915,0.91,0.92,-0.061,0.0091,-0.0091
0.925,0.92,0.93,-0.0642,0.0107,-0.0107
0.935,0.93,0.94,-0.0678,0.0124,-0.0124
0.945,0.94,0.95,-0.0717,0.0144,-0.0144
0.955,0.95,0.96,-0.076,0.0167,-0.0167
0.965,0.96,0.97,-0.0801,0.0194,-0.0194
0.975,0.97,0.98,-0.0821,0.0227,-0.0227
0.985,0.98,0.99,-0.0709,0.0265,-0.0265
0.995,0.99,1.0,-0.0645,0.0244,-0.0244
1.005,1.0,1.01,-0.061,0.0207,-0.0207
1.0150000000000001,1.01,1.02,-0.0542,0.0195,-0.0195
1.025,1.02,1.03,-0.0474,0.0186,-0.0186
1.0350000000000001,1.03,1.04,-0.041,0.0179,-0.0179
1.045,1.04,1.05,-0.0354,0.0173,-0.0173
1.0550000000000002,1.05,1.06,-0.0303,0.0168,-0.0168
1.065,1.06,1.07,-0.0259,0.0165,-0.0165
1.0750000000000002,1.07,1.08,-0.0221,0.0164,-0.0164
1.085,1.08,1.09,-0.0188,0.0163,-0.0163
1.0950000000000002,1.09,1.1,-0.0159,0.0164,-0.0164
1.105,1.1,1.11,-0.0133,0.0166,-0.0166
1.1150000000000002,1.11,1.12,-0.0109,0.0169,-0.0169
1.125,1.12,1.13,-0.0087,0.0171,-0.0171
1.1349999999999998,1.13,1.14,-0.0065,0.0174,-0.0174
1.145,1.14,1.15,-0.0042,0.0178,-0.0178
1.1549999999999998,1.15,1.16,-0.0018,0.0181,-0.0181
1.165,1.16,1.17,0.0008,0.0184,-0.0184
