#: table_doi: 10.17182/hepdata.74824.v1/t174
#: name: Table 174
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table174.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.5781,0.0659,-0.0659
0.415,0.41,0.42,0.6056,0.071,-0.071
0.425,0.42,0.43,0.6268,0.0753,-0.0753
0.435,0.43,0.44,0.6417,0.0786,-0.0786
0.445,0.44,0.45,0.6508,0.0808,-0.0808
0.455,0.45,0.46,0.655,0.0819,-0.0819
0.46499999999999997,0.46,0.47,0.655,0.082,-0.082
0.475,0.47,0.48,0.6516,0.0813,-0.0813
0.485,0.48,0.49,0.6457,0.0798,-0.0798
0.495,0.49,0.5,0.6379,0.0777,-0.0777
0.505,0.5,0.51,0.6287,0.075,-0.075
0.515,0.51,0.52,0.6187,0.0719,-0.0719
0.525,0.52,0.53,0.6081,0.0685,-0.0685
0.535,0.53,0.54,0.5972,0.065,-0.065
0.545,0.54,0.55,0.5862,0.0614,-0.0614
0.555,0.55,0.56,0.5753,0.0578,-0.0578
0.565,0.56,0.57,0.5645,0.0542,-0.0542
0.575,0.57,0.58,0.5538,0.0507,-0.0507
0.585,0.58,0.59,0.5433,0.0473,-0.0473
0.595,0.59,0.6,0.5329,0.0441,-0.0441
0.605,0.6,0.61,0.5226,0.0408,-0.0408
0.615,0.61,0.62,0.5123,0.0378,-0.0378
0.625,0.62,0.63,0.502,0.0348,-0.0348
0.635,0.63,0.64,0.4916,0.0321,-0.0321
0.645,0.64,0.65,0.4811,0.0297,-0.0297
0.655,0.65,0.66,0.4704,0.0276,-0.0276
0.665,0.66,0.67,0.4596,0.026,-0.026
0.675,0.67,0.68,0.4486,0.0249,-0.0249
0.685,0.68,0.69,0.4375,0.0241,-0.0241
0.695,0.69,0.7,0.4264,0.0237,-0.0237
0.705,0.7,0.71,0.4152,0.0235,-0.0235
0.715,0.71,0.72,0.4041,0.0236,-0.0236
0.725,0.72,0.73,0.3931,0.0237,-0.0237
0.735,0.73,0.74,0.3823,0.0242,-0.0242
0.745,0.74,0.75,0.3719,0.0249,-0.0249
0.755,0.75,0.76,0.362,0.0262,-0.0262
0.765,0.76,0.77,0.3525,0.0281,-0.0281
0.775,0.77,0.78,0.3437,0.0305,-0.0305
0.785,0.78,0.79,0.3357,0.0332,-0.0332
0.795,0.79,0.8,0.3284,0.036,-0.036
0.805,0.8,0.81,0.3219,0.0386,-0.0386
0.815,0.81,0.82,0.3162,0.0408,-0.0408
0.825,0.82,0.83,0.3113,0.0426,-0.0426
0.835,0.83,0.84,0.3073,0.0439,-0.0439
0.845,0.84,0.85,0.3039,0.0446,-0.0446
0.855,0.85,0.86,0.3012,0.0449,-0.0449
0.865,0.86,0.87,0.2991,0.0448,-0.0448
0.875,0.87,0.88,0.2975,0.0444,-0.0444
0.885,0.88,0.89,0.2965,0.0439,-0.0439
0.895,0.89,0.9,0.2959,0.0434,-0.0434
0.905,0.9,0.91,0.2958,0.0429,-0.0429
0.915,0.91,0.92,0.2964,0.0428,-0.0428
0.925,0.92,0.93,0.2976,0.043,-0.043
0.935,0.93,0.94,0.2998,0.0437,-0.0437
0.945,0.94,0.95,0.3034,0.0453,-0.0453
0.955,0.95,0.96,0.3092,0.0482,-0.0482
0.965,0.96,0.97,0.319,0.0533,-0.0533
0.975,0.97,0.98,0.3366,0.0624,-0.0624
0.985,0.98,0.99,0.3715,0.0769,-0.0769
0.995,0.99,1.0,0.3578,0.0664,-0.0664
1.005,1.0,1.01,0.355,0.0682,-0.0682
1.0150000000000001,1.01,1.02,0.3533,0.0687,-0.0687
1.025,1.02,1.03,0.3509,0.0681,-0.0681
1.0350000000000001,1.03,1.04,0.3476,0.0669,-0.0669
1.045,1.04,1.05,0.3434,0.0654,-0.0654
1.0550000000000002,1.05,1.06,0.3384,0.0638,-0.0638
1.065,1.06,1.07,0.3326,0.0621,-0.0621
1.0750000000000002,1.07,1.08,0.3262,0.0605,-0.0605
1.085,1.08,1.09,0.3192,0.059,-0.059
1.0950000000000002,1.09,1.1,0.3119,0.0575,-0.0575
1.105,1.1,1.11,0.3042,0.056,-0.056
1.1150000000000002,1.11,1.12,0.2962,0.0546,-0.0546
1.125,1.12,1.13,0.288,0.0533,-0.0533
1.1349999999999998,1.13,1.14,0.2797,0.0519,-0.0519
1.145,1.14,1.15,0.2713,0.0505,-0.0505
1.1549999999999998,1.15,1.16,0.263,0.0492,-0.0492
1.165,1.16,1.17,0.2548,0.0478,-0.0478
1.1749999999999998,1.17,1.18,0.247,0.0465,-0.0465
1.185,1.18,1.19,0.2396,0.0452,-0.0452
1.1949999999999998,1.19,1.2,0.2329,0.044,-0.044
1.205,1.2,1.21,0.2272,0.0429,-0.0429
1.2149999999999999,1.21,1.22,0.2226,0.042,-0.042
1.225,1.22,1.23,0.2195,0.0413,-0.0413
1.2349999999999999,1.23,1.24,0.2179,0.0409,-0.0409
1.245,1.24,1.25,0.218,0.041,-0.041
1.255,1.25,1.26,0.2197,0.0416,-0.0416
1.2650000000000001,1.26,1.27,0.2226,0.0427,-0.0427
1.275,1.27,1.28,0.2264,0.0445,-0.0445
1.2850000000000001,1.28,1.29,0.2303,0.0469,-0.0469
1.295,1.29,1.3,0.2337,0.0497,-0.0497
1.3050000000000002,1.3,1.31,0.236,0.0527,-0.0527
1.315,1.31,1.32,0.2369,0.0557,-0.0557
1.3250000000000002,1.32,1.33,0.2362,0.0584,-0.0584
1.335,1.33,1.34,0.2341,0.0608,-0.0608
1.3450000000000002,1.34,1.35,0.2308,0.0625,-0.0625
1.355,1.35,1.36,0.227,0.0638,-0.0638
1.3650000000000002,1.36,1.37,0.2231,0.0644,-0.0644
1.375,1.37,1.38,0.22,0.0647,-0.0647
1.3849999999999998,1.38,1.39,0.2183,0.0649,-0.0649
1.395,1.39,1.4,0.2185,0.065,-0.065

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.4916,0.0712,-0.0712
0.415,0.41,0.42,0.5118,0.0735,-0.0735
0.425,0.42,0.43,0.5315,0.0767,-0.0767
0.435,0.43,0.44,0.5495,0.0801,-0.0801
0.445,0.44,0.45,0.5648,0.0832,-0.0832
0.455,0.45,0.46,0.5771,0.0856,-0.0856
0.46499999999999997,0.46,0.47,0.5861,0.0873,-0.0873
0.475,0.47,0.48,0.5919,0.0881,-0.0881
0.485,0.48,0.49,0.5946,0.0881,-0.0881
0.495,0.49,0.5,0.5947,0.0873,-0.0873
0.505,0.5,0.51,0.5922,0.0858,-0.0858
0.515,0.51,0.52,0.5876,0.0836,-0.0836
0.525,0.52,0.53,0.5812,0.0808,-0.0808
0.535,0.53,0.54,0.5732,0.0774,-0.0774
0.545,0.54,0.55,0.5638,0.0735,-0.0735
0.555,0.55,0.56,0.5534,0.0693,-0.0693
0.565,0.56,0.57,0.5421,0.0647,-0.0647
0.575,0.57,0.58,0.5302,0.0599,-0.0599
0.585,0.58,0.59,0.5179,0.0551,-0.0551
0.595,0.59,0.6,0.5053,0.0505,-0.0505
0.605,0.6,0.61,0.4926,0.0462,-0.0462
0.615,0.61,0.62,0.48,0.0424,-0.0424
0.625,0.62,0.63,0.4677,0.039,-0.039
0.635,0.63,0.64,0.4556,0.0362,-0.0362
0.645,0.64,0.65,0.4439,0.0339,-0.0339
0.655,0.65,0.66,0.4327,0.032,-0.032
0.665,0.66,0.67,0.4219,0.0304,-0.0304
0.675,0.67,0.68,0.4115,0.0289,-0.0289
0.685,0.68,0.69,0.4016,0.0276,-0.0276
0.695,0.69,0.7,0.3921,0.0264,-0.0264
0.705,0.7,0.71,0.3829,0.0253,-0.0253
0.715,0.71,0.72,0.3741,0.0244,-0.0244
0.725,0.72,0.73,0.3655,0.0239,-0.0239
0.735,0.73,0.74,0.3573,0.0238,-0.0238
0.745,0.74,0.75,0.3492,0.0242,-0.0242
0.755,0.75,0.76,0.3415,0.0253,-0.0253
0.765,0.76,0.77,0.3342,0.0267,-0.0267
0.775,0.77,0.78,0.3272,0.0282,-0.0282
0.785,0.78,0.79,0.3208,0.0296,-0.0296
0.795,0.79,0.8,0.315,0.0308,-0.0308
0.805,0.8,0.81,0.3099,0.0319,-0.0319
0.815,0.81,0.82,0.3057,0.033,-0.033
0.825,0.82,0.83,0.3024,0.0343,-0.0343
0.835,0.83,0.84,0.3001,0.0359,-0.0359
0.845,0.84,0.85,0.2989,0.0378,-0.0378
0.855,0.85,0.86,0.2988,0.0401,-0.0401
0.865,0.86,0.87,0.2996,0.0425,-0.0425
0.875,0.87,0.88,0.3013,0.045,-0.045
0.885,0.88,0.89,0.3037,0.0475,-0.0475
0.895,0.89,0.9,0.3068,0.05,-0.05
0.905,0.9,0.91,0.3104,0.0525,-0.0525
0.915,0.91,0.92,0.3144,0.0551,-0.0551
0.925,0.92,0.93,0.3187,0.0581,-0.0581
0.935,0.93,0.94,0.3233,0.062,-0.062
0.945,0.94,0.95,0.3281,0.0674,-0.0674
0.955,0.95,0.96,0.3331,0.0756,-0.0756
0.965,0.96,0.97,0.3384,0.0887,-0.0887
0.975,0.97,0.98,0.3436,0.1099,-0.1099
0.985,0.98,0.99,0.3426,0.1337,-0.1337
0.995,0.99,1.0,0.3323,0.1133,-0.1133
1.005,1.0,1.01,0.3421,0.103,-0.103
1.0150000000000001,1.01,1.02,0.3466,0.0988,-0.0988
1.025,1.02,1.03,0.3493,0.0955,-0.0955
1.0350000000000001,1.03,1.04,0.3509,0.0926,-0.0926
1.045,1.04,1.05,0.3516,0.0897,-0.0897
1.0550000000000002,1.05,1.06,0.3512,0.0868,-0.0868
1.065,1.06,1.07,0.35,0.0841,-0.0841
1.0750000000000002,1.07,1.08,0.3477,0.0816,-0.0816
1.085,1.08,1.09,0.3444,0.0791,-0.0791
1.0950000000000002,1.09,1.1,0.3401,0.0768,-0.0768
1.105,1.1,1.11,0.3348,0.0746,-0.0746
1.1150000000000002,1.11,1.12,0.3283,0.0724,-0.0724
1.125,1.12,1.13,0.3209,0.0703,-0.0703
1.1349999999999998,1.13,1.14,0.3124,0.0683,-0.0683
1.145,1.14,1.15,0.303,0.0664,-0.0664
1.1549999999999998,1.15,1.16,0.2927,0.0645,-0.0645
1.165,1.16,1.17,0.2818,0.0626,-0.0626
1.1749999999999998,1.17,1.18,0.2703,0.0608,-0.0608
1.185,1.18,1.19,0.2587,0.0591,-0.0591
1.1949999999999998,1.19,1.2,0.2474,0.0575,-0.0575
1.205,1.2,1.21,0.2366,0.0559,-0.0559
1.2149999999999999,1.21,1.22,0.2271,0.0545,-0.0545
1.225,1.22,1.23,0.2193,0.0532,-0.0532
1.2349999999999999,1.23,1.24,0.2138,0.0519,-0.0519
1.245,1.24,1.25,0.2109,0.0508,-0.0508
1.255,1.25,1.26,0.2107,0.0499,-0.0499
1.2650000000000001,1.26,1.27,0.2132,0.0493,-0.0493
1.275,1.27,1.28,0.218,0.0494,-0.0494
1.2850000000000001,1.28,1.29,0.2245,0.0503,-0.0503
1.295,1.29,1.3,0.232,0.0524,-0.0524
1.3050000000000002,1.3,1.31,0.2399,0.0555,-0.0555
1.315,1.31,1.32,0.2474,0.0597,-0.0597
1.3250000000000002,1.32,1.33,0.2542,0.0644,-0.0644
1.335,1.33,1.34,0.2598,0.0692,-0.0692
1.3450000000000002,1.34,1.35,0.2643,0.0734,-0.0734
1.355,1.35,1.36,0.2679,0.0766,-0.0766
1.3650000000000002,1.36,1.37,0.2708,0.0786,-0.0786
1.375,1.37,1.38,0.2736,0.0792,-0.0792
1.3849999999999998,1.38,1.39,0.277,0.0789,-0.0789
1.395,1.39,1.4,0.2816,0.0784,-0.0784

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.5157,0.0981,-0.0981
0.415,0.41,0.42,0.527,0.0968,-0.0968
0.425,0.42,0.43,0.5382,0.0976,-0.0976
0.435,0.43,0.44,0.5485,0.0992,-0.0992
0.445,0.44,0.45,0.5572,0.1004,-0.1004
0.455,0.45,0.46,0.5639,0.1008,-0.1008
0.46499999999999997,0.46,0.47,0.5686,0.1,-0.1
0.475,0.47,0.48,0.571,0.0982,-0.0982
0.485,0.48,0.49,0.5713,0.0953,-0.0953
0.495,0.49,0.5,0.5696,0.0917,-0.0917
0.505,0.5,0.51,0.566,0.0875,-0.0875
0.515,0.51,0.52,0.5608,0.083,-0.083
0.525,0.52,0.53,0.5541,0.0784,-0.0784
0.535,0.53,0.54,0.5461,0.0737,-0.0737
0.545,0.54,0.55,0.5372,0.0692,-0.0692
0.555,0.55,0.56,0.5274,0.0648,-0.0648
0.565,0.56,0.57,0.5171,0.0608,-0.0608
0.575,0.57,0.58,0.5063,0.0571,-0.0571
0.585,0.58,0.59,0.4954,0.0538,-0.0538
0.595,0.59,0.6,0.4843,0.051,-0.051
0.605,0.6,0.61,0.4732,0.0486,-0.0486
0.615,0.61,0.62,0.4621,0.0466,-0.0466
0.625,0.62,0.63,0.4512,0.0448,-0.0448
0.635,0.63,0.64,0.4405,0.0433,-0.0433
0.645,0.64,0.65,0.4299,0.0418,-0.0418
0.655,0.65,0.66,0.4194,0.0404,-0.0404
0.665,0.66,0.67,0.4091,0.0389,-0.0389
0.675,0.67,0.68,0.3989,0.0375,-0.0375
0.685,0.68,0.69,0.3888,0.036,-0.036
0.695,0.69,0.7,0.3788,0.0346,-0.0346
0.705,0.7,0.71,0.3689,0.0331,-0.0331
0.715,0.71,0.72,0.3591,0.0317,-0.0317
0.725,0.72,0.73,0.3495,0.0305,-0.0305
