#: table_doi: 10.17182/hepdata.74824.v1/t95
#: name: Table 95
#: description: S wave cross section for -T.

#: data_file: Table95.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1536,0.0985,-0.0985
0.415,0.41,0.42,0.1683,0.1059,-0.1059
0.425,0.42,0.43,0.187,0.1147,-0.1147
0.435,0.43,0.44,0.2091,0.1244,-0.1244
0.445,0.44,0.45,0.2335,0.1347,-0.1347
0.455,0.45,0.46,0.2595,0.1452,-0.1452
0.46499999999999997,0.46,0.47,0.2857,0.1554,-0.1554
0.475,0.47,0.48,0.3112,0.165,-0.165
0.485,0.48,0.49,0.3349,0.1736,-0.1736
0.495,0.49,0.5,0.3558,0.1811,-0.1811
0.505,0.5,0.51,0.3731,0.1871,-0.1871
0.515,0.51,0.52,0.3863,0.1914,-0.1914
0.525,0.52,0.53,0.395,0.1941,-0.1941
0.535,0.53,0.54,0.399,0.1949,-0.1949
0.545,0.54,0.55,0.3983,0.194,-0.194
0.555,0.55,0.56,0.3933,0.1914,-0.1914
0.565,0.56,0.57,0.3842,0.1872,-0.1872
0.575,0.57,0.58,0.3715,0.1815,-0.1815
0.585,0.58,0.59,0.3558,0.1745,-0.1745
0.595,0.59,0.6,0.3377,0.1664,-0.1664
0.605,0.6,0.61,0.3178,0.1573,-0.1573
0.615,0.61,0.62,0.2967,0.1476,-0.1476
0.625,0.62,0.63,0.2751,0.1374,-0.1374
0.635,0.63,0.64,0.2534,0.127,-0.127
0.645,0.64,0.65,0.2322,0.1167,-0.1167
0.655,0.65,0.66,0.2119,0.1069,-0.1069
0.665,0.66,0.67,0.1929,0.0978,-0.0978
0.675,0.67,0.68,0.1755,0.0898,-0.0898
0.685,0.68,0.69,0.1599,0.0834,-0.0834
0.695,0.69,0.7,0.1465,0.0789,-0.0789
0.705,0.7,0.71,0.1354,0.0766,-0.0766
0.715,0.71,0.72,0.1267,0.0765,-0.0765
0.725,0.72,0.73,0.1205,0.0785,-0.0785
0.735,0.73,0.74,0.1169,0.0823,-0.0823
0.745,0.74,0.75,0.116,0.0874,-0.0874
0.755,0.75,0.76,0.1176,0.0934,-0.0934
0.765,0.76,0.77,0.1219,0.1002,-0.1002
0.775,0.77,0.78,0.1287,0.1073,-0.1073
0.785,0.78,0.79,0.138,0.1147,-0.1147
0.795,0.79,0.8,0.1497,0.1223,-0.1223
0.805,0.8,0.81,0.1638,0.1299,-0.1299
0.815,0.81,0.82,0.1801,0.1376,-0.1376
0.825,0.82,0.83,0.1984,0.1454,-0.1454
0.835,0.83,0.84,0.2188,0.1532,-0.1532
0.845,0.84,0.85,0.241,0.1613,-0.1613
0.855,0.85,0.86,0.2648,0.1696,-0.1696
0.865,0.86,0.87,0.2901,0.1784,-0.1784
0.875,0.87,0.88,0.3168,0.1878,-0.1878
0.885,0.88,0.89,0.3444,0.1979,-0.1979
0.895,0.89,0.9,0.3729,0.2091,-0.2091
0.905,0.9,0.91,0.4019,0.2215,-0.2215
0.915,0.91,0.92,0.4309,0.2357,-0.2357
0.925,0.92,0.93,0.4595,0.2521,-0.2521
0.935,0.93,0.94,0.4868,0.2715,-0.2715
0.945,0.94,0.95,0.5114,0.2953,-0.2953
0.955,0.95,0.96,0.5303,0.3254,-0.3254
0.965,0.96,0.97,0.537,0.3651,-0.3651
0.975,0.97,0.98,0.5117,0.4185,-0.4185
0.985,0.98,0.99,0.383,0.4722,-0.4722
0.995,0.99,1.0,0.3219,0.3375,-0.3375
1.005,1.0,1.01,0.2967,0.2588,-0.2588
1.0150000000000001,1.01,1.02,0.2735,0.2252,-0.2252
1.025,1.02,1.03,0.2572,0.2048,-0.2048
1.0350000000000001,1.03,1.04,0.2469,0.1916,-0.1916
1.045,1.04,1.05,0.2419,0.1833,-0.1833
1.0550000000000002,1.05,1.06,0.2412,0.1787,-0.1787
1.065,1.06,1.07,0.2441,0.1768,-0.1768
1.0750000000000002,1.07,1.08,0.25,0.177,-0.177
1.085,1.08,1.09,0.2583,0.1788,-0.1788
1.0950000000000002,1.09,1.1,0.2685,0.1819,-0.1819
1.105,1.1,1.11,0.2801,0.1859,-0.1859
1.1150000000000002,1.11,1.12,0.2927,0.1907,-0.1907
1.125,1.12,1.13,0.3059,0.196,-0.196
1.1349999999999998,1.13,1.14,0.3193,0.2017,-0.2017
1.145,1.14,1.15,0.3324,0.2078,-0.2078
1.1549999999999998,1.15,1.16,0.3451,0.214,-0.214
1.165,1.16,1.17,0.3569,0.2205,-0.2205
1.1749999999999998,1.17,1.18,0.3676,0.227,-0.227
1.185,1.18,1.19,0.3769,0.2334,-0.2334
1.1949999999999998,1.19,1.2,0.3846,0.2397,-0.2397
1.205,1.2,1.21,0.3904,0.2458,-0.2458
1.2149999999999999,1.21,1.22,0.3942,0.2516,-0.2516
1.225,1.22,1.23,0.3958,0.2569,-0.2569
1.2349999999999999,1.23,1.24,0.3952,0.2617,-0.2617
1.245,1.24,1.25,0.3921,0.2659,-0.2659
1.255,1.25,1.26,0.3867,0.2693,-0.2693
1.2650000000000001,1.26,1.27,0.3789,0.272,-0.272
1.275,1.27,1.28,0.3689,0.2738,-0.2738
1.2850000000000001,1.28,1.29,0.3567,0.2746,-0.2746
1.295,1.29,1.3,0.3426,0.2745,-0.2745
1.3050000000000002,1.3,1.31,0.3268,0.2733,-0.2733
1.315,1.31,1.32,0.3096,0.2711,-0.2711
1.3250000000000002,1.32,1.33,0.2915,0.268,-0.268
1.335,1.33,1.34,0.273,0.264,-0.264
1.3450000000000002,1.34,1.35,0.2547,0.2593,-0.2593
1.355,1.35,1.36,0.2373,0.2543,-0.2543
1.3650000000000002,1.36,1.37,0.2215,0.2493,-0.2493
1.375,1.37,1.38,0.2083,0.2449,-0.2449
1.3849999999999998,1.38,1.39,0.1987,0.2421,-0.2421
1.395,1.39,1.4,0.1938,0.2421,-0.2421

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0689,0.0557,-0.0557
0.415,0.41,0.42,0.0697,0.0574,-0.0574
0.425,0.42,0.43,0.0735,0.0609,-0.0609
0.435,0.43,0.44,0.0798,0.0658,-0.0658
0.445,0.44,0.45,0.0881,0.0717,-0.0717
0.455,0.45,0.46,0.0979,0.0782,-0.0782
0.46499999999999997,0.46,0.47,0.1087,0.0849,-0.0849
0.475,0.47,0.48,0.1197,0.0916,-0.0916
0.485,0.48,0.49,0.1304,0.0979,-0.0979
0.495,0.49,0.5,0.1403,0.1038,-0.1038
0.505,0.5,0.51,0.1489,0.109,-0.109
0.515,0.51,0.52,0.156,0.1134,-0.1134
0.525,0.52,0.53,0.1612,0.117,-0.117
0.535,0.53,0.54,0.1645,0.1197,-0.1197
0.545,0.54,0.55,0.1659,0.1215,-0.1215
0.555,0.55,0.56,0.1654,0.1224,-0.1224
0.565,0.56,0.57,0.1634,0.1224,-0.1224
0.575,0.57,0.58,0.1599,0.1216,-0.1216
0.585,0.58,0.59,0.1552,0.12,-0.12
0.595,0.59,0.6,0.1497,0.1176,-0.1176
0.605,0.6,0.61,0.1437,0.1147,-0.1147
0.615,0.61,0.62,0.1373,0.1112,-0.1112
0.625,0.62,0.63,0.1309,0.1073,-0.1073
0.635,0.63,0.64,0.1247,0.1032,-0.1032
0.645,0.64,0.65,0.1189,0.0988,-0.0988
0.655,0.65,0.66,0.1136,0.0945,-0.0945
0.665,0.66,0.67,0.1091,0.0904,-0.0904
0.675,0.67,0.68,0.1055,0.0866,-0.0866
0.685,0.68,0.69,0.1027,0.0833,-0.0833
0.695,0.69,0.7,0.101,0.0807,-0.0807
0.705,0.7,0.71,0.1002,0.079,-0.079
0.715,0.71,0.72,0.1006,0.0784,-0.0784
0.725,0.72,0.73,0.1019,0.0788,-0.0788
0.735,0.73,0.74,0.1043,0.0803,-0.0803
0.745,0.74,0.75,0.1078,0.0829,-0.0829
0.755,0.75,0.76,0.1121,0.0864,-0.0864
0.765,0.76,0.77,0.1174,0.0907,-0.0907
0.775,0.77,0.78,0.1236,0.0957,-0.0957
0.785,0.78,0.79,0.1307,0.1012,-0.1012
0.795,0.79,0.8,0.1384,0.1071,-0.1071
0.805,0.8,0.81,0.1469,0.1132,-0.1132
0.815,0.81,0.82,0.156,0.1195,-0.1195
0.825,0.82,0.83,0.1656,0.1259,-0.1259
0.835,0.83,0.84,0.1758,0.1325,-0.1325
0.845,0.84,0.85,0.1863,0.1391,-0.1391
0.855,0.85,0.86,0.1972,0.1458,-0.1458
0.865,0.86,0.87,0.2083,0.1526,-0.1526
0.875,0.87,0.88,0.2196,0.1595,-0.1595
0.885,0.88,0.89,0.2309,0.1668,-0.1668
0.895,0.89,0.9,0.2421,0.1744,-0.1744
0.905,0.9,0.91,0.2532,0.1825,-0.1825
0.915,0.91,0.92,0.2638,0.1915,-0.1915
0.925,0.92,0.93,0.2737,0.2015,-0.2015
0.935,0.93,0.94,0.2824,0.2133,-0.2133
0.945,0.94,0.95,0.2893,0.2275,-0.2275
0.955,0.95,0.96,0.2925,0.2458,-0.2458
0.965,0.96,0.97,0.2887,0.2708,-0.2708
0.975,0.97,0.98,0.2676,0.3073,-0.3073
0.985,0.98,0.99,0.2029,0.3532,-0.3532
0.995,0.99,1.0,0.2117,0.2932,-0.2932
1.005,1.0,1.01,0.1888,0.2254,-0.2254
1.0150000000000001,1.01,1.02,0.1791,0.197,-0.197
1.025,1.02,1.03,0.1747,0.1799,-0.1799
1.0350000000000001,1.03,1.04,0.174,0.1688,-0.1688
1.045,1.04,1.05,0.176,0.1615,-0.1615
1.0550000000000002,1.05,1.06,0.1803,0.1569,-0.1569
1.065,1.06,1.07,0.1862,0.1544,-0.1544
1.0750000000000002,1.07,1.08,0.1934,0.1535,-0.1535
1.085,1.08,1.09,0.2017,0.1538,-0.1538
1.0950000000000002,1.09,1.1,0.2106,0.1552,-0.1552
1.105,1.1,1.11,0.2199,0.1575,-0.1575
1.1150000000000002,1.11,1.12,0.2295,0.1604,-0.1604
1.125,1.12,1.13,0.2389,0.164,-0.164
1.1349999999999998,1.13,1.14,0.2482,0.1679,-0.1679
1.145,1.14,1.15,0.257,0.1722,-0.1722
1.1549999999999998,1.15,1.16,0.2653,0.1767,-0.1767
1.165,1.16,1.17,0.2727,0.1813,-0.1813
1.1749999999999998,1.17,1.18,0.2792,0.1859,-0.1859
1.185,1.18,1.19,0.2847,0.1905,-0.1905
1.1949999999999998,1.19,1.2,0.289,0.1949,-0.1949
1.205,1.2,1.21,0.292,0.1991,-0.1991
1.2149999999999999,1.21,1.22,0.2937,0.2031,-0.2031
1.225,1.22,1.23,0.2939,0.2067,-0.2067
1.2349999999999999,1.23,1.24,0.2926,0.21,-0.21
1.245,1.24,1.25,0.2898,0.2128,-0.2128
1.255,1.25,1.26,0.2856,0.2153,-0.2153
1.2650000000000001,1.26,1.27,0.2799,0.2174,-0.2174
1.275,1.27,1.28,0.2728,0.2191,-0.2191
1.2850000000000001,1.28,1.29,0.2644,0.2205,-0.2205
1.295,1.29,1.3,0.2549,0.2214,-0.2214
1.3050000000000002,1.3,1.31,0.2444,0.2221,-0.2221
1.315,1.31,1.32,0.2332,0.2224,-0.2224
1.3250000000000002,1.32,1.33,0.2216,0.2225,-0.2225
1.335,1.33,1.34,0.2099,0.2225,-0.2225
1.3450000000000002,1.34,1.35,0.1985,0.2223,-0.2223
1.355,1.35,1.36,0.1878,0.2221,-0.2221
1.3650000000000002,1.36,1.37,0.1785,0.2222,-0.2222
1.375,1.37,1.38,0.171,0.2231,-0.2231
1.3849999999999998,1.38,1.39,0.1662,0.2253,-0.2253
1.395,1.39,1.4,0.1647,0.2299,-0.2299

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0638,0.0627,-0.0627
0.415,0.41,0.42,0.0685,0.0655,-0.0655
0.425,0.42,0.43,0.0741,0.0679,-0.0679
0.435,0.43,0.44,0.0802,0.07,-0.07
0.445,0.44,0.45,0.0866,0.0717,-0.0717
0.455,0.45,0.46,0.093,0.0732,-0.0732
0.46499999999999997,0.46,0.47,0.0991,0.0747,-0.0747
0.475,0.47,0.48,0.1046,0.0762,-0.0762
0.485,0.48,0.49,0.1093,0.078,-0.078
0.495,0.49,0.5,0.1131,0.0798,-0.0798
0.505,0.5,0.51,0.1157,0.0817,-0.0817
0.515,0.51,0.52,0.1173,0.0835,-0.0835
0.525,0.52,0.53,0.1177,0.085,-0.085
0.535,0.53,0.54,0.1172,0.086,-0.086
0.545,0.54,0.55,0.1158,0.0863,-0.0863
0.555,0.55,0.56,0.1137,0.0858,-0.0858
0.565,0.56,0.57,0.1112,0.0847,-0.0847
0.575,0.57,0.58,0.1084,0.0828,-0.0828
0.585,0.58,0.59,0.1056,0.0804,-0.0804
0.595,0.59,0.6,0.1029,0.0776,-0.0776
0.605,0.6,0.61,0.1006,0.0747,-0.0747
0.615,0.61,0.62,0.0989,0.0721,-0.0721
0.625,0.62,0.63,0.0978,0.0702,-0.0702
0.635,0.63,0.64,0.0976,0.0695,-0.0695
0.645,0.64,0.65,0.0982,0.0703,-0.0703
0.655,0.65,0.66,0.0999,0.0728,-0.0728
0.665,0.66,0.67,0.1025,0.077,-0.077
0.675,0.67,0.68,0.1062,0.0826,-0.0826
0.685,0.68,0.69,0.1108,0.0893,-0.0893
