#: table_doi: 10.17182/hepdata.74824.v1/t150
#: name: Table 150
#: description: F wave cross section for -T.

#: data_file: Table150.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0578,0.0144,-0.0144
0.415,0.41,0.42,0.0667,0.0166,-0.0166
0.425,0.42,0.43,0.0759,0.0189,-0.0189
0.435,0.43,0.44,0.0853,0.0213,-0.0213
0.445,0.44,0.45,0.0949,0.0238,-0.0238
0.455,0.45,0.46,0.1046,0.0262,-0.0262
0.46499999999999997,0.46,0.47,0.1144,0.0287,-0.0287
0.475,0.47,0.48,0.1242,0.0313,-0.0313
0.485,0.48,0.49,0.134,0.0338,-0.0338
0.495,0.49,0.5,0.1437,0.0364,-0.0364
0.505,0.5,0.51,0.1533,0.0389,-0.0389
0.515,0.51,0.52,0.1628,0.0414,-0.0414
0.525,0.52,0.53,0.1722,0.044,-0.044
0.535,0.53,0.54,0.1814,0.0464,-0.0464
0.545,0.54,0.55,0.1904,0.0489,-0.0489
0.555,0.55,0.56,0.1991,0.0513,-0.0513
0.565,0.56,0.57,0.2077,0.0537,-0.0537
0.575,0.57,0.58,0.2159,0.0561,-0.0561
0.585,0.58,0.59,0.224,0.0584,-0.0584
0.595,0.59,0.6,0.2317,0.0607,-0.0607
0.605,0.6,0.61,0.2392,0.063,-0.063
0.615,0.61,0.62,0.2463,0.0652,-0.0652
0.625,0.62,0.63,0.2532,0.0673,-0.0673
0.635,0.63,0.64,0.2598,0.0694,-0.0694
0.645,0.64,0.65,0.2661,0.0715,-0.0715
0.655,0.65,0.66,0.2721,0.0735,-0.0735
0.665,0.66,0.67,0.2777,0.0755,-0.0755
0.675,0.67,0.68,0.2831,0.0775,-0.0775
0.685,0.68,0.69,0.2882,0.0794,-0.0794
0.695,0.69,0.7,0.2929,0.0813,-0.0813
0.705,0.7,0.71,0.2974,0.0831,-0.0831
0.715,0.71,0.72,0.3015,0.0849,-0.0849
0.725,0.72,0.73,0.3054,0.0867,-0.0867
0.735,0.73,0.74,0.309,0.0885,-0.0885
0.745,0.74,0.75,0.3123,0.0902,-0.0902
0.755,0.75,0.76,0.3154,0.0919,-0.0919
0.765,0.76,0.77,0.3182,0.0936,-0.0936
0.775,0.77,0.78,0.3207,0.0952,-0.0952
0.785,0.78,0.79,0.323,0.0968,-0.0968
0.795,0.79,0.8,0.3251,0.0985,-0.0985
0.805,0.8,0.81,0.3269,0.1001,-0.1001
0.815,0.81,0.82,0.3285,0.1017,-0.1017
0.825,0.82,0.83,0.33,0.1032,-0.1032
0.835,0.83,0.84,0.3312,0.1048,-0.1048
0.845,0.84,0.85,0.3323,0.1064,-0.1064
0.855,0.85,0.86,0.3332,0.108,-0.108
0.865,0.86,0.87,0.334,0.1095,-0.1095
0.875,0.87,0.88,0.3347,0.1111,-0.1111
0.885,0.88,0.89,0.3352,0.1127,-0.1127
0.895,0.89,0.9,0.3356,0.1143,-0.1143
0.905,0.9,0.91,0.336,0.1159,-0.1159
0.915,0.91,0.92,0.3363,0.1175,-0.1175
0.925,0.92,0.93,0.3366,0.1191,-0.1191
0.935,0.93,0.94,0.3368,0.1207,-0.1207
0.945,0.94,0.95,0.3371,0.1223,-0.1223
0.955,0.95,0.96,0.3373,0.124,-0.124
0.965,0.96,0.97,0.3376,0.1257,-0.1257
0.975,0.97,0.98,0.338,0.1274,-0.1274
0.985,0.98,0.99,0.3384,0.1291,-0.1291
0.995,0.99,1.0,0.339,0.1309,-0.1309
1.005,1.0,1.01,0.3396,0.1326,-0.1326
1.0150000000000001,1.01,1.02,0.3405,0.1344,-0.1344
1.025,1.02,1.03,0.3415,0.1363,-0.1363
1.0350000000000001,1.03,1.04,0.3427,0.1382,-0.1382
1.045,1.04,1.05,0.3442,0.1401,-0.1401
1.0550000000000002,1.05,1.06,0.3459,0.142,-0.142
1.065,1.06,1.07,0.3479,0.1441,-0.1441
1.0750000000000002,1.07,1.08,0.3502,0.1461,-0.1461
1.085,1.08,1.09,0.3529,0.1482,-0.1482
1.0950000000000002,1.09,1.1,0.3559,0.1504,-0.1504
1.105,1.1,1.11,0.3593,0.1527,-0.1527
1.1150000000000002,1.11,1.12,0.3632,0.155,-0.155
1.125,1.12,1.13,0.3676,0.1574,-0.1574
1.1349999999999998,1.13,1.14,0.3724,0.1599,-0.1599
1.145,1.14,1.15,0.3778,0.1625,-0.1625
1.1549999999999998,1.15,1.16,0.3837,0.1652,-0.1652
1.165,1.16,1.17,0.3903,0.168,-0.168
1.1749999999999998,1.17,1.18,0.3975,0.1709,-0.1709
1.185,1.18,1.19,0.4054,0.174,-0.174
1.1949999999999998,1.19,1.2,0.4139,0.1772,-0.1772
1.205,1.2,1.21,0.4233,0.1806,-0.1806
1.2149999999999999,1.21,1.22,0.4334,0.1842,-0.1842
1.225,1.22,1.23,0.4444,0.188,-0.188
1.2349999999999999,1.23,1.24,0.4562,0.192,-0.192
1.245,1.24,1.25,0.4689,0.1962,-0.1962
1.255,1.25,1.26,0.4826,0.2007,-0.2007
1.2650000000000001,1.26,1.27,0.4973,0.2054,-0.2054
1.275,1.27,1.28,0.513,0.2105,-0.2105
1.2850000000000001,1.28,1.29,0.5299,0.2158,-0.2158
1.295,1.29,1.3,0.5478,0.2215,-0.2215
1.3050000000000002,1.3,1.31,0.5669,0.2275,-0.2275
1.315,1.31,1.32,0.5873,0.2339,-0.2339
1.3250000000000002,1.32,1.33,0.6089,0.2407,-0.2407
1.335,1.33,1.34,0.6318,0.2479,-0.2479
1.3450000000000002,1.34,1.35,0.6562,0.2555,-0.2555
1.355,1.35,1.36,0.6819,0.2636,-0.2636
1.3650000000000002,1.36,1.37,0.7091,0.2722,-0.2722
1.375,1.37,1.38,0.7378,0.2813,-0.2813
1.3849999999999998,1.38,1.39,0.7681,0.2909,-0.2909
1.395,1.39,1.4,0.8001,0.3011,-0.3011

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0548,0.0132,-0.0132
0.415,0.41,0.42,0.0631,0.0153,-0.0153
0.425,0.42,0.43,0.0718,0.0173,-0.0173
0.435,0.43,0.44,0.0808,0.0195,-0.0195
0.445,0.44,0.45,0.0899,0.0217,-0.0217
0.455,0.45,0.46,0.0991,0.0239,-0.0239
