#: table_doi: 10.17182/hepdata.74824.v1/t91
#: name: Table 91
#: description: S wave cross section for -T.

#: data_file: Table91.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.3285,0.1587,-0.1587
0.415,0.41,0.42,0.3344,0.1717,-0.1717
0.425,0.42,0.43,0.3473,0.1909,-0.1909
0.435,0.43,0.44,0.3664,0.2116,-0.2116
0.445,0.44,0.45,0.3906,0.2314,-0.2314
0.455,0.45,0.46,0.4187,0.2495,-0.2495
0.46499999999999997,0.46,0.47,0.4493,0.2657,-0.2657
0.475,0.47,0.48,0.4807,0.2802,-0.2802
0.485,0.48,0.49,0.5114,0.2933,-0.2933
0.495,0.49,0.5,0.5402,0.305,-0.305
0.505,0.5,0.51,0.5658,0.3152,-0.3152
0.515,0.51,0.52,0.5873,0.3239,-0.3239
0.525,0.52,0.53,0.604,0.3305,-0.3305
0.535,0.53,0.54,0.6157,0.3347,-0.3347
0.545,0.54,0.55,0.6222,0.3362,-0.3362
0.555,0.55,0.56,0.6237,0.3349,-0.3349
0.565,0.56,0.57,0.6208,0.3307,-0.3307
0.575,0.57,0.58,0.6141,0.3239,-0.3239
0.585,0.58,0.59,0.6043,0.3151,-0.3151
0.595,0.59,0.6,0.5922,0.3049,-0.3049
0.605,0.6,0.61,0.5788,0.2943,-0.2943
0.615,0.61,0.62,0.5649,0.2844,-0.2844
0.625,0.62,0.63,0.5513,0.2763,-0.2763
0.635,0.63,0.64,0.5388,0.2711,-0.2711
0.645,0.64,0.65,0.5282,0.2696,-0.2696
0.655,0.65,0.66,0.5202,0.2724,-0.2724
0.665,0.66,0.67,0.5153,0.2796,-0.2796
0.675,0.67,0.68,0.514,0.2907,-0.2907
0.685,0.68,0.69,0.5167,0.3051,-0.3051
0.695,0.69,0.7,0.5239,0.322,-0.322
0.705,0.7,0.71,0.5357,0.3405,-0.3405
0.715,0.71,0.72,0.5525,0.3599,-0.3599
0.725,0.72,0.73,0.5744,0.3796,-0.3796
0.735,0.73,0.74,0.6014,0.3992,-0.3992
0.745,0.74,0.75,0.6336,0.4183,-0.4183
0.755,0.75,0.76,0.6711,0.4366,-0.4366
0.765,0.76,0.77,0.7139,0.4541,-0.4541
0.775,0.77,0.78,0.7618,0.4708,-0.4708
0.785,0.78,0.79,0.8147,0.4867,-0.4867
0.795,0.79,0.8,0.8727,0.502,-0.502
0.805,0.8,0.81,0.9354,0.517,-0.517
0.815,0.81,0.82,1.0028,0.5318,-0.5318
0.825,0.82,0.83,1.0746,0.5468,-0.5468
0.835,0.83,0.84,1.1507,0.5624,-0.5624
0.845,0.84,0.85,1.2307,0.5787,-0.5787
0.855,0.85,0.86,1.3145,0.5962,-0.5962
0.865,0.86,0.87,1.4019,0.6151,-0.6151
0.875,0.87,0.88,1.4925,0.6355,-0.6355
0.885,0.88,0.89,1.5862,0.6577,-0.6577
0.895,0.89,0.9,1.6826,0.6816,-0.6816
0.905,0.9,0.91,1.7816,0.7074,-0.7074
0.915,0.91,0.92,1.8829,0.735,-0.735
0.925,0.92,0.93,1.9862,0.7644,-0.7644
0.935,0.93,0.94,2.0913,0.7957,-0.7957
0.945,0.94,0.95,2.1976,0.8297,-0.8297
0.955,0.95,0.96,2.3032,0.8684,-0.8684
0.965,0.96,0.97,2.4018,0.9179,-0.9179
0.975,0.97,0.98,2.4674,0.9957,-0.9957
0.985,0.98,0.99,2.3637,1.1535,-1.1535
0.995,0.99,1.0,2.0168,1.0149,-1.0149
1.005,1.0,1.01,1.8692,0.8184,-0.8184
1.0150000000000001,1.01,1.02,1.7477,0.7266,-0.7266
1.025,1.02,1.03,1.6503,0.6753,-0.6753
1.0350000000000001,1.03,1.04,1.5746,0.6492,-0.6492
1.045,1.04,1.05,1.5177,0.6407,-0.6407
1.0550000000000002,1.05,1.06,1.4773,0.6447,-0.6447
1.065,1.06,1.07,1.4514,0.6574,-0.6574
1.0750000000000002,1.07,1.08,1.4382,0.6758,-0.6758
1.085,1.08,1.09,1.4359,0.6976,-0.6976
1.0950000000000002,1.09,1.1,1.4431,0.721,-0.721
1.105,1.1,1.11,1.4582,0.7449,-0.7449
1.1150000000000002,1.11,1.12,1.4799,0.7684,-0.7684
1.125,1.12,1.13,1.5068,0.7909,-0.7909
1.1349999999999998,1.13,1.14,1.5375,0.812,-0.812
1.145,1.14,1.15,1.5708,0.8314,-0.8314
1.1549999999999998,1.15,1.16,1.6055,0.8488,-0.8488
1.165,1.16,1.17,1.6402,0.8641,-0.8641
1.1749999999999998,1.17,1.18,1.6739,0.8773,-0.8773
1.185,1.18,1.19,1.7054,0.8881,-0.8881
1.1949999999999998,1.19,1.2,1.7336,0.8964,-0.8964
1.205,1.2,1.21,1.7574,0.9023,-0.9023
1.2149999999999999,1.21,1.22,1.776,0.9055,-0.9055
1.225,1.22,1.23,1.7884,0.906,-0.906
1.2349999999999999,1.23,1.24,1.7938,0.9037,-0.9037
1.245,1.24,1.25,1.7915,0.8983,-0.8983
1.255,1.25,1.26,1.7808,0.8899,-0.8899
1.2650000000000001,1.26,1.27,1.7614,0.8783,-0.8783
1.275,1.27,1.28,1.7328,0.8633,-0.8633
1.2850000000000001,1.28,1.29,1.6947,0.845,-0.845
1.295,1.29,1.3,1.6473,0.8232,-0.8232
1.3050000000000002,1.3,1.31,1.5904,0.7979,-0.7979
1.315,1.31,1.32,1.5246,0.7692,-0.7692
1.3250000000000002,1.32,1.33,1.4502,0.7371,-0.7371
1.335,1.33,1.34,1.368,0.7018,-0.7018
1.3450000000000002,1.34,1.35,1.279,0.6637,-0.6637
1.355,1.35,1.36,1.1845,0.6231,-0.6231
1.3650000000000002,1.36,1.37,1.0859,0.581,-0.581
1.375,1.37,1.38,0.9852,0.5385,-0.5385
1.3849999999999998,1.38,1.39,0.8845,0.4978,-0.4978
1.395,1.39,1.4,0.7863,0.462,-0.462

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.4734,0.2784,-0.2784
0.415,0.41,0.42,0.4404,0.252,-0.252
0.425,0.42,0.43,0.4154,0.2391,-0.2391
0.435,0.43,0.44,0.3991,0.2373,-0.2373
0.445,0.44,0.45,0.3922,0.242,-0.242
0.455,0.45,0.46,0.3947,0.2491,-0.2491
0.46499999999999997,0.46,0.47,0.4063,0.2562,-0.2562
0.475,0.47,0.48,0.4266,0.2631,-0.2631
0.485,0.48,0.49,0.4546,0.2716,-0.2716
0.495,0.49,0.5,0.489,0.2845,-0.2845
0.505,0.5,0.51,0.5287,0.3049,-0.3049
0.515,0.51,0.52,0.572,0.3346,-0.3346
0.525,0.52,0.53,0.6177,0.3738,-0.3738
0.535,0.53,0.54,0.6641,0.4207,-0.4207
0.545,0.54,0.55,0.7101,0.4732,-0.4732
0.555,0.55,0.56,0.7544,0.5284,-0.5284
0.565,0.56,0.57,0.7962,0.5838,-0.5838
0.575,0.57,0.58,0.8345,0.6372,-0.6372
0.585,0.58,0.59,0.8688,0.6868,-0.6868
0.595,0.59,0.6,0.8987,0.7313,-0.7313
0.605,0.6,0.61,0.924,0.7695,-0.7695
0.615,0.61,0.62,0.9445,0.8008,-0.8008
0.625,0.62,0.63,0.9603,0.8247,-0.8247
0.635,0.63,0.64,0.9715,0.8411,-0.8411
0.645,0.64,0.65,0.9783,0.8499,-0.8499
0.655,0.65,0.66,0.981,0.8514,-0.8514
0.665,0.66,0.67,0.9799,0.8459,-0.8459
0.675,0.67,0.68,0.9754,0.8338,-0.8338
0.685,0.68,0.69,0.9677,0.8156,-0.8156
0.695,0.69,0.7,0.9573,0.7919,-0.7919
0.705,0.7,0.71,0.9446,0.7633,-0.7633
0.715,0.71,0.72,0.9299,0.7303,-0.7303
0.725,0.72,0.73,0.9137,0.6938,-0.6938
0.735,0.73,0.74,0.8962,0.6542,-0.6542
0.745,0.74,0.75,0.8779,0.6125,-0.6125
0.755,0.75,0.76,0.8591,0.5693,-0.5693
0.765,0.76,0.77,0.8403,0.5254,-0.5254
0.775,0.77,0.78,0.8217,0.4817,-0.4817
0.785,0.78,0.79,0.8039,0.4392,-0.4392
0.795,0.79,0.8,0.787,0.3991,-0.3991
0.805,0.8,0.81,0.7716,0.3628,-0.3628
0.815,0.81,0.82,0.7579,0.3318,-0.3318
0.825,0.82,0.83,0.7466,0.308,-0.308
0.835,0.83,0.84,0.7378,0.2929,-0.2929
0.845,0.84,0.85,0.7323,0.2875,-0.2875
0.855,0.85,0.86,0.7304,0.2917,-0.2917
0.865,0.86,0.87,0.7327,0.3045,-0.3045
0.875,0.87,0.88,0.7399,0.3241,-0.3241
0.885,0.88,0.89,0.7528,0.3485,-0.3485
0.895,0.89,0.9,0.7722,0.3763,-0.3763
0.905,0.9,0.91,0.7993,0.4062,-0.4062
0.915,0.91,0.92,0.8355,0.4375,-0.4375
0.925,0.92,0.93,0.8824,0.4699,-0.4699
0.935,0.93,0.94,0.9423,0.5039,-0.5039
0.945,0.94,0.95,1.018,0.5408,-0.5408
0.955,0.95,0.96,1.1123,0.5838,-0.5838
0.965,0.96,0.97,1.2252,0.6396,-0.6396
0.975,0.97,0.98,1.3344,0.7221,-0.7221
0.985,0.98,0.99,1.242,0.8257,-0.8257
0.995,0.99,1.0,1.0698,0.6422,-0.6422
1.005,1.0,1.01,1.2059,0.5938,-0.5938
1.0150000000000001,1.01,1.02,1.234,0.5632,-0.5632
1.025,1.02,1.03,1.2394,0.5413,-0.5413
1.0350000000000001,1.03,1.04,1.2376,0.5256,-0.5256
1.045,1.04,1.05,1.2336,0.5147,-0.5147
1.0550000000000002,1.05,1.06,1.2292,0.5076,-0.5076
1.065,1.06,1.07,1.2252,0.5035,-0.5035
1.0750000000000002,1.07,1.08,1.222,0.5017,-0.5017
1.085,1.08,1.09,1.2196,0.5016,-0.5016
1.0950000000000002,1.09,1.1,1.2179,0.5027,-0.5027
1.105,1.1,1.11,1.2167,0.5047,-0.5047
1.1150000000000002,1.11,1.12,1.216,0.5074,-0.5074
1.125,1.12,1.13,1.2154,0.5105,-0.5105
1.1349999999999998,1.13,1.14,1.2148,0.5138,-0.5138
1.145,1.14,1.15,1.2139,0.5174,-0.5174
1.1549999999999998,1.15,1.16,1.2125,0.5212,-0.5212
1.165,1.16,1.17,1.2103,0.5251,-0.5251
1.1749999999999998,1.17,1.18,1.2072,0.5291,-0.5291
1.185,1.18,1.19,1.2028,0.5331,-0.5331
1.1949999999999998,1.19,1.2,1.197,0.5373,-0.5373
1.205,1.2,1.21,1.1895,0.5415,-0.5415
1.2149999999999999,1.21,1.22,1.1801,0.5458,-0.5458
1.225,1.22,1.23,1.1688,0.55,-0.55
1.2349999999999999,1.23,1.24,1.1552,0.554,-0.554
1.245,1.24,1.25,1.1393,0.5579,-0.5579
1.255,1.25,1.26,1.121,0.5615,-0.5615
1.2650000000000001,1.26,1.27,1.1002,0.5646,-0.5646
1.275,1.27,1.28,1.0769,0.5671,-0.5671
1.2850000000000001,1.28,1.29,1.0512,0.569,-0.569
1.295,1.29,1.3,1.0232,0.57,-0.57
1.3050000000000002,1.3,1.31,0.993,0.57,-0.57
1.315,1.31,1.32,0.9608,0.5689,-0.5689
1.3250000000000002,1.32,1.33,0.927,0.5667,-0.5667
1.335,1.33,1.34,0.892,0.5633,-0.5633
1.3450000000000002,1.34,1.35,0.8563,0.5586,-0.5586
1.355,1.35,1.36,0.8205,0.5527,-0.5527
1.3650000000000002,1.36,1.37,0.7854,0.5458,-0.5458
1.375,1.37,1.38,0.7518,0.5381,-0.5381
1.3849999999999998,1.38,1.39,0.7208,0.53,-0.53
1.395,1.39,1.4,0.6935,0.522,-0.522

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2402,0.1647,-0.1647
0.415,0.41,0.42,0.2398,0.1717,-0.1717
0.425,0.42,0.43,0.2423,0.1806,-0.1806
0.435,0.43,0.44,0.2479,0.1904,-0.1904
0.445,0.44,0.45,0.2568,0.2002,-0.2002
0.455,0.45,0.46,0.269,0.2097,-0.2097
0.46499999999999997,0.46,0.47,0.2843,0.2185,-0.2185
0.475,0.47,0.48,0.3027,0.2266,-0.2266
0.485,0.48,0.49,0.3237,0.2344,-0.2344
0.495,0.49,0.5,0.3471,0.2421,-0.2421
0.505,0.5,0.51,0.3722,0.2504,-0.2504
0.515,0.51,0.52,0.3987,0.2602,-0.2602
0.525,0.52,0.53,0.4261,0.2719,-0.2719
0.535,0.53,0.54,0.4538,0.2863,-0.2863
0.545,0.54,0.55,0.4814,0.3035,-0.3035
0.555,0.55,0.56,0.5086,0.3236,-0.3236
0.565,0.56,0.57,0.535,0.3462,-0.3462
0.575,0.57,0.58,0.5603,0.371,-0.371
0.585,0.58,0.59,0.5843,0.3973,-0.3973
0.595,0.59,0.6,0.6068,0.4246,-0.4246
0.605,0.6,0.61,0.6278,0.4522,-0.4522
0.615,0.61,0.62,0.6471,0.4798,-0.4798
0.625,0.62,0.63,0.6648,0.5069,-0.5069
0.635,0.63,0.64,0.6808,0.533,-0.533
0.645,0.64,0.65,0.6952,0.5579,-0.5579
0.655,0.65,0.66,0.708,0.5813,-0.5813
0.665,0.66,0.67,0.7194,0.6031,-0.6031
0.675,0.67,0.68,0.7292,0.623,-0.623
0.685,0.68,0.69,0.7378,0.641,-0.641
0.695,0.69,0.7,0.745,0.6571,-0.6571
0.705,0.7,0.71,0.751,0.6711,-0.6711
0.715,0.71,0.72,0.7558,0.683,-0.683
0.725,0.72,0.73,0.7595,0.6929,-0.6929
0.735,0.73,0.74,0.7623,0.7007,-0.7007
0.745,0.74,0.75,0.764,0.7065,-0.7065
0.755,0.75,0.76,0.7648,0.7103,-0.7103
0.765,0.76,0.77,0.7647,0.7121,-0.7121
0.775,0.77,0.78,0.7638,0.7121,-0.7121
0.785,0.78,0.79,0.7621,0.7101,-0.7101
0.795,0.79,0.8,0.7596,0.7064,-0.7064
0.805,0.8,0.81,0.7564,0.7009,-0.7009
0.815,0.81,0.82,0.7524,0.6937,-0.6937
0.825,0.82,0.83,0.7477,0.6848,-0.6848
0.835,0.83,0.84,0.7423,0.6744,-0.6744
0.845,0.84,0.85,0.7363,0.6624,-0.6624
0.855,0.85,0.86,0.7296,0.649,-0.649
0.865,0.86,0.87,0.7222,0.6341,-0.6341
0.875,0.87,0.88,0.7143,0.6179,-0.6179
0.885,0.88,0.89,0.7057,0.6004,-0.6004
0.895,0.89,0.9,0.6966,0.5818,-0.5818
0.905,0.9,0.91,0.6871,0.5622,-0.5622
0.915,0.91,0.92,0.6771,0.5419,-0.5419
0.925,0.92,0.93,0.6668,0.5216,-0.5216
0.935,0.93,0.94,0.6562,0.5022,-0.5022
0.945,0.94,0.95,0.6453,0.4859,-0.4859
0.955,0.95,0.96,0.6335,0.4769,-0.4769
0.965,0.96,0.97,0.6186,0.484,-0.484
0.975,0.97,0.98,0.5895,0.5223,-0.5223
0.985,0.98,0.99,0.4867,0.5864,-0.5864
0.995,0.99,1.0,0.3539,0.3983,-0.3983
1.005,1.0,1.01,0.382,0.3497,-0.3497
1.0150000000000001,1.01,1.02,0.396,0.3469,-0.3469
1.025,1.02,1.03,0.411,0.3578,-0.3578
1.0350000000000001,1.03,1.04,0.4299,0.375,-0.375
1.045,1.04,1.05,0.4528,0.3953,-0.3953
1.0550000000000002,1.05,1.06,0.4793,0.4173,-0.4173
1.065,1.06,1.07,0.5088,0.44,-0.44
1.0750000000000002,1.07,1.08,0.5404,0.4628,-0.4628
1.085,1.08,1.09,0.5736,0.4854,-0.4854
1.0950000000000002,1.09,1.1,0.6076,0.5075,-0.5075
1.105,1.1,1.11,0.6418,0.5289,-0.5289
1.1150000000000002,1.11,1.12,0.6756,0.5493,-0.5493
1.125,1.12,1.13,0.7085,0.5688,-0.5688
1.1349999999999998,1.13,1.14,0.7398,0.587,-0.587
1.145,1.14,1.15,0.7691,0.6037,-0.6037
1.1549999999999998,1.15,1.16,0.796,0.619,-0.619
1.165,1.16,1.17,0.8199,0.6325,-0.6325
1.1749999999999998,1.17,1.18,0.8406,0.6441,-0.6441
1.185,1.18,1.19,0.8576,0.6537,-0.6537
1.1949999999999998,1.19,1.2,0.8707,0.6612,-0.6612
1.205,1.2,1.21,0.8795,0.6665,-0.6665
1.2149999999999999,1.21,1.22,0.8839,0.6695,-0.6695
1.225,1.22,1.23,0.8836,0.67,-0.67
1.2349999999999999,1.23,1.24,0.8785,0.6681,-0.6681
1.245,1.24,1.25,0.8686,0.6637,-0.6637
1.255,1.25,1.26,0.8539,0.6568,-0.6568
1.2650000000000001,1.26,1.27,0.8343,0.6474,-0.6474
1.275,1.27,1.28,0.8101,0.6356,-0.6356
1.2850000000000001,1.28,1.29,0.7814,0.6214,-0.6214
1.295,1.29,1.3,0.7485,0.605,-0.605
1.3050000000000002,1.3,1.31,0.7117,0.5865,-0.5865
1.315,1.31,1.32,0.6716,0.5661,-0.5661
1.3250000000000002,1.32,1.33,0.6286,0.5441,-0.5441
1.335,1.33,1.34,0.5835,0.5205,-0.5205
1.3450000000000002,1.34,1.35,0.5369,0.4959,-0.4959
1.355,1.35,1.36,0.4899,0.4706,-0.4706
1.3650000000000002,1.36,1.37,0.4435,0.4449,-0.4449
1.375,1.37,1.38,0.3987,0.4197,-0.4197
1.3849999999999998,1.38,1.39,0.357,0.3956,-0.3956
1.395,1.39,1.4,0.3198,0.3737,-0.3737

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1938,0.2032,-0.2032
0.415,0.41,0.42,0.191,0.2026,-0.2026
0.425,0.42,0.43,0.1915,0.2006,-0.2006
0.435,0.43,0.44,0.195,0.1981,-0.1981
0.445,0.44,0.45,0.2011,0.1959,-0.1959
0.455,0.45,0.46,0.2094,0.1944,-0.1944
0.46499999999999997,0.46,0.47,0.2194,0.1936,-0.1936
0.475,0.47,0.48,0.2306,0.1931,-0.1931
0.485,0.48,0.49,0.2427,0.1928,-0.1928
0.495,0.49,0.5,0.2555,0.1927,-0.1927
0.505,0.5,0.51,0.2688,0.1933,-0.1933
0.515,0.51,0.52,0.2825,0.1952,-0.1952
0.525,0.52,0.53,0.2967,0.1992,-0.1992
0.535,0.53,0.54,0.3116,0.2054,-0.2054
0.545,0.54,0.55,0.3275,0.2139,-0.2139
