#: table_doi: 10.17182/hepdata.74824.v1/t103
#: name: Table 103
#: description: Pm wave cross section for -T.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1624,0.1347,-0.1347
0.415,0.41,0.42,0.1645,0.1378,-0.1378
0.425,0.42,0.43,0.1651,0.1395,-0.1395
0.435,0.43,0.44,0.1643,0.1395,-0.1395
0.445,0.44,0.45,0.1622,0.138,-0.138
0.455,0.45,0.46,0.1591,0.1349,-0.1349
0.46499999999999997,0.46,0.47,0.1551,0.1301,-0.1301
0.475,0.47,0.48,0.1506,0.1236,-0.1236
0.485,0.48,0.49,0.1458,0.1154,-0.1154
0.495,0.49,0.5,0.1412,0.1054,-0.1054
0.505,0.5,0.51,0.1372,0.0937,-0.0937
0.515,0.51,0.52,0.1342,0.0803,-0.0803
0.525,0.52,0.53,0.133,0.0655,-0.0655
0.535,0.53,0.54,0.1342,0.0507,-0.0507
0.545,0.54,0.55,0.1388,0.0393,-0.0393
0.555,0.55,0.56,0.1478,0.0401,-0.0401
0.565,0.56,0.57,0.1624,0.057,-0.057
0.575,0.57,0.58,0.1844,0.0843,-0.0843
0.585,0.58,0.59,0.2155,0.1185,-0.1185
0.595,0.59,0.6,0.2581,0.1586,-0.1586
0.605,0.6,0.61,0.3152,0.2049,-0.2049
0.615,0.61,0.62,0.3902,0.258,-0.258
0.625,0.62,0.63,0.4877,0.3188,-0.3188
0.635,0.63,0.64,0.6132,0.3884,-0.3884
0.645,0.64,0.65,0.7732,0.468,-0.468
0.655,0.65,0.66,0.9759,0.5591,-0.5591
0.665,0.66,0.67,1.2308,0.6631,-0.6631
0.675,0.67,0.68,1.5484,0.7813,-0.7813
0.685,0.68,0.69,1.9398,0.914,-0.914
0.695,0.69,0.7,2.4141,1.0606,-1.0606
0.705,0.7,0.71,2.9751,1.2176,-1.2176
0.715,0.71,0.72,3.616,1.3783,-1.3783
0.725,0.72,0.73,4.3116,1.5308,-1.5308
0.735,0.73,0.74,5.0128,1.6586,-1.6586
0.745,0.74,0.75,5.648,1.7431,-1.7431
0.755,0.75,0.76,6.1362,1.7687,-1.7687
0.765,0.76,0.77,6.4121,1.7295,-1.7295
0.775,0.77,0.78,6.4494,1.6322,-1.6322
0.785,0.78,0.79,6.2679,1.4942,-1.4942
0.795,0.79,0.8,5.9203,1.3367,-1.3367
0.805,0.8,0.81,5.4705,1.1786,-1.1786
0.815,0.81,0.82,4.9755,1.033,-1.033
0.825,0.82,0.83,4.4768,0.907,-0.907
0.835,0.83,0.84,4.0007,0.8028,-0.8028
0.845,0.84,0.85,3.5609,0.7196,-0.7196
0.855,0.85,0.86,3.163,0.6548,-0.6548
0.865,0.86,0.87,2.8076,0.605,-0.605
0.875,0.87,0.88,2.4923,0.5671,-0.5671
0.885,0.88,0.89,2.2139,0.5379,-0.5379
0.895,0.89,0.9,1.9684,0.5151,-0.5151
0.905,0.9,0.91,1.7521,0.4965,-0.4965
0.915,0.91,0.92,1.5616,0.4809,-0.4809
0.925,0.92,0.93,1.3936,0.467,-0.467
0.935,0.93,0.94,1.2454,0.4541,-0.4541
0.945,0.94,0.95,1.1147,0.4417,-0.4417
0.955,0.95,0.96,0.9993,0.4294,-0.4294
0.965,0.96,0.97,0.8975,0.417,-0.417
0.975,0.97,0.98,0.8077,0.4043,-0.4043
0.985,0.98,0.99,0.7286,0.3912,-0.3912
0.995,0.99,1.0,0.659,0.3777,-0.3777
1.005,1.0,1.01,0.598,0.3638,-0.3638
1.0150000000000001,1.01,1.02,0.5445,0.3495,-0.3495
1.025,1.02,1.03,0.4978,0.3349,-0.3349
1.0350000000000001,1.03,1.04,0.4571,0.32,-0.32
1.045,1.04,1.05,0.422,0.3049,-0.3049
1.0550000000000002,1.05,1.06,0.3917,0.2897,-0.2897
1.065,1.06,1.07,0.3658,0.2746,-0.2746
1.0750000000000002,1.07,1.08,0.3437,0.2596,-0.2596
