#: table_doi: 10.17182/hepdata.74824.v1/t113
#: name: Table 113
#: description: P0 wave cross section for -T.

#: data_file: Table113.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0547,0.0123,-0.0123
0.415,0.41,0.42,0.058,0.0122,-0.0122
0.425,0.42,0.43,0.0613,0.0123,-0.0123
0.435,0.43,0.44,0.0647,0.0125,-0.0125
0.445,0.44,0.45,0.0682,0.0132,-0.0132
0.455,0.45,0.46,0.072,0.0143,-0.0143
0.46499999999999997,0.46,0.47,0.0761,0.0159,-0.0159
0.475,0.47,0.48,0.0806,0.0181,-0.0181
0.485,0.48,0.49,0.0856,0.0208,-0.0208
0.495,0.49,0.5,0.0914,0.024,-0.024
0.505,0.5,0.51,0.098,0.0277,-0.0277
0.515,0.51,0.52,0.1056,0.0319,-0.0319
0.525,0.52,0.53,0.1145,0.0366,-0.0366
0.535,0.53,0.54,0.1248,0.0418,-0.0418
0.545,0.54,0.55,0.1368,0.0476,-0.0476
0.555,0.55,0.56,0.151,0.0539,-0.0539
0.565,0.56,0.57,0.1675,0.0609,-0.0609
0.575,0.57,0.58,0.1868,0.0686,-0.0686
0.585,0.58,0.59,0.2095,0.0771,-0.0771
0.595,0.59,0.6,0.2362,0.0864,-0.0864
0.605,0.6,0.61,0.2674,0.0968,-0.0968
0.615,0.61,0.62,0.3041,0.1083,-0.1083
0.625,0.62,0.63,0.3471,0.1212,-0.1212
0.635,0.63,0.64,0.3976,0.1355,-0.1355
0.645,0.64,0.65,0.4568,0.1514,-0.1514
0.655,0.65,0.66,0.526,0.1693,-0.1693
0.665,0.66,0.67,0.6065,0.1891,-0.1891
0.675,0.67,0.68,0.6996,0.2109,-0.2109
0.685,0.68,0.69,0.8057,0.2347,-0.2347
0.695,0.69,0.7,0.9244,0.2599,-0.2599
0.705,0.7,0.71,1.0531,0.2858,-0.2858
0.715,0.71,0.72,1.1859,0.3108,-0.3108
0.725,0.72,0.73,1.3127,0.3326,-0.3326
0.735,0.73,0.74,1.4195,0.3483,-0.3483
0.745,0.74,0.75,1.4897,0.3551,-0.3551
0.755,0.75,0.76,1.5093,0.351,-0.351
0.765,0.76,0.77,1.4722,0.336,-0.336
0.775,0.77,0.78,1.3832,0.3124,-0.3124
0.785,0.78,0.79,1.2565,0.2836,-0.2836
0.795,0.79,0.8,1.1099,0.2533,-0.2533
0.805,0.8,0.81,0.9597,0.2244,-0.2244
0.815,0.81,0.82,0.8172,0.1985,-0.1985
0.825,0.82,0.83,0.6892,0.1761,-0.1761
0.835,0.83,0.84,0.578,0.157,-0.157
0.845,0.84,0.85,0.4838,0.1407,-0.1407
0.855,0.85,0.86,0.4054,0.1268,-0.1268
0.865,0.86,0.87,0.3409,0.1147,-0.1147
0.875,0.87,0.88,0.2884,0.1041,-0.1041
0.885,0.88,0.89,0.246,0.0945,-0.0945
0.895,0.89,0.9,0.2123,0.0858,-0.0858
0.905,0.9,0.91,0.1858,0.0779,-0.0779
0.915,0.91,0.92,0.1653,0.0707,-0.0707
0.925,0.92,0.93,0.1498,0.0643,-0.0643
0.935,0.93,0.94,0.1385,0.0587,-0.0587
0.945,0.94,0.95,0.1308,0.0539,-0.0539
0.955,0.95,0.96,0.1261,0.0503,-0.0503
0.965,0.96,0.97,0.1238,0.0478,-0.0478
0.975,0.97,0.98,0.1236,0.0466,-0.0466
0.985,0.98,0.99,0.125,0.0468,-0.0468
0.995,0.99,1.0,0.1279,0.0482,-0.0482
1.005,1.0,1.01,0.1318,0.0506,-0.0506
1.0150000000000001,1.01,1.02,0.1366,0.0538,-0.0538
1.025,1.02,1.03,0.1421,0.0577,-0.0577
1.0350000000000001,1.03,1.04,0.1479,0.0619,-0.0619
1.045,1.04,1.05,0.1541,0.0664,-0.0664
1.0550000000000002,1.05,1.06,0.1603,0.071,-0.071
1.065,1.06,1.07,0.1665,0.0755,-0.0755
1.0750000000000002,1.07,1.08,0.1724,0.08,-0.08
1.085,1.08,1.09,0.1781,0.0843,-0.0843
1.0950000000000002,1.09,1.1,0.1833,0.0884,-0.0884
1.105,1.1,1.11,0.1879,0.0922,-0.0922
1.1150000000000002,1.11,1.12,0.1919,0.0957,-0.0957
1.125,1.12,1.13,0.1951,0.0989,-0.0989
1.1349999999999998,1.13,1.14,0.1975,0.1017,-0.1017
1.145,1.14,1.15,0.1991,0.1041,-0.1041
1.1549999999999998,1.15,1.16,0.1997,0.1061,-0.1061
1.165,1.16,1.17,0.1993,0.1076,-0.1076
1.1749999999999998,1.17,1.18,0.1979,0.1088,-0.1088
1.185,1.18,1.19,0.1955,0.1094,-0.1094
1.1949999999999998,1.19,1.2,0.192,0.1096,-0.1096
1.205,1.2,1.21,0.1876,0.1094,-0.1094
1.2149999999999999,1.21,1.22,0.1822,0.1087,-0.1087
1.225,1.22,1.23,0.1758,0.1076,-0.1076
1.2349999999999999,1.23,1.24,0.1687,0.106,-0.106
1.245,1.24,1.25,0.1608,0.104,-0.104
1.255,1.25,1.26,0.1523,0.1017,-0.1017
1.2650000000000001,1.26,1.27,0.1434,0.099,-0.099
1.275,1.27,1.28,0.1342,0.096,-0.096
1.2850000000000001,1.28,1.29,0.125,0.0929,-0.0929
1.295,1.29,1.3,0.1159,0.0896,-0.0896
1.3050000000000002,1.3,1.31,0.1074,0.0864,-0.0864
1.315,1.31,1.32,0.0997,0.0836,-0.0836
1.3250000000000002,1.32,1.33,0.0932,0.0815,-0.0815
1.335,1.33,1.34,0.0883,0.0806,-0.0806
1.3450000000000002,1.34,1.35,0.0854,0.0816,-0.0816
1.355,1.35,1.36,0.085,0.0851,-0.0851
1.3650000000000002,1.36,1.37,0.0878,0.0917,-0.0917
1.375,1.37,1.38,0.0942,0.102,-0.102
1.3849999999999998,1.38,1.39,0.1051,0.1164,-0.1164
1.395,1.39,1.4,0.121,0.1351,-0.1351

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.106,0.0266,-0.0266
0.415,0.41,0.42,0.1109,0.0272,-0.0272
0.425,0.42,0.43,0.1153,0.0278,-0.0278
0.435,0.43,0.44,0.1192,0.0285,-0.0285
0.445,0.44,0.45,0.1226,0.0293,-0.0293
0.455,0.45,0.46,0.1257,0.0304,-0.0304
0.46499999999999997,0.46,0.47,0.1284,0.0318,-0.0318
0.475,0.47,0.48,0.1309,0.0336,-0.0336
0.485,0.48,0.49,0.1333,0.0358,-0.0358
0.495,0.49,0.5,0.1357,0.0384,-0.0384
0.505,0.5,0.51,0.1383,0.0413,-0.0413
0.515,0.51,0.52,0.1412,0.0446,-0.0446
0.525,0.52,0.53,0.1446,0.048,-0.048
0.535,0.53,0.54,0.1488,0.0516,-0.0516
0.545,0.54,0.55,0.1539,0.0553,-0.0553
0.555,0.55,0.56,0.1603,0.059,-0.059
0.565,0.56,0.57,0.1684,0.0627,-0.0627
0.575,0.57,0.58,0.1785,0.0662,-0.0662
0.585,0.58,0.59,0.191,0.0696,-0.0696
0.595,0.59,0.6,0.2067,0.0728,-0.0728
0.605,0.6,0.61,0.2261,0.0759,-0.0759
0.615,0.61,0.62,0.25,0.0789,-0.0789
0.625,0.62,0.63,0.2795,0.0821,-0.0821
0.635,0.63,0.64,0.3155,0.0858,-0.0858
0.645,0.64,0.65,0.3593,0.0906,-0.0906
0.655,0.65,0.66,0.4125,0.0974,-0.0974
0.665,0.66,0.67,0.4765,0.1072,-0.1072
0.675,0.67,0.68,0.5529,0.1213,-0.1213
0.685,0.68,0.69,0.6428,0.1405,-0.1405
0.695,0.69,0.7,0.7466,0.1656,-0.1656
0.705,0.7,0.71,0.8628,0.1963,-0.1963
0.715,0.71,0.72,0.9872,0.2316,-0.2316
0.725,0.72,0.73,1.1116,0.269,-0.269
0.735,0.73,0.74,1.2235,0.3045,-0.3045
0.745,0.74,0.75,1.3073,0.3332,-0.3332
0.755,0.75,0.76,1.3484,0.3502,-0.3502
0.765,0.76,0.77,1.3383,0.3522,-0.3522
0.775,0.77,0.78,1.2784,0.3392,-0.3392
0.785,0.78,0.79,1.1792,0.3142,-0.3142
0.795,0.79,0.8,1.056,0.2815,-0.2815
0.805,0.8,0.81,0.9237,0.2458,-0.2458
0.815,0.81,0.82,0.7936,0.2108,-0.2108
0.825,0.82,0.83,0.6728,0.1788,-0.1788
0.835,0.83,0.84,0.5649,0.1511,-0.1511
0.845,0.84,0.85,0.4709,0.1278,-0.1278
0.855,0.85,0.86,0.3903,0.109,-0.109
0.865,0.86,0.87,0.3221,0.0939,-0.0939
0.875,0.87,0.88,0.2648,0.0821,-0.0821
0.885,0.88,0.89,0.2171,0.0727,-0.0727
0.895,0.89,0.9,0.1776,0.0651,-0.0651
0.905,0.9,0.91,0.1453,0.0587,-0.0587
0.915,0.91,0.92,0.1191,0.0533,-0.0533
0.925,0.92,0.93,0.0982,0.0487,-0.0487
0.935,0.93,0.94,0.0818,0.0449,-0.0449
0.945,0.94,0.95,0.0694,0.0422,-0.0422
0.955,0.95,0.96,0.0604,0.0409,-0.0409
0.965,0.96,0.97,0.0544,0.0413,-0.0413
0.975,0.97,0.98,0.0511,0.0435,-0.0435
0.985,0.98,0.99,0.05,0.0476,-0.0476
0.995,0.99,1.0,0.0509,0.0532,-0.0532
1.005,1.0,1.01,0.0535,0.0601,-0.0601
1.0150000000000001,1.01,1.02,0.0576,0.068,-0.068
1.025,1.02,1.03,0.063,0.0766,-0.0766
1.0350000000000001,1.03,1.04,0.0695,0.0856,-0.0856
1.045,1.04,1.05,0.0769,0.0949,-0.0949
1.0550000000000002,1.05,1.06,0.085,0.1043,-0.1043
1.065,1.06,1.07,0.0936,0.1137,-0.1137
1.0750000000000002,1.07,1.08,0.1027,0.123,-0.123
1.085,1.08,1.09,0.112,0.132,-0.132
1.0950000000000002,1.09,1.1,0.1214,0.1406,-0.1406
1.105,1.1,1.11,0.1308,0.1488,-0.1488
1.1150000000000002,1.11,1.12,0.1401,0.1564,-0.1564
1.125,1.12,1.13,0.149,0.1634,-0.1634
1.1349999999999998,1.13,1.14,0.1576,0.1697,-0.1697
1.145,1.14,1.15,0.1656,0.1753,-0.1753
1.1549999999999998,1.15,1.16,0.173,0.18,-0.18
1.165,1.16,1.17,0.1797,0.1838,-0.1838
1.1749999999999998,1.17,1.18,0.1856,0.1867,-0.1867
1.185,1.18,1.19,0.1906,0.1887,-0.1887
1.1949999999999998,1.19,1.2,0.1947,0.1897,-0.1897
1.205,1.2,1.21,0.1976,0.1897,-0.1897
1.2149999999999999,1.21,1.22,0.1995,0.1889,-0.1889
1.225,1.22,1.23,0.2003,0.1871,-0.1871
1.2349999999999999,1.23,1.24,0.2,0.1844,-0.1844
1.245,1.24,1.25,0.1984,0.181,-0.181
1.255,1.25,1.26,0.1958,0.1769,-0.1769
1.2650000000000001,1.26,1.27,0.192,0.1722,-0.1722
1.275,1.27,1.28,0.1872,0.1672,-0.1672
1.2850000000000001,1.28,1.29,0.1813,0.1619,-0.1619
1.295,1.29,1.3,0.1746,0.1567,-0.1567
1.3050000000000002,1.3,1.31,0.1671,0.1516,-0.1516
1.315,1.31,1.32,0.159,0.1469,-0.1469
1.3250000000000002,1.32,1.33,0.1505,0.1428,-0.1428
1.335,1.33,1.34,0.1417,0.1394,-0.1394
1.3450000000000002,1.34,1.35,0.133,0.1368,-0.1368
1.355,1.35,1.36,0.1246,0.135,-0.135
1.3650000000000002,1.36,1.37,0.1169,0.1339,-0.1339
1.375,1.37,1.38,0.1102,0.1333,-0.1333
1.3849999999999998,1.38,1.39,0.105,0.133,-0.133
1.395,1.39,1.4,0.1017,0.1333,-0.1333

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0657,0.0289,-0.0289
0.415,0.41,0.42,0.0699,0.0308,-0.0308
0.425,0.42,0.43,0.074,0.0327,-0.0327
0.435,0.43,0.44,0.0779,0.0345,-0.0345
0.445,0.44,0.45,0.0818,0.0364,-0.0364
0.455,0.45,0.46,0.0856,0.0382,-0.0382
0.46499999999999997,0.46,0.47,0.0894,0.0401,-0.0401
0.475,0.47,0.48,0.0933,0.042,-0.042
0.485,0.48,0.49,0.0973,0.0439,-0.0439
0.495,0.49,0.5,0.1016,0.0459,-0.0459
0.505,0.5,0.51,0.1062,0.0479,-0.0479
0.515,0.51,0.52,0.1112,0.05,-0.05
0.525,0.52,0.53,0.1168,0.0522,-0.0522
0.535,0.53,0.54,0.1231,0.0544,-0.0544
0.545,0.54,0.55,0.1304,0.0567,-0.0567
0.555,0.55,0.56,0.1388,0.059,-0.059
0.565,0.56,0.57,0.1485,0.0613,-0.0613
0.575,0.57,0.58,0.16,0.0637,-0.0637
0.585,0.58,0.59,0.1734,0.0662,-0.0662
0.595,0.59,0.6,0.1893,0.0687,-0.0687
0.605,0.6,0.61,0.2082,0.0713,-0.0713
0.615,0.61,0.62,0.2306,0.0741,-0.0741
0.625,0.62,0.63,0.2572,0.0771,-0.0771
0.635,0.63,0.64,0.2889,0.0805,-0.0805
0.645,0.64,0.65,0.3267,0.0845,-0.0845
0.655,0.65,0.66,0.3716,0.0893,-0.0893
0.665,0.66,0.67,0.4248,0.0953,-0.0953
0.675,0.67,0.68,0.4874,0.1029,-0.1029
0.685,0.68,0.69,0.5602,0.1125,-0.1125
0.695,0.69,0.7,0.6435,0.1244,-0.1244
0.705,0.7,0.71,0.736,0.1387,-0.1387
0.715,0.71,0.72,0.8345,0.1551,-0.1551
0.725,0.72,0.73,0.9324,0.1723,-0.1723
0.735,0.73,0.74,1.0201,0.1888,-0.1888
0.745,0.74,0.75,1.0854,0.2019,-0.2019
0.755,0.75,0.76,1.1172,0.2093,-0.2093
0.765,0.76,0.77,1.1092,0.2096,-0.2096
0.775,0.77,0.78,1.0624,0.2027,-0.2027
0.785,0.78,0.79,0.9853,0.1901,-0.1901
0.795,0.79,0.8,0.8898,0.1739,-0.1739
0.805,0.8,0.81,0.7872,0.1564,-0.1564
0.815,0.81,0.82,0.6865,0.1393,-0.1393
0.825,0.82,0.83,0.5931,0.1237,-0.1237
0.835,0.83,0.84,0.5094,0.1102,-0.1102
0.845,0.84,0.85,0.4364,0.0987,-0.0987
0.855,0.85,0.86,0.3736,0.0891,-0.0891
0.865,0.86,0.87,0.3201,0.0811,-0.0811
0.875,0.87,0.88,0.2748,0.0745,-0.0745
0.885,0.88,0.89,0.2366,0.0689,-0.0689
0.895,0.89,0.9,0.2046,0.0642,-0.0642
0.905,0.9,0.91,0.1778,0.0602,-0.0602
0.915,0.91,0.92,0.1555,0.0568,-0.0568
0.925,0.92,0.93,0.137,0.0539,-0.0539
0.935,0.93,0.94,0.1218,0.0515,-0.0515
0.945,0.94,0.95,0.1094,0.0498,-0.0498
0.955,0.95,0.96,0.0994,0.0487,-0.0487
0.965,0.96,0.97,0.0916,0.0483,-0.0483
0.975,0.97,0.98,0.0855,0.0486,-0.0486
0.985,0.98,0.99,0.0811,0.0498,-0.0498
0.995,0.99,1.0,0.0781,0.0516,-0.0516
1.005,1.0,1.01,0.0763,0.0542,-0.0542
1.0150000000000001,1.01,1.02,0.0756,0.0573,-0.0573
1.025,1.02,1.03,0.0758,0.061,-0.061
1.0350000000000001,1.03,1.04,0.0767,0.065,-0.065
1.045,1.04,1.05,0.0784,0.0694,-0.0694
1.0550000000000002,1.05,1.06,0.0807,0.074,-0.074
1.065,1.06,1.07,0.0834,0.0788,-0.0788
1.0750000000000002,1.07,1.08,0.0866,0.0836,-0.0836
1.085,1.08,1.09,0.0901,0.0884,-0.0884
1.0950000000000002,1.09,1.1,0.0938,0.0932,-0.0932
1.105,1.1,1.11,0.0978,0.0979,-0.0979
1.1150000000000002,1.11,1.12,0.1018,0.1025,-0.1025
1.125,1.12,1.13,0.1059,0.1069,-0.1069
1.1349999999999998,1.13,1.14,0.11,0.111,-0.111
1.145,1.14,1.15,0.1141,0.115,-0.115
1.1549999999999998,1.15,1.16,0.1181,0.1186,-0.1186
1.165,1.16,1.17,0.1219,0.122,-0.122
1.1749999999999998,1.17,1.18,0.1256,0.1252,-0.1252
1.185,1.18,1.19,0.129,0.128,-0.128
1.1949999999999998,1.19,1.2,0.1322,0.1305,-0.1305
1.205,1.2,1.21,0.1352,0.1327,-0.1327
1.2149999999999999,1.21,1.22,0.1379,0.1347,-0.1347
1.225,1.22,1.23,0.1403,0.1364,-0.1364
1.2349999999999999,1.23,1.24,0.1424,0.1379,-0.1379
1.245,1.24,1.25,0.1443,0.1392,-0.1392
1.255,1.25,1.26,0.1459,0.1403,-0.1403
1.2650000000000001,1.26,1.27,0.1473,0.1414,-0.1414
1.275,1.27,1.28,0.1485,0.1424,-0.1424
1.2850000000000001,1.28,1.29,0.1496,0.1435,-0.1435
1.295,1.29,1.3,0.1506,0.1446,-0.1446
1.3050000000000002,1.3,1.31,0.1516,0.1459,-0.1459
1.315,1.31,1.32,0.1527,0.1474,-0.1474
1.3250000000000002,1.32,1.33,0.154,0.1492,-0.1492
1.335,1.33,1.34,0.1557,0.1513,-0.1513
1.3450000000000002,1.34,1.35,0.1578,0.1538,-0.1538
1.355,1.35,1.36,0.1606,0.1569,-0.1569
1.3650000000000002,1.36,1.37,0.1642,0.1606,-0.1606
1.375,1.37,1.38,0.1688,0.1652,-0.1652
1.3849999999999998,1.38,1.39,0.1746,0.1709,-0.1709
1.395,1.39,1.4,0.1819,0.1781,-0.1781

