#: table_doi: 10.17182/hepdata.74824.v1/t113
#: name: Table 113
#: description: P0 wave cross section for -T.

#: data_file: Table113.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1139,0.0211,-0.0211
0.415,0.41,0.42,0.1228,0.0226,-0.0226
0.425,0.42,0.43,0.1318,0.0246,-0.0246
0.435,0.43,0.44,0.1409,0.0272,-0.0272
0.445,0.44,0.45,0.1502,0.0306,-0.0306
0.455,0.45,0.46,0.1598,0.0348,-0.0348
0.46499999999999997,0.46,0.47,0.1697,0.0397,-0.0397
0.475,0.47,0.48,0.1801,0.0454,-0.0454
0.485,0.48,0.49,0.191,0.0518,-0.0518
0.495,0.49,0.5,0.2027,0.059,-0.059
0.505,0.5,0.51,0.2152,0.0669,-0.0669
0.515,0.51,0.52,0.2288,0.0755,-0.0755
0.525,0.52,0.53,0.2436,0.0848,-0.0848
0.535,0.53,0.54,0.2599,0.0947,-0.0947
0.545,0.54,0.55,0.2779,0.1052,-0.1052
0.555,0.55,0.56,0.298,0.1164,-0.1164
0.565,0.56,0.57,0.3204,0.1283,-0.1283
0.575,0.57,0.58,0.3458,0.1408,-0.1408
0.585,0.58,0.59,0.3744,0.154,-0.154
0.595,0.59,0.6,0.407,0.1678,-0.1678
0.605,0.6,0.61,0.4442,0.1824,-0.1824
0.615,0.61,0.62,0.4868,0.1976,-0.1976
0.625,0.62,0.63,0.5357,0.2136,-0.2136
0.635,0.63,0.64,0.5921,0.2302,-0.2302
0.645,0.64,0.65,0.657,0.2476,-0.2476
0.655,0.65,0.66,0.7317,0.2655,-0.2655
0.665,0.66,0.67,0.8174,0.2839,-0.2839
0.675,0.67,0.68,0.9151,0.3024,-0.3024
0.685,0.68,0.69,1.0249,0.3206,-0.3206
0.695,0.69,0.7,1.146,0.3378,-0.3378
0.705,0.7,0.71,1.2751,0.3529,-0.3529
0.715,0.71,0.72,1.4056,0.3643,-0.3643
0.725,0.72,0.73,1.5268,0.3703,-0.3703
0.735,0.73,0.74,1.6237,0.3691,-0.3691
0.745,0.74,0.75,1.6798,0.3594,-0.3594
0.755,0.75,0.76,1.6819,0.3412,-0.3412
0.765,0.76,0.77,1.6251,0.316,-0.316
0.775,0.77,0.78,1.5164,0.2866,-0.2866
0.785,0.78,0.79,1.3714,0.2562,-0.2562
0.795,0.79,0.8,1.2091,0.2274,-0.2274
0.805,0.8,0.81,1.0462,0.202,-0.202
0.815,0.81,0.82,0.894,0.1807,-0.1807
0.825,0.82,0.83,0.7585,0.1636,-0.1636
0.835,0.83,0.84,0.6418,0.1504,-0.1504
0.845,0.84,0.85,0.5434,0.1406,-0.1406
0.855,0.85,0.86,0.4617,0.1337,-0.1337
0.865,0.86,0.87,0.3945,0.129,-0.129
0.875,0.87,0.88,0.3398,0.126,-0.126
0.885,0.88,0.89,0.2955,0.1243,-0.1243
0.895,0.89,0.9,0.2599,0.1235,-0.1235
0.905,0.9,0.91,0.2316,0.1233,-0.1233
0.915,0.91,0.92,0.2093,0.1235,-0.1235
0.925,0.92,0.93,0.1921,0.1238,-0.1238
0.935,0.93,0.94,0.1791,0.1243,-0.1243
0.945,0.94,0.95,0.1697,0.1248,-0.1248
0.955,0.95,0.96,0.1633,0.1254,-0.1254
0.965,0.96,0.97,0.1594,0.1259,-0.1259
0.975,0.97,0.98,0.1576,0.1264,-0.1264
0.985,0.98,0.99,0.1577,0.1269,-0.1269
0.995,0.99,1.0,0.1593,0.1274,-0.1274
1.005,1.0,1.01,0.1622,0.1279,-0.1279
1.0150000000000001,1.01,1.02,0.1661,0.1285,-0.1285
1.025,1.02,1.03,0.1709,0.1292,-0.1292
1.0350000000000001,1.03,1.04,0.1764,0.13,-0.13
1.045,1.04,1.05,0.1825,0.1309,-0.1309
1.0550000000000002,1.05,1.06,0.189,0.132,-0.132
1.065,1.06,1.07,0.1958,0.1332,-0.1332
1.0750000000000002,1.07,1.08,0.2028,0.1345,-0.1345
1.085,1.08,1.09,0.2098,0.136,-0.136
1.0950000000000002,1.09,1.1,0.2168,0.1375,-0.1375
1.105,1.1,1.11,0.2237,0.1392,-0.1392
1.1150000000000002,1.11,1.12,0.2304,0.1409,-0.1409
1.125,1.12,1.13,0.2368,0.1427,-0.1427
1.1349999999999998,1.13,1.14,0.2428,0.1445,-0.1445
1.145,1.14,1.15,0.2484,0.1463,-0.1463
1.1549999999999998,1.15,1.16,0.2534,0.148,-0.148
1.165,1.16,1.17,0.2579,0.1497,-0.1497
1.1749999999999998,1.17,1.18,0.2618,0.1514,-0.1514
1.185,1.18,1.19,0.2651,0.153,-0.153
1.1949999999999998,1.19,1.2,0.2676,0.1545,-0.1545
1.205,1.2,1.21,0.2694,0.1559,-0.1559
1.2149999999999999,1.21,1.22,0.2704,0.1573,-0.1573
1.225,1.22,1.23,0.2707,0.1586,-0.1586
1.2349999999999999,1.23,1.24,0.2702,0.16,-0.16
1.245,1.24,1.25,0.2689,0.1613,-0.1613
1.255,1.25,1.26,0.2669,0.1628,-0.1628
1.2650000000000001,1.26,1.27,0.2642,0.1644,-0.1644
1.275,1.27,1.28,0.2608,0.1662,-0.1662
1.2850000000000001,1.28,1.29,0.2568,0.1682,-0.1682
1.295,1.29,1.3,0.2522,0.1704,-0.1704
1.3050000000000002,1.3,1.31,0.2472,0.1729,-0.1729
1.315,1.31,1.32,0.2419,0.1758,-0.1758
1.3250000000000002,1.32,1.33,0.2364,0.1788,-0.1788
1.335,1.33,1.34,0.2309,0.1822,-0.1822
1.3450000000000002,1.34,1.35,0.2255,0.1857,-0.1857
1.355,1.35,1.36,0.2204,0.1894,-0.1894
1.3650000000000002,1.36,1.37,0.2159,0.1932,-0.1932
1.375,1.37,1.38,0.2123,0.197,-0.197
1.3849999999999998,1.38,1.39,0.2097,0.2009,-0.2009
1.395,1.39,1.4,0.2085,0.2047,-0.2047

#: -T [GeV^2],,,0.8-0.9
