Mpipi     YLM       dYLM      
0.405     0.004     0.000     
0.415     0.005     0.000     
0.425     0.005     0.001     
0.435     0.006     0.001     
0.445     0.007     0.001     
0.455     0.007     0.001     
0.465     0.008     0.001     
0.475     0.008     0.001     
0.485     0.009     0.001     
0.495     0.009     0.001     
0.505     0.009     0.001     
0.515     0.009     0.001     
0.525     0.009     0.002     
0.535     0.009     0.002     
0.545     0.008     0.002     
0.555     0.008     0.002     
0.565     0.007     0.002     
0.575     0.006     0.002     
0.585     0.005     0.002     
0.595     0.004     0.002     
0.605     0.003     0.003     
0.615     0.003     0.003     
0.625     0.002     0.003     
0.635     0.002     0.003     
0.645     0.002     0.003     
0.655     0.003     0.004     
0.665     0.003     0.004     
0.675     0.005     0.004     
0.685     0.006     0.005     
0.695     0.007     0.005     
0.705     0.008     0.006     
0.715     0.008     0.006     
0.725     0.007     0.007     
0.735     0.003     0.008     
0.745     -0.004    0.009     
0.755     -0.016    0.009     
0.765     -0.030    0.010     
0.775     -0.047    0.011     
0.785     -0.064    0.011     
0.795     -0.081    0.011     
0.805     -0.095    0.012     
0.815     -0.107    0.012     
0.825     -0.117    0.012     
0.835     -0.126    0.012     
0.845     -0.133    0.012     
0.855     -0.139    0.011     
0.865     -0.145    0.011     
0.875     -0.149    0.011     
0.885     -0.153    0.011     
0.895     -0.157    0.011     
0.905     -0.161    0.011     
0.915     -0.164    0.011     
0.925     -0.167    0.011     
0.935     -0.169    0.011     
0.945     -0.171    0.011     
0.955     -0.172    0.012     
0.965     -0.174    0.012     
0.975     -0.175    0.012     
0.985     -0.180    0.012     
0.995     -0.189    0.013     
1.005     -0.199    0.013     
1.015     -0.206    0.013     
1.025     -0.211    0.014     
1.035     -0.215    0.014     
1.045     -0.218    0.015     
1.055     -0.221    0.015     
1.065     -0.224    0.016     
1.075     -0.226    0.016     
1.085     -0.229    0.017     
1.095     -0.232    0.018     
1.105     -0.235    0.018     
1.115     -0.239    0.019     
1.125     -0.243    0.020     
1.135     -0.246    0.021     
1.145     -0.251    0.022     
1.155     -0.255    0.023     
1.165     -0.260    0.024     
1.175     -0.266    0.025     
1.185     -0.272    0.026     
1.195     -0.278    0.027     
1.205     -0.284    0.028     
1.215     -0.291    0.029     
1.225     -0.297    0.029     
1.235     -0.302    0.029     
1.245     -0.306    0.028     
1.255     -0.308    0.028     
1.265     -0.308    0.027     
1.275     -0.304    0.027     
1.285     -0.297    0.027     
1.295     -0.286    0.028     
1.305     -0.272    0.029     
1.315     -0.257    0.030     
1.325     -0.239    0.031     
1.335     -0.221    0.032     
1.345     -0.203    0.032     
1.355     -0.185    0.033     
1.365     -0.167    0.033     
1.375     -0.150    0.033     
1.385     -0.134    0.032     
1.395     -0.118    0.032     
