Mpipi     YLM       dYLM      
0.405     -0.002    0.002     
0.415     -0.002    0.002     
0.425     -0.001    0.003     
0.435     -0.001    0.003     
0.445     0.000     0.003     
0.455     0.001     0.004     
0.465     0.002     0.004     
0.475     0.004     0.005     
0.485     0.005     0.006     
0.495     0.007     0.006     
0.505     0.009     0.007     
0.515     0.012     0.007     
0.525     0.014     0.008     
0.535     0.017     0.009     
0.545     0.020     0.009     
0.555     0.024     0.010     
0.565     0.027     0.010     
0.575     0.031     0.011     
0.585     0.035     0.012     
0.595     0.039     0.012     
0.605     0.044     0.013     
0.615     0.049     0.013     
0.625     0.054     0.014     
0.635     0.060     0.015     
0.645     0.067     0.015     
0.655     0.074     0.015     
0.665     0.081     0.016     
0.675     0.090     0.016     
0.685     0.099     0.016     
0.695     0.109     0.016     
0.705     0.119     0.016     
0.715     0.129     0.015     
0.725     0.138     0.015     
0.735     0.144     0.014     
0.745     0.147     0.015     
0.755     0.146     0.016     
0.765     0.139     0.017     
0.775     0.128     0.019     
0.785     0.114     0.020     
0.795     0.099     0.020     
0.805     0.086     0.020     
0.815     0.074     0.020     
0.825     0.063     0.019     
0.835     0.055     0.018     
0.845     0.049     0.016     
0.855     0.044     0.015     
0.865     0.041     0.014     
0.875     0.038     0.014     
0.885     0.036     0.013     
0.895     0.035     0.012     
0.905     0.035     0.012     
0.915     0.035     0.011     
0.925     0.035     0.011     
0.935     0.036     0.011     
0.945     0.037     0.011     
0.955     0.038     0.012     
0.965     0.040     0.012     
0.975     0.041     0.013     
0.985     0.039     0.013     
0.995     0.035     0.013     
1.005     0.029     0.013     
1.015     0.026     0.013     
1.025     0.023     0.012     
1.035     0.021     0.013     
1.045     0.020     0.013     
1.055     0.017     0.013     
1.065     0.015     0.013     
1.075     0.013     0.014     
1.085     0.010     0.014     
1.095     0.007     0.015     
1.105     0.003     0.015     
1.115     -0.001    0.016     
1.125     -0.007    0.017     
1.135     -0.013    0.018     
1.145     -0.019    0.019     
1.155     -0.028    0.021     
1.165     -0.036    0.023     
1.175     -0.047    0.025     
1.185     -0.057    0.028     
1.195     -0.071    0.031     
1.205     -0.085    0.035     
1.215     -0.101    0.039     
1.225     -0.118    0.044     
1.235     -0.138    0.049     
1.245     -0.157    0.054     
1.255     -0.176    0.058     
1.265     -0.194    0.063     
1.275     -0.210    0.066     
1.285     -0.223    0.068     
1.295     -0.234    0.069     
1.305     -0.240    0.068     
1.315     -0.246    0.067     
1.325     -0.249    0.065     
1.335     -0.251    0.062     
1.345     -0.254    0.060     
1.355     -0.256    0.057     
1.365     -0.259    0.055     
1.375     -0.265    0.053     
1.385     -0.269    0.052     
1.395     -0.274    0.050     
