Mpipi     YLM       dYLM      
0.405     -0.001    0.000     
0.415     -0.001    0.001     
0.425     -0.001    0.001     
0.435     -0.000    0.001     
0.445     -0.000    0.001     
0.455     0.000     0.001     
0.465     0.001     0.001     
0.475     0.001     0.001     
0.485     0.002     0.002     
0.495     0.003     0.002     
0.505     0.004     0.002     
0.515     0.005     0.002     
0.525     0.007     0.003     
0.535     0.008     0.003     
0.545     0.010     0.003     
0.555     0.013     0.003     
0.565     0.015     0.004     
0.575     0.019     0.004     
0.585     0.022     0.005     
0.595     0.027     0.005     
0.605     0.031     0.005     
0.615     0.038     0.006     
0.625     0.044     0.006     
0.635     0.053     0.007     
0.645     0.063     0.008     
0.655     0.074     0.008     
0.665     0.087     0.009     
0.675     0.103     0.009     
0.685     0.122     0.010     
0.695     0.143     0.010     
0.705     0.167     0.010     
0.715     0.193     0.010     
0.725     0.220     0.009     
0.735     0.246     0.008     
0.745     0.267     0.007     
0.755     0.281     0.007     
0.765     0.283     0.007     
0.775     0.275     0.008     
0.785     0.258     0.009     
0.795     0.236     0.010     
0.805     0.210     0.011     
0.815     0.185     0.012     
0.825     0.162     0.012     
0.835     0.141     0.012     
0.845     0.124     0.012     
0.855     0.109     0.011     
0.865     0.096     0.011     
0.875     0.086     0.010     
0.885     0.078     0.010     
0.895     0.070     0.010     
0.905     0.065     0.009     
0.915     0.060     0.009     
0.925     0.056     0.009     
0.935     0.053     0.008     
0.945     0.051     0.008     
0.955     0.050     0.008     
0.965     0.049     0.008     
0.975     0.048     0.008     
0.985     0.045     0.008     
0.995     0.040     0.008     
1.005     0.034     0.008     
1.015     0.030     0.007     
1.025     0.028     0.007     
1.035     0.027     0.007     
1.045     0.026     0.007     
1.055     0.025     0.007     
1.065     0.024     0.007     
1.075     0.023     0.007     
1.085     0.022     0.007     
1.095     0.021     0.007     
1.105     0.021     0.007     
1.115     0.020     0.008     
1.125     0.019     0.008     
1.135     0.018     0.008     
1.145     0.018     0.008     
1.155     0.017     0.009     
1.165     0.016     0.009     
1.175     0.015     0.009     
1.185     0.014     0.010     
1.195     0.013     0.010     
1.205     0.012     0.011     
1.215     0.011     0.011     
1.225     0.008     0.011     
1.235     0.006     0.012     
1.245     0.003     0.012     
1.255     -0.001    0.012     
1.265     -0.005    0.012     
1.275     -0.010    0.012     
1.285     -0.014    0.012     
1.295     -0.018    0.012     
1.305     -0.022    0.011     
1.315     -0.025    0.011     
1.325     -0.027    0.011     
1.335     -0.029    0.011     
1.345     -0.031    0.011     
1.355     -0.032    0.011     
1.365     -0.032    0.011     
1.375     -0.032    0.012     
1.385     -0.032    0.012     
1.395     -0.032    0.012     
