Mpipi     YLM       dYLM      
0.405     0.006     0.010     
0.415     -0.007    0.011     
0.425     -0.022    0.011     
0.435     -0.042    0.011     
0.445     -0.063    0.012     
0.455     -0.088    0.013     
0.465     -0.116    0.015     
0.475     -0.148    0.018     
0.485     -0.183    0.021     
0.495     -0.222    0.025     
0.505     -0.263    0.030     
0.515     -0.307    0.035     
0.525     -0.352    0.041     
0.535     -0.400    0.048     
0.545     -0.448    0.056     
0.555     -0.499    0.064     
0.565     -0.550    0.073     
0.575     -0.601    0.083     
0.585     -0.653    0.093     
0.595     -0.707    0.104     
0.605     -0.760    0.115     
0.615     -0.816    0.127     
0.625     -0.866    0.140     
0.635     -0.928    0.152     
0.645     -0.996    0.164     
0.655     -1.072    0.177     
0.665     -1.160    0.190     
0.675     -1.265    0.202     
0.685     -1.385    0.214     
0.695     -1.528    0.224     
0.705     -1.683    0.234     
0.715     -1.867    0.241     
0.725     -2.060    0.244     
0.735     -2.244    0.244     
0.745     -2.395    0.240     
0.755     -2.492    0.231     
0.765     -2.499    0.219     
0.775     -2.422    0.205     
0.785     -2.262    0.191     
0.795     -2.056    0.177     
0.805     -1.821    0.163     
0.815     -1.592    0.151     
0.825     -1.367    0.140     
0.835     -1.166    0.129     
0.845     -0.993    0.119     
0.855     -0.839    0.111     
0.865     -0.706    0.103     
0.875     -0.590    0.096     
0.885     -0.496    0.091     
0.895     -0.407    0.086     
0.905     -0.330    0.082     
0.915     -0.263    0.079     
0.925     -0.202    0.078     
0.935     -0.150    0.077     
0.945     -0.114    0.079     
0.955     -0.076    0.083     
0.965     -0.056    0.092     
0.975     -0.058    0.103     
0.985     -0.104    0.114     
0.995     -0.149    0.112     
1.005     -0.156    0.098     
1.015     -0.129    0.083     
1.025     -0.103    0.071     
1.035     -0.068    0.063     
1.045     -0.039    0.057     
1.055     -0.020    0.053     
1.065     0.000     0.049     
1.075     0.018     0.047     
1.085     0.027     0.045     
1.095     0.037     0.043     
1.105     0.047     0.042     
1.115     0.049     0.041     
1.125     0.054     0.040     
1.135     0.053     0.040     
1.145     0.055     0.039     
1.155     0.050     0.040     
1.165     0.049     0.040     
1.175     0.047     0.040     
1.185     0.046     0.040     
1.195     0.040     0.041     
1.205     0.033     0.042     
1.215     0.033     0.042     
1.225     0.030     0.043     
1.235     0.032     0.043     
1.245     0.034     0.043     
1.255     0.039     0.043     
1.265     0.055     0.042     
1.275     0.069     0.041     
1.285     0.085     0.040     
1.295     0.094     0.039     
1.305     0.112     0.038     
1.315     0.124     0.037     
1.325     0.131     0.037     
1.335     0.138     0.038     
1.345     0.139     0.039     
1.355     0.142     0.040     
1.365     0.135     0.042     
1.375     0.129     0.043     
1.385     0.122     0.045     
1.395     0.116     0.046     
