Mpipi     YLM       dYLM      
0.405     0.001     0.001     
0.415     0.001     0.001     
0.425     0.001     0.001     
0.435     0.002     0.001     
0.445     0.002     0.001     
0.455     0.002     0.001     
0.465     0.003     0.001     
0.475     0.003     0.002     
0.485     0.003     0.002     
0.495     0.004     0.002     
0.505     0.004     0.002     
0.515     0.005     0.002     
0.525     0.005     0.002     
0.535     0.006     0.003     
0.545     0.006     0.003     
0.555     0.007     0.003     
0.565     0.007     0.003     
0.575     0.008     0.004     
0.585     0.008     0.004     
0.595     0.009     0.004     
0.605     0.010     0.004     
0.615     0.010     0.005     
0.625     0.011     0.005     
0.635     0.012     0.006     
0.645     0.013     0.006     
0.655     0.014     0.007     
0.665     0.015     0.007     
0.675     0.016     0.008     
0.685     0.017     0.009     
0.695     0.017     0.010     
0.705     0.017     0.012     
0.715     0.017     0.013     
0.725     0.015     0.015     
0.735     0.013     0.017     
0.745     0.008     0.019     
0.755     0.002     0.021     
0.765     -0.003    0.022     
0.775     -0.009    0.022     
0.785     -0.015    0.022     
0.795     -0.019    0.021     
0.805     -0.022    0.020     
0.815     -0.023    0.019     
0.825     -0.024    0.018     
0.835     -0.023    0.016     
0.845     -0.022    0.015     
0.855     -0.021    0.014     
0.865     -0.019    0.013     
0.875     -0.017    0.013     
0.885     -0.015    0.012     
0.895     -0.013    0.012     
0.905     -0.011    0.011     
0.915     -0.009    0.011     
0.925     -0.007    0.011     
0.935     -0.005    0.011     
0.945     -0.003    0.011     
0.955     -0.002    0.011     
0.965     -0.001    0.011     
0.975     0.001     0.011     
0.985     0.004     0.012     
0.995     0.010     0.012     
1.005     0.017     0.012     
1.015     0.023     0.012     
1.025     0.028     0.012     
1.035     0.032     0.012     
1.045     0.036     0.012     
1.055     0.040     0.013     
1.065     0.043     0.013     
1.075     0.047     0.014     
1.085     0.051     0.015     
1.095     0.055     0.015     
1.105     0.059     0.016     
1.115     0.063     0.017     
1.125     0.068     0.018     
1.135     0.072     0.019     
1.145     0.077     0.019     
1.155     0.082     0.021     
1.165     0.087     0.022     
1.175     0.093     0.023     
1.185     0.099     0.024     
1.195     0.105     0.026     
1.205     0.112     0.028     
1.215     0.120     0.030     
1.225     0.128     0.032     
1.235     0.137     0.034     
1.245     0.146     0.037     
1.255     0.156     0.039     
1.265     0.165     0.041     
1.275     0.174     0.042     
1.285     0.182     0.043     
1.295     0.189     0.043     
1.305     0.194     0.042     
1.315     0.200     0.042     
1.325     0.204     0.041     
1.335     0.208     0.040     
1.345     0.212     0.040     
1.355     0.216     0.039     
1.365     0.220     0.039     
1.375     0.225     0.040     
1.385     0.230     0.040     
1.395     0.236     0.041     
