Mpipi     YLM       dYLM      
0.405     -0.034    0.010     
0.415     -0.038    0.010     
0.425     -0.044    0.010     
0.435     -0.049    0.011     
0.445     -0.055    0.011     
0.455     -0.061    0.011     
0.465     -0.066    0.012     
0.475     -0.073    0.012     
0.485     -0.079    0.013     
0.495     -0.084    0.013     
0.505     -0.090    0.014     
0.515     -0.093    0.014     
0.525     -0.096    0.015     
0.535     -0.100    0.015     
0.545     -0.102    0.016     
0.555     -0.106    0.016     
0.565     -0.109    0.017     
0.575     -0.113    0.017     
0.585     -0.120    0.018     
0.595     -0.129    0.018     
0.605     -0.140    0.019     
0.615     -0.156    0.019     
0.625     -0.178    0.019     
0.635     -0.205    0.020     
0.645     -0.239    0.021     
0.655     -0.284    0.022     
0.665     -0.340    0.024     
0.675     -0.408    0.026     
0.685     -0.491    0.029     
0.695     -0.589    0.033     
0.705     -0.702    0.037     
0.715     -0.827    0.042     
0.725     -0.956    0.047     
0.735     -1.077    0.052     
0.745     -1.174    0.055     
0.755     -1.227    0.057     
0.765     -1.227    0.056     
0.775     -1.171    0.054     
0.785     -1.068    0.050     
0.795     -0.939    0.045     
0.805     -0.800    0.041     
0.815     -0.668    0.036     
0.825     -0.546    0.032     
0.835     -0.443    0.029     
0.845     -0.355    0.026     
0.855     -0.284    0.023     
0.865     -0.226    0.021     
0.875     -0.182    0.019     
0.885     -0.148    0.018     
0.895     -0.123    0.017     
0.905     -0.107    0.016     
0.915     -0.096    0.017     
0.925     -0.093    0.018     
0.935     -0.095    0.019     
0.945     -0.104    0.022     
0.955     -0.119    0.025     
0.965     -0.139    0.029     
0.975     -0.160    0.033     
0.985     -0.162    0.032     
0.995     -0.134    0.026     
1.005     -0.095    0.020     
1.015     -0.071    0.017     
1.025     -0.062    0.017     
1.035     -0.064    0.017     
1.045     -0.070    0.017     
1.055     -0.077    0.017     
1.065     -0.086    0.017     
1.075     -0.093    0.017     
1.085     -0.102    0.017     
1.095     -0.108    0.016     
1.105     -0.114    0.016     
1.115     -0.119    0.016     
1.125     -0.122    0.015     
1.135     -0.125    0.015     
1.145     -0.125    0.015     
1.155     -0.123    0.016     
1.165     -0.119    0.017     
1.175     -0.113    0.018     
1.185     -0.107    0.019     
1.195     -0.098    0.021     
1.205     -0.089    0.022     
1.215     -0.079    0.023     
1.225     -0.070    0.024     
1.235     -0.063    0.025     
1.245     -0.056    0.025     
1.255     -0.053    0.024     
1.265     -0.052    0.024     
1.275     -0.053    0.024     
1.285     -0.055    0.025     
1.295     -0.057    0.027     
1.305     -0.057    0.029     
1.315     -0.053    0.030     
1.325     -0.047    0.031     
1.335     -0.038    0.030     
1.345     -0.030    0.029     
1.355     -0.020    0.029     
1.365     -0.011    0.032     
1.375     -0.005    0.037     
1.385     -0.002    0.046     
1.395     -0.001    0.057     
