Mpipi     YLM       dYLM      
0.405     0.061     0.003     
0.415     0.068     0.003     
0.425     0.077     0.003     
0.435     0.087     0.004     
0.445     0.098     0.004     
0.455     0.108     0.005     
0.465     0.122     0.005     
0.475     0.131     0.006     
0.485     0.144     0.006     
0.495     0.157     0.007     
0.505     0.167     0.008     
0.515     0.175     0.009     
0.525     0.181     0.010     
0.535     0.185     0.011     
0.545     0.190     0.012     
0.555     0.193     0.013     
0.565     0.193     0.014     
0.575     0.196     0.015     
0.585     0.197     0.016     
0.595     0.198     0.018     
0.605     0.198     0.019     
0.615     0.196     0.021     
0.625     0.193     0.023     
0.635     0.186     0.025     
0.645     0.177     0.027     
0.655     0.164     0.030     
0.665     0.142     0.033     
0.675     0.112     0.037     
0.685     0.069     0.041     
0.695     0.009     0.045     
0.705     -0.071    0.050     
0.715     -0.177    0.055     
0.725     -0.309    0.061     
0.735     -0.464    0.065     
0.745     -0.638    0.069     
0.755     -0.814    0.071     
0.765     -0.967    0.070     
0.775     -1.086    0.069     
0.785     -1.155    0.065     
0.795     -1.178    0.061     
0.805     -1.161    0.056     
0.815     -1.119    0.052     
0.825     -1.058    0.048     
0.835     -0.990    0.045     
0.845     -0.919    0.042     
0.855     -0.850    0.039     
0.865     -0.781    0.037     
0.875     -0.714    0.035     
0.885     -0.655    0.033     
0.895     -0.597    0.031     
0.905     -0.545    0.030     
0.915     -0.494    0.029     
0.925     -0.445    0.028     
0.935     -0.402    0.027     
0.945     -0.360    0.026     
0.955     -0.320    0.025     
0.965     -0.283    0.025     
0.975     -0.245    0.024     
0.985     -0.205    0.023     
0.995     -0.161    0.021     
1.005     -0.118    0.019     
1.015     -0.078    0.018     
1.025     -0.042    0.018     
1.035     -0.008    0.018     
1.045     0.021     0.017     
1.055     0.053     0.017     
1.065     0.085     0.017     
1.075     0.116     0.018     
1.085     0.147     0.018     
1.095     0.179     0.018     
1.105     0.207     0.019     
1.115     0.231     0.019     
1.125     0.261     0.019     
1.135     0.287     0.020     
1.145     0.313     0.021     
1.155     0.333     0.021     
1.165     0.358     0.022     
1.175     0.377     0.022     
1.185     0.397     0.023     
1.195     0.413     0.024     
1.205     0.426     0.024     
1.215     0.436     0.024     
1.225     0.445     0.025     
1.235     0.445     0.025     
1.245     0.448     0.026     
1.255     0.447     0.026     
1.265     0.446     0.027     
1.275     0.441     0.028     
1.285     0.438     0.029     
1.295     0.438     0.029     
1.305     0.434     0.031     
1.315     0.442     0.030     
1.325     0.446     0.031     
1.335     0.455     0.031     
1.345     0.460     0.032     
1.355     0.470     0.033     
1.365     0.481     0.034     
1.375     0.492     0.034     
1.385     0.497     0.036     
1.395     0.508     0.037     
