Mpipi     YLM       dYLM      
0.405     -0.006    0.001     
0.415     -0.006    0.001     
0.425     -0.006    0.001     
0.435     -0.007    0.001     
0.445     -0.007    0.001     
0.455     -0.007    0.001     
0.465     -0.006    0.001     
0.475     -0.006    0.001     
0.485     -0.005    0.001     
0.495     -0.004    0.001     
0.505     -0.003    0.001     
0.515     -0.002    0.001     
0.525     -0.002    0.001     
0.535     -0.000    0.001     
0.545     0.001     0.001     
0.555     0.002     0.001     
0.565     0.003     0.001     
0.575     0.004     0.002     
0.585     0.005     0.002     
0.595     0.005     0.002     
0.605     0.006     0.003     
0.615     0.006     0.003     
0.625     0.006     0.003     
0.635     0.006     0.004     
0.645     0.005     0.004     
0.655     0.004     0.004     
0.665     0.002     0.005     
0.675     0.000     0.005     
0.685     -0.003    0.006     
0.695     -0.006    0.007     
0.705     -0.011    0.007     
0.715     -0.018    0.008     
0.725     -0.025    0.009     
0.735     -0.036    0.010     
0.745     -0.049    0.011     
0.755     -0.064    0.012     
0.765     -0.080    0.012     
0.775     -0.095    0.013     
0.785     -0.109    0.013     
0.795     -0.119    0.013     
0.805     -0.127    0.013     
0.815     -0.133    0.013     
0.825     -0.137    0.013     
0.835     -0.140    0.013     
0.845     -0.142    0.013     
0.855     -0.144    0.013     
0.865     -0.145    0.013     
0.875     -0.146    0.013     
0.885     -0.147    0.013     
0.895     -0.148    0.013     
0.905     -0.150    0.013     
0.915     -0.151    0.013     
0.925     -0.153    0.014     
0.935     -0.156    0.014     
0.945     -0.159    0.014     
0.955     -0.161    0.015     
0.965     -0.163    0.015     
0.975     -0.163    0.016     
0.985     -0.158    0.016     
0.995     -0.152    0.016     
1.005     -0.149    0.016     
1.015     -0.151    0.016     
1.025     -0.156    0.016     
1.035     -0.162    0.017     
1.045     -0.168    0.018     
1.055     -0.175    0.019     
1.065     -0.181    0.020     
1.075     -0.188    0.020     
1.085     -0.195    0.022     
1.095     -0.203    0.023     
1.105     -0.211    0.024     
1.115     -0.219    0.025     
1.125     -0.228    0.027     
1.135     -0.237    0.029     
1.145     -0.247    0.030     
1.155     -0.258    0.032     
1.165     -0.269    0.034     
1.175     -0.281    0.037     
1.185     -0.293    0.039     
1.195     -0.305    0.042     
1.205     -0.317    0.044     
1.215     -0.329    0.047     
1.225     -0.339    0.050     
1.235     -0.348    0.053     
1.245     -0.354    0.055     
1.255     -0.356    0.057     
1.265     -0.354    0.058     
1.275     -0.347    0.058     
1.285     -0.335    0.057     
1.295     -0.318    0.056     
1.305     -0.299    0.054     
1.315     -0.278    0.051     
1.325     -0.256    0.049     
1.335     -0.234    0.046     
1.345     -0.214    0.043     
1.355     -0.193    0.041     
1.365     -0.173    0.039     
1.375     -0.155    0.037     
1.385     -0.137    0.035     
1.395     -0.121    0.034     
