Mpipi     YLM       dYLM      
0.405     -0.005    0.001     
0.415     -0.008    0.001     
0.425     -0.011    0.001     
0.435     -0.015    0.002     
0.445     -0.019    0.002     
0.455     -0.024    0.002     
0.465     -0.029    0.002     
0.475     -0.034    0.002     
0.485     -0.040    0.002     
0.495     -0.044    0.002     
0.505     -0.048    0.003     
0.515     -0.052    0.004     
0.525     -0.055    0.005     
0.535     -0.056    0.005     
0.545     -0.058    0.006     
0.555     -0.059    0.007     
0.565     -0.058    0.008     
0.575     -0.059    0.009     
0.585     -0.059    0.010     
0.595     -0.060    0.011     
0.605     -0.062    0.012     
0.615     -0.063    0.012     
0.625     -0.066    0.014     
0.635     -0.068    0.015     
0.645     -0.071    0.016     
0.655     -0.076    0.017     
0.665     -0.082    0.019     
0.675     -0.087    0.021     
0.685     -0.094    0.024     
0.695     -0.103    0.026     
0.705     -0.113    0.029     
0.715     -0.123    0.033     
0.725     -0.135    0.036     
0.735     -0.146    0.039     
0.745     -0.158    0.042     
0.755     -0.167    0.044     
0.765     -0.173    0.044     
0.775     -0.177    0.042     
0.785     -0.179    0.040     
0.795     -0.178    0.037     
0.805     -0.176    0.033     
0.815     -0.175    0.029     
0.825     -0.174    0.026     
0.835     -0.173    0.023     
0.845     -0.174    0.021     
0.855     -0.175    0.019     
0.865     -0.177    0.017     
0.875     -0.181    0.016     
0.885     -0.185    0.015     
0.895     -0.191    0.014     
0.905     -0.196    0.014     
0.915     -0.201    0.014     
0.925     -0.208    0.014     
0.935     -0.215    0.014     
0.945     -0.222    0.014     
0.955     -0.231    0.015     
0.965     -0.237    0.016     
0.975     -0.240    0.017     
0.985     -0.237    0.018     
0.995     -0.231    0.017     
1.005     -0.231    0.015     
1.015     -0.237    0.014     
1.025     -0.248    0.015     
1.035     -0.259    0.015     
1.045     -0.270    0.016     
1.055     -0.281    0.017     
1.065     -0.291    0.019     
1.075     -0.301    0.020     
1.085     -0.311    0.021     
1.095     -0.321    0.023     
1.105     -0.331    0.025     
1.115     -0.340    0.027     
1.125     -0.349    0.029     
1.135     -0.358    0.032     
1.145     -0.366    0.035     
1.155     -0.374    0.039     
1.165     -0.381    0.043     
1.175     -0.385    0.047     
1.185     -0.390    0.053     
1.195     -0.391    0.058     
1.205     -0.390    0.064     
1.215     -0.382    0.070     
1.225     -0.371    0.076     
1.235     -0.354    0.082     
1.245     -0.329    0.088     
1.255     -0.298    0.092     
1.265     -0.259    0.096     
1.275     -0.216    0.098     
1.285     -0.173    0.098     
1.295     -0.129    0.097     
1.305     -0.090    0.094     
1.315     -0.055    0.091     
1.325     -0.028    0.088     
1.335     -0.009    0.084     
1.345     0.004     0.081     
1.355     0.010     0.078     
1.365     0.011     0.075     
1.375     0.007     0.072     
1.385     0.002     0.069     
1.395     -0.008    0.067     
