Mpipi     YLM       dYLM      
0.405     -0.039    0.007     
0.415     -0.044    0.008     
0.425     -0.051    0.009     
0.435     -0.056    0.010     
0.445     -0.060    0.011     
0.455     -0.064    0.012     
0.465     -0.068    0.013     
0.475     -0.070    0.015     
0.485     -0.071    0.016     
0.495     -0.071    0.018     
0.505     -0.069    0.019     
0.515     -0.066    0.021     
0.525     -0.060    0.023     
0.535     -0.052    0.025     
0.545     -0.041    0.027     
0.555     -0.027    0.029     
0.565     -0.008    0.032     
0.575     0.014     0.035     
0.585     0.042     0.038     
0.595     0.076     0.042     
0.605     0.117     0.046     
0.615     0.167     0.051     
0.625     0.228     0.056     
0.635     0.300     0.063     
0.645     0.387     0.071     
0.655     0.494     0.080     
0.665     0.622     0.091     
0.675     0.778     0.104     
0.685     0.966     0.119     
0.695     1.190     0.137     
0.705     1.454     0.158     
0.715     1.759     0.181     
0.725     2.097     0.205     
0.735     2.451     0.229     
0.745     2.785     0.249     
0.755     3.064     0.263     
0.765     3.248     0.267     
0.775     3.318     0.262     
0.785     3.275     0.247     
0.795     3.146     0.227     
0.805     2.963     0.204     
0.815     2.756     0.181     
0.825     2.545     0.159     
0.835     2.348     0.139     
0.845     2.165     0.121     
0.855     2.003     0.106     
0.865     1.860     0.093     
0.875     1.734     0.082     
0.885     1.622     0.073     
0.895     1.526     0.065     
0.905     1.440     0.058     
0.915     1.364     0.053     
0.925     1.297     0.048     
0.935     1.234     0.044     
0.945     1.177     0.040     
0.955     1.125     0.037     
0.965     1.078     0.035     
0.975     1.036     0.033     
0.985     0.998     0.031     
0.995     0.966     0.030     
1.005     0.935     0.028     
1.015     0.902     0.026     
1.025     0.869     0.024     
1.035     0.837     0.023     
1.045     0.804     0.022     
1.055     0.774     0.022     
1.065     0.743     0.021     
1.075     0.713     0.021     
1.085     0.684     0.021     
1.095     0.655     0.021     
1.105     0.626     0.021     
1.115     0.598     0.022     
1.125     0.570     0.022     
1.135     0.542     0.023     
1.145     0.515     0.024     
1.155     0.488     0.026     
1.165     0.462     0.027     
1.175     0.438     0.029     
1.185     0.414     0.030     
1.195     0.395     0.032     
1.205     0.378     0.033     
1.215     0.365     0.035     
1.225     0.357     0.036     
1.235     0.357     0.036     
1.245     0.362     0.037     
1.255     0.374     0.036     
1.265     0.391     0.036     
1.275     0.412     0.035     
1.285     0.432     0.034     
1.295     0.449     0.033     
1.305     0.462     0.032     
1.315     0.467     0.032     
1.325     0.464     0.031     
1.335     0.454     0.031     
1.345     0.438     0.032     
1.355     0.417     0.033     
1.365     0.392     0.034     
1.375     0.366     0.036     
1.385     0.338     0.037     
1.395     0.310     0.039     
