Mpipi     YLM       dYLM      
0.405     -0.024    0.003     
0.415     -0.033    0.003     
0.425     -0.042    0.003     
0.435     -0.053    0.003     
0.445     -0.064    0.003     
0.455     -0.076    0.003     
0.465     -0.088    0.003     
0.475     -0.100    0.003     
0.485     -0.112    0.003     
0.495     -0.123    0.003     
0.505     -0.133    0.003     
0.515     -0.140    0.004     
0.525     -0.146    0.004     
0.535     -0.151    0.005     
0.545     -0.155    0.005     
0.555     -0.157    0.006     
0.565     -0.161    0.006     
0.575     -0.165    0.007     
0.585     -0.169    0.008     
0.595     -0.173    0.008     
0.605     -0.175    0.009     
0.615     -0.179    0.010     
0.625     -0.183    0.011     
0.635     -0.185    0.012     
0.645     -0.187    0.013     
0.655     -0.187    0.014     
0.665     -0.187    0.015     
0.675     -0.184    0.016     
0.685     -0.178    0.017     
0.695     -0.166    0.019     
0.705     -0.149    0.020     
0.715     -0.124    0.022     
0.725     -0.086    0.024     
0.735     -0.039    0.026     
0.745     0.021     0.028     
0.755     0.090     0.030     
0.765     0.159     0.031     
0.775     0.223     0.031     
0.785     0.275     0.031     
0.795     0.314     0.030     
0.805     0.338     0.029     
0.815     0.350     0.028     
0.825     0.353     0.026     
0.835     0.350     0.025     
0.845     0.342     0.024     
0.855     0.331     0.023     
0.865     0.319     0.022     
0.875     0.308     0.022     
0.885     0.296     0.021     
0.895     0.283     0.021     
0.905     0.273     0.021     
0.915     0.262     0.021     
0.925     0.252     0.021     
0.935     0.245     0.022     
0.945     0.237     0.022     
0.955     0.232     0.023     
0.965     0.225     0.024     
0.975     0.213     0.025     
0.985     0.187     0.027     
0.995     0.147     0.028     
1.005     0.112     0.029     
1.015     0.093     0.028     
1.025     0.081     0.028     
1.035     0.074     0.028     
1.045     0.069     0.028     
1.055     0.065     0.029     
1.065     0.060     0.030     
1.075     0.056     0.031     
1.085     0.053     0.032     
1.095     0.050     0.033     
1.105     0.048     0.035     
1.115     0.046     0.036     
1.125     0.045     0.038     
1.135     0.042     0.040     
1.145     0.042     0.043     
1.155     0.043     0.046     
1.165     0.042     0.049     
1.175     0.043     0.052     
1.185     0.044     0.056     
1.195     0.044     0.060     
1.205     0.044     0.065     
1.215     0.042     0.069     
1.225     0.037     0.074     
1.235     0.031     0.079     
1.245     0.021     0.083     
1.255     0.007     0.087     
1.265     -0.011    0.089     
1.275     -0.031    0.090     
1.285     -0.055    0.090     
1.295     -0.078    0.089     
1.305     -0.102    0.086     
1.315     -0.122    0.082     
1.325     -0.140    0.078     
1.335     -0.153    0.074     
1.345     -0.165    0.069     
1.355     -0.175    0.065     
1.365     -0.182    0.061     
1.375     -0.188    0.057     
1.385     -0.192    0.054     
1.395     -0.195    0.050     
